,httpd,httpd,httpd,tomcat,tomcat,tomcat,gcc,gcc,gcc,clang,clang,clang,all_system,all_system
,r,mean,Improvement (%),r,mean,Improvement (%),r,mean,Improvement (%),r,mean,Improvement (%),r,mean
hyperband,[2],3028.27 (303.15),10.95,[4],2890.92 (67.34),14.95,[3],68.01 (1.98),1.48,[5],69.09 (3.03),0.64,[3.5],—
bohb,[6],2826.15 (62.3),18.88,[5],2880.84 (87.21),15.35,[5],69.85 (2.5),4.07,[1],67.41 (2.83),-1.83,[4.25],—
dehb,[5],2849.06 (80.17),17.93,[7],2784.64 (50.9),19.34,[4],69.65 (2.65),3.8,[3],68.04 (3.4),-0.88,[4.75],—
priorband,[2],3049.98 (578.41),10.16,[4],2899.83 (60.98),14.6,[4],69.62 (2.82),3.75,[6],71.27 (2.76),3.68,[4.0],—
smac,[2],2969.58 (297.48),13.14,[3],2926.93 (133.76),13.54,[2],67.26 (1.84),0.37,[2],67.63 (2.6),-1.51,[2.25],—
bestconfig,[6],2817.72 (55.43),19.24,[6],2820.93 (69.37),17.8,[4],69.29 (3.1),3.3,[3],68.32 (2.23),-0.47,[4.75],—
flash,[2],3010.9 (268.23),11.59,[1],3309.26 (730.02),0.42,[2],67.92 (2.3),1.34,[4],69.02 (1.9),0.55,[2.25],—
ga,[4],2877.19 (73.24),16.77,[4],2898.54 (87.09),14.65,[2],67.78 (2.91),1.14,[4],68.69 (2.41),0.06,[3.5],—
hebo,[3],2920.09 (118.56),15.06,[2],3072.72 (613.0),8.15,[5],70.14 (2.34),4.46,[4],69.07 (2.97),0.61,[3.5],—
promise,[1],3259.97 (532.48),3.06,[2],3145.03 (659.5),5.66,[3],69.12 (1.84),3.06,[6],70.26 (1.4),2.3,[3.0],—
MFTune-a5,[1],3359.75 (710.07),0.0,[1],3323.13 (843.83),0.0,[1],67.01 (2.93),0.0,[3],68.65 (4.43),0.0,[1.5],—
