innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
511,685745995,28379,562496444,127912935,939206346,80952,727105919,2,9,11511735286,283,1413445727,80,4982486,full,629,93015870,19,190186,253.26,257.1688573,"[180, 50, 100000, 4, 0.5]",72.30949736,180.1193051,1.10881567
492,68278608,17614,414742623,37069375,582701124,60743,963202964,1,91,15368036291,6814,3647594861,45,36796288,noblob,8177,74514236,4,995325,230.77,254.917037,"[180, 50, 100000, 4, 0.5]",69.40523958,180.1609633,2.26243186
734,161390926,2417,670251934,43015940,1058018145,5872,30893586,2,50,14538719987,27813,567332178,70,126286858,full,8655,24835532,21,99801,289.41,244.3759205,"[180, 50, 100000, 4, 0.5]",59.99428463,180.1504405,1.12234664
815,758321847,14593,839420696,112723912,406595686,124247,481168821,0,61,13743381275,26865,3131351719,98,58380995,full,6535,99453264,42,476511,255.57,248.6108091,"[180, 50, 100000, 4, 0.5]",64.11003709,180.1018293,1.286665916
298,521615442,27100,1026232875,97602250,56836968,116757,1036676303,0,49,14749964362,15598,120351125,13,99871742,noblob,9953,28718845,69,670929,253.48,258.130219,"[180, 50, 100000, 4, 0.5]",73.33127832,180.1308272,1.583987474
24,931418258,32680,47476703,86996160,239648513,27329,551308521,1,26,12849559497,22991,1028909714,124,24823264,minimal,3461,4542602,88,342798,231,257.4877846,"[180, 50, 100000, 4, 0.5]",72.17579031,180.1929896,2.0267694
682,601733716,9704,887706657,16410492,509145101,20059,108517365,2,31,12019159486,10669,2604230822,17,117584054,noblob,2551,123863294,38,855980,258.56,245.3475981,"[180, 50, 100000, 4, 0.5]",60.73844838,180.0995533,1.41460371
146,275770039,38066,526819933,3110959,770364227,103075,299852663,0,84,10596833975,12309,2145551529,64,76061873,full,1695,117462528,94,285980,249.04,255.8122945,"[180, 50, 100000, 4, 0.5]",70.86724329,180.1496906,1.699152231
388,359217289,6467,281495946,54379776,123277166,76377,826285364,1,73,13409107068,5486,4000766284,34,44768422,minimal,4359,57947627,74,595686,223.48,257.8113186,"[180, 50, 100000, 4, 0.5]",72.67313838,180.1559312,1.896450758
903,1064051105,22576,154538043,80177835,682158046,51512,428222685,1,15,11232701165,20248,2323059788,115,87296782,minimal,5216,42558932,53,710861,231.47,249.5189919,"[180, 50, 100000, 4, 0.5]",64.56025696,180.0837231,1.777886868
