fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,0.09043288230895996,0.29418396949768066,36464,0.38221049308776855,140021,719,3.7277297973632812,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,0.10247421264648438,1.5932090282440186,515000,34.138500928878784,2152160,10605,38.394747495651245,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,Off,Off,Off,On,On,On,0.08578848838806152,0.2168285846710205,35432,0.2727973461151123,140021,719,2.9991707801818848,"[80, 35, 2, 2, 15]"
On,Off,On,Off,On,Off,Off,Off,On,Off,Off,On,On,On,Off,On,On,On,On,On,0.08950686454772949,0.19160938262939453,36464,0.2796950340270996,140021,719,3.056900978088379,"[80, 35, 2, 2, 15]"
On,On,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,Off,Off,Off,On,On,On,0.09757351875305176,1.4854729175567627,513704,34.17535209655762,2152160,10605,38.14668130874634,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,On,On,On,On,Off,On,On,Off,Off,On,Off,Off,Off,Off,0.09785985946655273,0.1707320213317871,35432,0.2662618160247803,140021,719,2.987044334411621,"[80, 35, 2, 2, 15]"
On,On,Off,On,Off,Off,On,Off,Off,On,On,Off,On,On,Off,On,On,Off,Off,On,0.09562039375305176,0.20284771919250488,36464,0.2741549015045166,140021,719,3.062642812728882,"[80, 35, 2, 2, 15]"
On,On,On,Off,On,Off,Off,On,On,Off,Off,On,Off,On,On,On,On,On,Off,On,0.0794212818145752,0.2059168815612793,36464,0.28554821014404297,140021,719,2.935332775115967,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,On,On,On,Off,On,Off,0.07361197471618652,0.17782235145568848,36464,0.2752959728240967,140021,719,2.9928131103515625,"[80, 35, 2, 2, 15]"
On,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,On,On,On,Off,On,Off,0.08456897735595703,1.6272168159484863,515192,34.16696357727051,2152160,10605,38.30417513847351,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,0.08421850204467773,0.2302548885345459,36464,0.27657198905944824,140021,719,2.9694180488586426,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,On,Off,On,On,On,On,Off,Off,Off,On,On,Off,Off,On,Off,Off,0.0841059684753418,0.18230819702148438,35432,0.27455759048461914,140021,719,2.9294004440307617,"[80, 35, 2, 2, 15]"
