inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
80,15,1,2,5,0.3696969696969697,2.8373074769973754,0
60,35,2,4,15,0.2727272727272727,3.3350911378860473,1
90,10,3,1,20,0.18787878787878787,2.854272246360779,1
50,20,1,1,5,0.17575757575757575,2.856084418296814,2
60,15,2,3,15,-0.0303030303030303,3.136847138404846,3
70,15,1,1,20,-0.13939393939393938,2.875114011764526,3
60,20,1,4,20,-0.38181818181818183,3.2839776277542114,4
70,35,2,4,15,-0.4545454545454545,3.292854428291321,5
90,15,3,4,10,-0.5030303030303029,3.3258654832839967,6
80,25,2,1,5,-1,73.45018334388733,7
