fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.08407902717590332,1.700575590133667,515000,34.27802133560181,2152160,10605,40.03665280342102,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.08363008499145508,1.5118467807769775,523384,34.066627979278564,2152160,10605,38.420676469802856,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.09249067306518555,1.540877342224121,515000,34.16710186004639,2152160,10605,38.32191872596741,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.08930540084838867,1.4751644134521484,522088,34.10349130630493,2152160,10605,38.246901988983154,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.08825182914733887,1.5068082809448242,513704,34.1206796169281,2152160,10605,38.396766901016235,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.09651398658752441,1.532381534576416,513704,34.09512662887573,2152160,10605,38.29620933532715,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.09018135070800781,1.4584953784942627,521896,34.15035581588745,2152160,10605,38.32378649711609,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.0868985652923584,1.5349948406219482,523384,34.13458752632141,2152160,10605,38.404969930648804,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.08695006370544434,1.5519931316375732,513896,34.1619234085083,2152160,10605,38.46251034736633,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.09804177284240723,1.5092747211456299,523384,34.129189252853394,2152160,10605,38.36116671562195,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.08909773826599121,0.5294058322906494,31336,0.3203122615814209,195186,1019,3.50569748878479,"[80, 35, 1, 2, 35]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.09076595306396484,0.5000648498535156,31336,0.2861897945404053,195186,1019,3.3902945518493652,"[80, 35, 1, 2, 35]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.10640525817871094,0.4960610866546631,31336,0.30102109909057617,195186,1019,3.451179027557373,"[80, 35, 1, 2, 35]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.08644652366638184,0.516016960144043,30280,0.28667163848876953,195186,1019,3.443904399871826,"[80, 35, 1, 2, 35]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.08995413780212402,0.5039479732513428,30280,0.31080150604248047,195186,1019,3.442917823791504,"[80, 35, 1, 2, 35]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.08748841285705566,0.5035169124603271,30280,0.308502197265625,195186,1019,3.356024980545044,"[80, 35, 1, 2, 35]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.09657573699951172,0.48259639739990234,30280,0.2961254119873047,195186,1019,3.348142147064209,"[80, 35, 1, 2, 35]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.1043097972869873,0.5368199348449707,31336,0.29225969314575195,195186,1019,3.387420177459717,"[80, 35, 1, 2, 35]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.09475135803222656,0.5469365119934082,30280,0.31340646743774414,195186,1019,3.428267478942871,"[80, 35, 1, 2, 35]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.08745503425598145,0.4914839267730713,31336,0.2884080410003662,195186,1019,3.3482091426849365,"[80, 35, 1, 2, 35]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.08648419380187988,0.4678163528442383,172656,3.105116844177246,525756,3864,6.23758864402771,"[70, 25, 3, 4, 35]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.09414458274841309,0.49532032012939453,172656,3.0891921520233154,525756,3864,6.219935417175293,"[70, 25, 3, 4, 35]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.09395599365234375,0.4606802463531494,172656,3.0778911113739014,525756,3864,6.1727211475372314,"[70, 25, 3, 4, 35]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.08865571022033691,0.46329426765441895,171512,3.065460681915283,525756,3864,6.101383924484253,"[70, 25, 3, 4, 35]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.0790557861328125,0.46858859062194824,171512,3.0868031978607178,525756,3864,6.119384050369263,"[70, 25, 3, 4, 35]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.09903693199157715,0.4842185974121094,171512,3.0715649127960205,525756,3864,6.212033987045288,"[70, 25, 3, 4, 35]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.08678102493286133,0.4806065559387207,171512,3.0863864421844482,525756,3864,6.12295389175415,"[70, 25, 3, 4, 35]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.08939719200134277,0.46060633659362793,172656,3.085036516189575,525756,3864,6.15037727355957,"[70, 25, 3, 4, 35]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.10342073440551758,0.47200584411621094,171512,3.0788803100585938,525756,3864,6.141106367111206,"[70, 25, 3, 4, 35]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.08243775367736816,0.4681401252746582,172656,3.069882392883301,525756,3864,6.141493558883667,"[70, 25, 3, 4, 35]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.08802223205566406,0.1859898567199707,18584,0.1223912239074707,28004,471,2.981614112854004,"[90, 5, 2, 1, 20]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.09550118446350098,0.14815235137939453,18584,0.11222076416015625,28004,471,2.9341163635253906,"[90, 5, 2, 1, 20]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.10891556739807129,0.18514204025268555,18584,0.10838055610656738,28004,471,2.9929492473602295,"[90, 5, 2, 1, 20]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.09572029113769531,0.14728450775146484,17528,0.09337544441223145,28004,471,2.865182876586914,"[90, 5, 2, 1, 20]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.07698512077331543,0.15086865425109863,17528,0.12107038497924805,28004,471,2.862534761428833,"[90, 5, 2, 1, 20]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.10306668281555176,0.13269758224487305,17528,0.1044759750366211,28004,471,2.858262300491333,"[90, 5, 2, 1, 20]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.08977699279785156,0.18387317657470703,17528,0.09222579002380371,28004,471,2.83325457572937,"[90, 5, 2, 1, 20]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.09359335899353027,0.1541755199432373,18584,0.09353947639465332,28004,471,2.8229305744171143,"[90, 5, 2, 1, 20]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.09591841697692871,0.1381397247314453,17528,0.12051224708557129,28004,471,2.8433964252471924,"[90, 5, 2, 1, 20]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.09615635871887207,0.15246224403381348,18584,0.09255218505859375,28004,471,2.8742964267730713,"[90, 5, 2, 1, 20]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.09281110763549805,0.16357111930847168,23160,0.10239219665527344,14595,106,2.8646481037139893,"[60, 25, 1, 4, 20]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.08455085754394531,0.13243365287780762,27256,0.09020018577575684,14595,106,2.809875726699829,"[60, 25, 1, 4, 20]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.09199786186218262,0.16891813278198242,23160,0.09104418754577637,14595,106,2.826329469680786,"[60, 25, 1, 4, 20]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.09573030471801758,0.16127586364746094,26216,0.09160614013671875,14595,106,2.9060277938842773,"[60, 25, 1, 4, 20]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.09061050415039062,0.13494277000427246,22120,0.08435392379760742,14595,106,2.8263864517211914,"[60, 25, 1, 4, 20]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.09618353843688965,0.14144659042358398,22120,0.08347153663635254,14595,106,2.819794178009033,"[60, 25, 1, 4, 20]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.09149336814880371,0.1713418960571289,26216,0.0890660285949707,14595,106,2.7185771465301514,"[60, 25, 1, 4, 20]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.0984950065612793,0.15466690063476562,27256,0.09816718101501465,14595,106,2.848745346069336,"[60, 25, 1, 4, 20]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.09516334533691406,0.17118525505065918,22120,0.09397602081298828,14595,106,2.8125076293945312,"[60, 25, 1, 4, 20]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.09131860733032227,0.14816617965698242,27256,0.08323550224304199,14595,106,2.829486846923828,"[60, 25, 1, 4, 20]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.09121990203857422,0.17736291885375977,24008,0.1333024501800537,14989,171,2.930037260055542,"[60, 10, 1, 1, 5]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.08396005630493164,0.14085960388183594,24008,0.11370539665222168,14989,171,2.8302032947540283,"[60, 10, 1, 1, 5]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.08451151847839355,0.17499732971191406,24008,0.11119651794433594,14989,171,2.8554306030273438,"[60, 10, 1, 1, 5]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.0966787338256836,0.15544581413269043,22984,0.10813236236572266,14989,171,2.8013134002685547,"[60, 10, 1, 1, 5]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.09756231307983398,0.1535205841064453,22984,0.11767053604125977,14989,171,2.8595962524414062,"[60, 10, 1, 1, 5]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.09035468101501465,0.1316084861755371,22984,0.10305428504943848,14989,171,2.77494215965271,"[60, 10, 1, 1, 5]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.08154606819152832,0.15214753150939941,22984,0.11337065696716309,14989,171,2.8796703815460205,"[60, 10, 1, 1, 5]"
