inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
90,15,1,2,10,0.38181818181818183,2.83763108253479,0
50,15,1,1,25,0.6848484848484848,2.9002167701721193,0
80,20,1,1,10,0.09090909090909088,2.8260645866394043,0
80,15,1,3,10,-0.09090909090909088,2.8147738218307494,0
60,20,1,1,10,0.13939393939393938,2.871539306640625,1
80,35,1,3,15,0.23636363636363633,2.920314407348633,1
50,35,1,1,35,0.41818181818181815,2.922739553451538,1
80,25,1,2,10,0.04242424242424241,2.8449130296707152,1
50,5,3,1,10,-0.06666666666666665,2.8357070446014405,1
70,10,1,2,5,-0.1515151515151515,2.8365665674209595,2
