fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,On,Off,Off,On,On,0.09888935089111328,1.6478707790374756,521896,34.25974178314209,2152160,10605,39.90489315986633,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,On,Off,0.10052967071533203,1.517402172088623,523384,34.14225673675537,2152160,10605,38.24405288696289,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,On,0.08748722076416016,1.4814186096191406,523192,34.12398552894592,2152160,10605,38.265061140060425,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,On,0.09862136840820312,1.4802625179290771,513704,34.14245796203613,2152160,10605,38.23153281211853,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,0.1031961441040039,1.4949450492858887,521896,34.14032983779907,2152160,10605,38.20744729042053,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,On,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,0.09104681015014648,1.486358880996704,513896,34.17704367637634,2152160,10605,38.25153374671936,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,On,On,Off,On,On,On,Off,Off,On,On,On,Off,Off,On,0.09013485908508301,1.4712023735046387,515192,34.08825969696045,2152160,10605,38.10521697998047,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,0.0861823558807373,1.4852254390716553,523384,34.129677057266235,2152160,10605,38.28961443901062,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,On,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,On,0.09043002128601074,1.5172560214996338,513896,34.094908475875854,2152160,10605,38.300538539886475,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,0.09249401092529297,1.4922826290130615,515000,34.12568640708923,2152160,10605,38.20914149284363,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,On,Off,Off,On,On,0.08720541000366211,0.24049139022827148,102624,0.19381141662597656,87703,753,3.0024054050445557,"[50, 20, 2, 2, 15]"
On,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,On,Off,0.09662055969238281,0.1866767406463623,103768,0.15182876586914062,87703,753,2.9430911540985107,"[50, 20, 2, 2, 15]"
On,Off,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,Off,Off,On,On,Off,On,0.08297061920166016,0.20465898513793945,103728,0.17615795135498047,87703,753,2.855914354324341,"[50, 20, 2, 2, 15]"
On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,On,On,0.0981132984161377,0.1943199634552002,102624,0.16018414497375488,87703,753,2.904921770095825,"[50, 20, 2, 2, 15]"
Off,Off,Off,On,Off,On,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,0.0828855037689209,0.20450639724731445,102624,0.17195463180541992,87703,753,2.8843190670013428,"[50, 20, 2, 2, 15]"
Off,Off,Off,Off,On,On,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,0.08409523963928223,0.19874835014343262,102664,0.1786026954650879,87703,753,2.940531015396118,"[50, 20, 2, 2, 15]"
Off,On,Off,Off,On,Off,On,On,Off,On,On,On,Off,Off,On,On,On,Off,Off,On,0.09038138389587402,0.20837736129760742,103768,0.1577742099761963,87703,753,2.9012739658355713,"[50, 20, 2, 2, 15]"
Off,On,On,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,0.09022760391235352,0.21680974960327148,103768,0.168900728225708,87703,753,2.879638910293579,"[50, 20, 2, 2, 15]"
On,On,On,Off,Off,On,On,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,On,0.07969951629638672,0.21831631660461426,102664,0.16262578964233398,87703,753,2.9760208129882812,"[50, 20, 2, 2, 15]"
