fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,0.09687471389770508,1.6861841678619385,523192,34.367716550827026,2152160,10605,40.209864377975464,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,On,On,On,On,On,0.09929180145263672,1.559194803237915,523384,34.131908655166626,2152160,10605,38.43404746055603,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,Off,Off,On,On,On,Off,On,On,Off,On,Off,Off,On,On,0.11541152000427246,1.545884609222412,513704,34.07574653625488,2152160,10605,38.314387798309326,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,Off,Off,On,On,Off,0.09761309623718262,1.4939541816711426,513704,34.02488398551941,2152160,10605,38.27010369300842,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,On,On,Off,On,On,On,On,Off,Off,On,On,Off,Off,Off,0.08381962776184082,1.4587047100067139,515192,34.06645584106445,2152160,10605,38.29171848297119,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,On,On,Off,On,On,On,0.08167529106140137,1.5185227394104004,513896,34.11429452896118,2152160,10605,38.312074184417725,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,Off,Off,Off,On,On,Off,On,On,Off,Off,Off,Off,Off,0.08766388893127441,1.4943745136260986,521896,34.124858379364014,2152160,10605,38.36077857017517,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,0.1023397445678711,1.5941603183746338,523384,34.021398067474365,2152160,10605,38.19466519355774,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,On,Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,On,0.0868983268737793,1.4934954643249512,523384,34.054417848587036,2152160,10605,38.11316728591919,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,Off,On,On,On,On,On,On,On,On,Off,Off,Off,On,Off,0.08728146553039551,1.5092296600341797,513896,34.07505798339844,2152160,10605,38.2370228767395,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,On,0.0859072208404541,1.514801263809204,523192,34.05202865600586,2152160,10605,38.23885679244995,"[10, 50, 6, 4, 50]"
