fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,Off,On,Off,On,Off,On,Off,Off,Off,On,On,Off,On,On,Off,On,On,0.08263230323791504,0.33101916313171387,141424,2.427692174911499,356663,1676,5.879594564437866,"[10, 50, 6, 4, 5]"
On,Off,On,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,Off,0.0910801887512207,0.2690560817718506,140352,2.0880894660949707,356663,1676,4.96147346496582,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,Off,On,Off,0.08523058891296387,0.29506444931030273,145592,2.1309046745300293,356663,1676,4.984338045120239,"[10, 50, 6, 4, 5]"
On,On,Off,On,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,On,On,0.08794999122619629,0.26021337509155273,145520,2.1210107803344727,356663,1676,4.890581130981445,"[10, 50, 6, 4, 5]"
Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,0.07976675033569336,0.2923440933227539,144448,2.1350433826446533,356663,1676,4.982763767242432,"[10, 50, 6, 4, 5]"
On,On,Off,On,Off,Off,On,On,On,On,Off,Off,Off,On,On,Off,Off,On,Off,On,0.08302736282348633,0.2450246810913086,144520,2.1121861934661865,356663,1676,4.855946063995361,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,On,Off,On,Off,0.08426594734191895,0.2682466506958008,145592,2.1181302070617676,356663,1676,5.006373167037964,"[10, 50, 6, 4, 5]"
Off,On,Off,On,On,On,On,Off,On,On,Off,On,On,Off,On,Off,Off,On,On,On,0.08221077919006348,0.27397584915161133,144448,2.1080851554870605,356663,1676,4.96082067489624,"[10, 50, 6, 4, 5]"
Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,0.09266400337219238,0.7557411193847656,205976,4.151398181915283,828309,4503,7.484109401702881,"[10, 50, 6, 4, 10]"
Off,On,Off,On,On,On,On,Off,On,On,Off,On,On,Off,On,Off,Off,On,On,On,0.07315278053283691,0.7584559917449951,205976,4.119735240936279,828309,4503,7.350151062011719,"[10, 50, 6, 4, 10]"
