fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,On,Off,On,On,Off,On,On,Off,On,On,Off,Off,Off,On,Off,On,Off,0.0976102352142334,0.3202323913574219,145520,2.2126662731170654,356663,1676,5.672108888626099,"[10, 50, 6, 4, 5]"
Off,On,Off,Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,Off,On,On,On,Off,0.08289480209350586,0.28104329109191895,141424,2.0925238132476807,356663,1676,4.875442981719971,"[10, 50, 6, 4, 5]"
On,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,Off,On,On,On,0.08154487609863281,0.29700183868408203,140424,2.095426321029663,356663,1676,4.944624900817871,"[10, 50, 6, 4, 5]"
Off,Off,On,On,On,Off,Off,On,On,Off,On,On,On,Off,Off,On,Off,On,Off,On,0.07995152473449707,0.28215718269348145,144520,2.0880343914031982,356663,1676,4.959845304489136,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.07707095146179199,0.27509546279907227,145520,2.0930962562561035,356663,1676,4.873141765594482,"[10, 50, 6, 4, 5]"
On,On,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,0.09011244773864746,0.27803802490234375,145520,2.089362621307373,356663,1676,4.949827194213867,"[10, 50, 6, 4, 5]"
Off,On,Off,On,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,On,Off,On,On,0.09183645248413086,0.2937746047973633,145592,2.1030972003936768,356663,1676,4.9224584102630615,"[10, 50, 6, 4, 5]"
Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,On,0.09700274467468262,0.2626829147338867,145520,2.129751205444336,356663,1676,4.9565207958221436,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.08253765106201172,0.7727921009063721,207208,4.144123554229736,828309,4503,7.4838573932647705,"[10, 50, 6, 4, 10]"
Off,Off,On,On,On,Off,Off,On,On,Off,On,On,On,Off,Off,On,Off,On,Off,On,0.09497523307800293,0.7386102676391602,206008,4.137814998626709,828309,4503,7.39957070350647,"[10, 50, 6, 4, 10]"
On,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,Off,On,On,On,0.08948540687561035,0.7086148262023926,206008,4.117015838623047,828309,4503,7.436748027801514,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,Off,On,On,On,Off,0.09829115867614746,0.7236301898956299,207208,4.140474319458008,828309,4503,7.471163272857666,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.08611726760864258,0.6803112030029297,242608,6.779752016067505,866233,4708,9.998088359832764,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,Off,On,On,On,0.09296751022338867,0.732064962387085,241528,6.762843370437622,866233,4708,10.084968090057373,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.09720706939697266,1.5127015113830566,523192,34.12690281867981,2152160,10605,38.25363802909851,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,On,Off,On,On,On,Off,0.09011292457580566,0.708035945892334,207208,4.155619859695435,828309,4503,7.494606256484985,"[10, 50, 6, 4, 10]"
On,Off,Off,On,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,On,On,On,On,0.09235930442810059,0.7256700992584229,207240,4.160402774810791,828309,4503,7.458816051483154,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,On,Off,On,On,On,0.08625006675720215,0.7047667503356934,206008,4.1566689014434814,828309,4503,7.465986490249634,"[10, 50, 6, 4, 10]"
Off,On,Off,On,On,On,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,On,0.09970521926879883,0.7126517295837402,205976,4.164234638214111,828309,4503,7.388489723205566,"[10, 50, 6, 4, 10]"
On,On,On,On,On,Off,On,On,Off,Off,On,On,On,Off,Off,On,On,On,On,On,0.0844728946685791,0.7078866958618164,207240,4.155586004257202,828309,4503,7.478198051452637,"[10, 50, 6, 4, 10]"
Off,Off,On,On,On,Off,On,Off,Off,Off,Off,Off,On,On,On,On,On,Off,On,On,0.10204291343688965,0.6963393688201904,207208,4.158730506896973,828309,4503,7.464235782623291,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,On,On,On,Off,On,On,Off,Off,Off,Off,On,Off,On,Off,0.10968637466430664,0.7104980945587158,246776,6.794515371322632,866233,4708,10.137937068939209,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,On,Off,On,Off,Off,On,Off,0.10328149795532227,0.7049181461334229,241528,6.780137300491333,866233,4708,10.184938430786133,"[10, 50, 6, 4, 25]"
On,On,On,On,On,On,On,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,On,Off,0.06461811065673828,0.7252299785614014,242608,6.77611517906189,866233,4708,10.087109327316284,"[10, 50, 6, 4, 25]"
On,On,On,On,On,Off,On,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,0.09731626510620117,1.5090839862823486,523384,34.07103180885315,2152160,10605,38.16570448875427,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,Off,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,0.08273482322692871,0.7107431888580322,241456,6.762431859970093,866233,4708,9.983071088790894,"[10, 50, 6, 4, 25]"
On,On,Off,On,On,Off,Off,On,Off,Off,On,On,Off,On,On,On,Off,On,On,On,0.09565353393554688,0.7225003242492676,245624,6.766731023788452,866233,4708,9.983477115631104,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,On,On,Off,On,Off,On,Off,Off,On,On,Off,On,On,On,On,0.08897900581359863,0.7108626365661621,242608,6.767287492752075,866233,4708,10.026224136352539,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,On,On,Off,On,Off,On,On,Off,Off,Off,On,On,On,On,On,0.08778643608093262,0.6977400779724121,242608,6.773295640945435,866233,4708,10.001802206039429,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,On,On,On,On,On,Off,0.09416770935058594,1.4910013675689697,523192,34.1497266292572,2152160,10605,38.222633838653564,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,On,On,On,Off,0.10800909996032715,1.4371776580810547,523384,34.15602254867554,2152160,10605,38.19745707511902,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,Off,On,On,On,Off,0.0894327163696289,1.519712209701538,523192,34.11612939834595,2152160,10605,38.20251536369324,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,On,On,Off,0.08340883255004883,1.4890687465667725,523192,34.15392327308655,2152160,10605,38.24003767967224,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,On,On,On,On,Off,0.09151649475097656,1.4969382286071777,523192,34.11154747009277,2152160,10605,38.29860520362854,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,Off,0.07930302619934082,1.4861390590667725,523192,34.05834746360779,2152160,10605,38.07200622558594,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,On,Off,On,On,On,On,On,Off,Off,On,On,Off,On,On,0.08678436279296875,0.29761552810668945,145520,2.091233491897583,356663,1676,5.040297269821167,"[10, 50, 6, 4, 5]"
Off,On,Off,On,On,On,On,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,Off,0.08792734146118164,0.25634074211120605,145520,2.1101021766662598,356663,1676,4.952615261077881,"[10, 50, 6, 4, 5]"
On,On,On,On,Off,Off,Off,On,On,On,On,On,On,On,On,On,Off,On,Off,On,0.08215856552124023,0.3009064197540283,144520,2.0918161869049072,356663,1676,4.9487974643707275,"[10, 50, 6, 4, 5]"
Off,Off,On,On,Off,Off,On,On,On,On,Off,On,On,Off,Off,Off,Off,On,On,On,0.07625198364257812,0.2957007884979248,144520,2.0971899032592773,356663,1676,4.978291749954224,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,On,On,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,On,Off,0.07897830009460449,0.266538143157959,145520,2.0933051109313965,356663,1676,4.931436777114868,"[10, 50, 6, 4, 5]"
On,On,On,On,On,Off,On,On,On,On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,0.08115005493164062,0.2997305393218994,144520,2.1044704914093018,356663,1676,4.9246509075164795,"[10, 50, 6, 4, 5]"
Off,Off,On,On,On,On,Off,On,On,On,On,On,Off,Off,On,Off,Off,On,On,Off,0.08429121971130371,0.2890341281890869,144520,2.100104808807373,356663,1676,4.932156562805176,"[10, 50, 6, 4, 5]"
