fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,On,Off,Off,On,On,0.07746577262878418,1.6610701084136963,513896,34.29791498184204,2152160,10605,40.18672442436218,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,On,0.08277249336242676,1.525216817855835,523384,34.06801676750183,2152160,10605,38.22807574272156,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,Off,On,On,On,On,On,On,Off,On,Off,Off,Off,On,Off,Off,0.0908513069152832,1.5474157333374023,522088,34.08975005149841,2152160,10605,38.36791253089905,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,On,On,On,Off,0.08621931076049805,1.560739517211914,515000,34.069753646850586,2152160,10605,38.564919233322144,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,On,Off,On,On,Off,On,Off,On,Off,Off,Off,On,On,On,0.09154582023620605,1.4634881019592285,521896,34.007251501083374,2152160,10605,38.16772127151489,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,0.1016244888305664,1.4715704917907715,513704,34.08094549179077,2152160,10605,38.41281580924988,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,Off,On,On,Off,On,On,On,On,Off,On,On,On,On,On,0.09229636192321777,1.4482505321502686,515192,34.266889572143555,2152160,10605,38.42599010467529,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,Off,Off,On,Off,Off,On,On,On,On,Off,Off,Off,Off,On,0.0988767147064209,1.4645843505859375,521896,34.118446350097656,2152160,10605,38.25323414802551,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,On,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,0.10056471824645996,1.5808820724487305,515192,34.061471939086914,2152160,10605,38.26000213623047,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,On,Off,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,0.0880289077758789,1.4778783321380615,521896,34.07857418060303,2152160,10605,38.24700617790222,"[10, 50, 6, 4, 50]"
