fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,Off,Off,On,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,On,0.0993490219116211,1.6067161560058594,513896,34.52275013923645,2152160,10605,40.346951484680176,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,On,Off,On,Off,On,On,On,On,On,Off,On,On,On,Off,0.09896731376647949,1.503718614578247,515000,34.04787302017212,2152160,10605,38.21711087226868,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,0.0992429256439209,1.505096673965454,513896,34.1076819896698,2152160,10605,38.452147006988525,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,Off,On,On,On,On,Off,On,On,Off,On,Off,On,On,Off,0.09126949310302734,1.5270624160766602,522088,34.06936478614807,2152160,10605,38.35536789894104,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,0.08521461486816406,1.520076036453247,513704,34.098411321640015,2152160,10605,38.29088377952576,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,Off,On,On,Off,On,Off,Off,Off,On,On,On,Off,On,On,On,0.09454917907714844,1.487922191619873,522088,34.149988889694214,2152160,10605,38.24609136581421,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,On,On,On,On,Off,On,0.07979512214660645,1.4577703475952148,523192,34.05931854248047,2152160,10605,38.17867565155029,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,0.09623456001281738,1.4745275974273682,513896,34.071056842803955,2152160,10605,38.176602840423584,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,Off,Off,Off,On,On,Off,On,On,On,On,On,On,Off,0.08987760543823242,1.5059573650360107,523192,34.1380090713501,2152160,10605,38.25544714927673,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,On,Off,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,0.08628392219543457,1.5403664112091064,513896,34.094162464141846,2152160,10605,38.30779790878296,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,0.09702515602111816,1.4601550102233887,523384,34.04044008255005,2152160,10605,38.227729082107544,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,Off,On,0.08223915100097656,1.5588593482971191,523192,34.011526346206665,2152160,10605,38.2733736038208,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,Off,Off,0.1028909683227539,1.5307180881500244,523192,34.07967710494995,2152160,10605,38.181684255599976,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,On,Off,Off,On,On,On,On,On,Off,Off,On,Off,Off,Off,0.09912610054016113,1.4414937496185303,523192,34.01521325111389,2152160,10605,38.13860249519348,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,Off,On,Off,On,Off,On,On,On,Off,On,Off,Off,Off,Off,On,0.08361029624938965,1.479884386062622,521896,34.09209609031677,2152160,10605,38.07032585144043,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,On,On,0.08695673942565918,1.4772694110870361,513896,34.03988862037659,2152160,10605,38.13276934623718,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,0.09061527252197266,1.456308126449585,521896,34.11050224304199,2152160,10605,38.08694577217102,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,Off,On,On,On,Off,On,On,Off,Off,On,Off,On,On,On,0.0835719108581543,1.4753339290618896,513896,34.12125110626221,2152160,10605,38.19821238517761,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,On,Off,On,On,Off,Off,Off,On,On,On,Off,Off,On,Off,0.09779596328735352,1.501321792602539,521896,34.08529090881348,2152160,10605,38.049938917160034,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,0.09887385368347168,1.5349311828613281,513704,34.00080466270447,2152160,10605,38.18143653869629,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,On,On,On,Off,Off,0.08112692832946777,1.4633357524871826,523384,34.027026653289795,2152160,10605,38.152100563049316,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,0.08611774444580078,1.553713321685791,513896,34.12565207481384,2152160,10605,38.35759902000427,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,On,Off,Off,On,Off,Off,On,Off,Off,On,On,Off,Off,On,0.08265900611877441,1.4854989051818848,523192,33.993298292160034,2152160,10605,38.15707492828369,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,0.10076141357421875,1.4900996685028076,515192,34.12378168106079,2152160,10605,38.26326322555542,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,Off,On,On,On,0.08992457389831543,1.5069596767425537,521896,34.097081899642944,2152160,10605,38.27566385269165,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,On,On,Off,On,0.07508254051208496,1.5446655750274658,523192,34.02022576332092,2152160,10605,38.218703508377075,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,On,On,On,On,On,On,Off,On,0.08837342262268066,1.5323832035064697,523192,34.06483840942383,2152160,10605,38.2184362411499,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,On,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,On,0.08472299575805664,1.5611679553985596,523384,34.054375648498535,2152160,10605,38.251253843307495,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,On,On,0.10316205024719238,1.4613561630249023,513896,34.12996554374695,2152160,10605,38.23284363746643,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,Off,On,Off,On,Off,On,On,On,Off,Off,Off,On,Off,Off,On,0.09108781814575195,1.5105946063995361,523192,34.40731978416443,2152160,10605,38.64618396759033,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,Off,0.07959842681884766,1.526850938796997,513704,34.12881255149841,2152160,10605,38.25495982170105,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,Off,Off,On,On,0.09093427658081055,1.5650603771209717,513896,34.12248706817627,2152160,10605,38.42242956161499,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,On,On,Off,Off,Off,On,On,On,Off,On,On,On,Off,Off,0.08667969703674316,1.5513737201690674,523384,34.08817434310913,2152160,10605,38.29250478744507,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,On,On,Off,On,Off,Off,Off,On,On,On,On,On,On,On,0.08072924613952637,1.4916751384735107,515192,34.07926154136658,2152160,10605,38.1877281665802,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,On,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,0.12267470359802246,1.5122480392456055,522088,34.0501275062561,2152160,10605,38.23622727394104,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,On,Off,On,On,Off,Off,Off,On,On,Off,Off,On,On,On,0.07837820053100586,1.5713906288146973,521896,34.03112292289734,2152160,10605,38.192638874053955,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,On,On,On,Off,On,0.09552526473999023,1.520209789276123,523384,34.02249073982239,2152160,10605,38.27141046524048,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,On,0.08923530578613281,1.5653386116027832,515000,34.07868981361389,2152160,10605,38.28259992599487,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,0.08455348014831543,1.49845552444458,522088,34.03801250457764,2152160,10605,38.22759652137756,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,On,0.0767815113067627,1.538398265838623,523192,34.071150064468384,2152160,10605,38.29708647727966,"[10, 50, 6, 4, 50]"
