fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,evaluated_time,fidelity_setting,corr
On,On,On,On,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,Off,On,0.07084250450134277,38.26727914810181,"[10, 50, 6, 4, 50]",1
On,On,On,On,Off,Off,Off,On,On,On,On,Off,On,On,On,On,On,On,Off,Off,0.07359576225280762,38.08654808998108,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,On,On,Off,On,On,On,Off,Off,On,Off,On,Off,On,Off,On,0.07482457160949707,38.13148212432861,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,On,On,On,Off,Off,0.07541942596435547,38.171077251434326,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,Off,Off,0.07609701156616211,38.26364850997925,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,On,On,Off,Off,0.07626628875732422,38.17320203781128,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,0.07655072212219238,38.19294023513794,"[10, 50, 6, 4, 50]",1
Off,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,On,On,0.07686758041381836,38.35664343833923,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,On,On,Off,On,Off,Off,0.07721281051635742,38.33640742301941,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,On,Off,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,0.07761049270629883,38.19325399398804,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,Off,Off,On,Off,On,Off,On,On,On,Off,Off,On,On,On,Off,Off,0.07783389091491699,38.21096873283386,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,On,Off,On,Off,On,On,On,On,Off,Off,On,On,Off,Off,0.07786202430725098,38.189502000808716,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,On,Off,On,On,Off,Off,On,On,On,Off,Off,On,Off,Off,0.0787348747253418,38.35254526138306,"[10, 50, 6, 4, 50]",1
Off,Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,On,Off,On,On,Off,On,0.07889032363891602,38.179779052734375,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,Off,On,Off,On,0.07897806167602539,38.2454195022583,"[10, 50, 6, 4, 50]",1
On,On,On,On,Off,On,Off,Off,On,On,On,On,On,On,Off,On,On,Off,Off,On,0.0796816349029541,38.27492594718933,"[10, 50, 6, 4, 50]",1
Off,On,On,On,Off,Off,On,Off,On,Off,On,On,On,On,Off,On,On,Off,Off,On,0.08027243614196777,38.20975470542908,"[10, 50, 6, 4, 50]",1
Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,On,On,On,On,Off,Off,0.08112931251525879,38.13287568092346,"[10, 50, 6, 4, 50]",1
On,On,On,On,Off,On,Off,On,On,On,On,Off,On,On,On,On,Off,Off,Off,On,0.08115696907043457,38.14526009559631,"[10, 50, 6, 4, 50]",1
Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,On,On,Off,On,0.08124589920043945,38.372440814971924,"[10, 50, 6, 4, 50]",1
