fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,On,On,On,On,Off,On,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,0.11255931854248047,1.669156551361084,523384,34.39800500869751,2152160,10605,40.418867349624634,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,On,On,Off,On,Off,On,Off,Off,0.08920931816101074,1.5849225521087646,513704,34.11383128166199,2152160,10605,38.384639263153076,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,On,0.09663248062133789,1.4756643772125244,521896,34.360079765319824,2152160,10605,38.61393189430237,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,On,On,On,On,Off,Off,Off,On,On,On,On,On,On,On,Off,0.09002327919006348,1.5360279083251953,515192,34.06507229804993,2152160,10605,38.20364427566528,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,Off,Off,On,On,Off,Off,On,On,On,On,On,Off,On,0.0964052677154541,1.4994151592254639,515000,34.46647810935974,2152160,10605,38.625572681427,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,0.07419419288635254,1.4959981441497803,522088,34.076173067092896,2152160,10605,38.0828173160553,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,On,Off,On,On,On,0.09441542625427246,1.5162265300750732,513896,34.13361382484436,2152160,10605,38.30639410018921,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,On,Off,Off,On,On,Off,On,Off,On,Off,On,Off,Off,Off,0.10127568244934082,1.5385985374450684,523192,34.08752751350403,2152160,10605,38.43797826766968,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,On,Off,On,0.09509778022766113,1.4580142498016357,521896,34.12543249130249,2152160,10605,38.253756284713745,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,On,On,On,On,Off,On,Off,Off,On,Off,On,Off,On,Off,0.10491752624511719,1.48976731300354,515192,34.066277503967285,2152160,10605,38.242395877838135,"[10, 50, 6, 4, 50]"
