fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,Off,On,Off,On,On,On,Off,On,On,On,On,Off,On,Off,Off,Off,Off,Off,0.08850312232971191,0.3056621551513672,144520,2.2506449222564697,356663,1676,5.74274754524231,"[10, 50, 6, 4, 5]"
Off,On,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,0.09475994110107422,0.272627592086792,145520,2.070488214492798,356663,1676,4.975995779037476,"[10, 50, 6, 4, 5]"
On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,On,Off,On,0.08009552955627441,0.2928769588470459,145592,2.1170432567596436,356663,1676,5.037310838699341,"[10, 50, 6, 4, 5]"
On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,On,On,On,0.10845136642456055,0.2687809467315674,141496,2.095621109008789,356663,1676,5.004415988922119,"[10, 50, 6, 4, 5]"
On,Off,On,Off,Off,Off,On,Off,On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,0.08124780654907227,0.2793593406677246,140352,2.1388983726501465,356663,1676,5.050346374511719,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,On,Off,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,0.08403658866882324,0.2778661251068115,145592,2.1124930381774902,356663,1676,4.965926647186279,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,0.0955965518951416,0.2719399929046631,140352,2.1135523319244385,356663,1676,4.982029676437378,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,0.09511709213256836,0.26409244537353516,140352,2.117479085922241,356663,1676,5.0877485275268555,"[10, 50, 6, 4, 5]"
On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,On,Off,On,0.08420419692993164,0.7362160682678223,207240,4.1495606899261475,828309,4503,7.338390350341797,"[10, 50, 6, 4, 10]"
On,Off,On,Off,Off,Off,On,Off,On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,0.09482192993164062,0.7203810214996338,205976,4.1304450035095215,828309,4503,7.495511770248413,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,Off,On,Off,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,0.09141755104064941,0.7588601112365723,207240,4.142552614212036,828309,4503,7.4964189529418945,"[10, 50, 6, 4, 10]"
Off,On,Off,On,Off,On,On,On,Off,On,On,On,On,Off,On,Off,Off,Off,Off,Off,0.08481550216674805,0.7461929321289062,206008,4.116266489028931,828309,4503,7.6748716831207275,"[10, 50, 6, 4, 10]"
On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,On,Off,On,0.0908203125,0.707695484161377,246776,6.773664951324463,866233,4708,10.12283205986023,"[10, 50, 6, 4, 25]"
Off,On,Off,On,Off,On,On,On,Off,On,On,On,On,Off,On,Off,Off,Off,Off,Off,0.09728145599365234,0.71309494972229,245624,6.776489734649658,866233,4708,10.136224508285522,"[10, 50, 6, 4, 25]"
On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,On,Off,On,0.10898780822753906,1.5074353218078613,523384,34.076942443847656,2152160,10605,38.188966035842896,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,On,0.10448789596557617,0.7328271865844727,206008,4.18612265586853,828309,4503,7.509484052658081,"[10, 50, 6, 4, 10]"
On,On,On,On,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,0.08774161338806152,0.7747480869293213,207240,4.1294403076171875,828309,4503,7.508860111236572,"[10, 50, 6, 4, 10]"
On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,Off,Off,0.08600735664367676,0.7795493602752686,205976,4.152332305908203,828309,4503,7.549253463745117,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,On,On,0.08543205261230469,0.7845203876495361,207208,4.140885591506958,828309,4503,7.454894304275513,"[10, 50, 6, 4, 10]"
Off,On,On,Off,On,Off,On,Off,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,0.08145356178283691,0.8123693466186523,207208,4.124606370925903,828309,4503,7.599062442779541,"[10, 50, 6, 4, 10]"
On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,On,On,On,On,Off,Off,On,Off,0.0922856330871582,0.7389464378356934,206008,4.138174295425415,828309,4503,7.5568528175354,"[10, 50, 6, 4, 10]"
Off,On,On,Off,On,Off,On,Off,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,0.09470558166503906,0.7333798408508301,242608,6.784779071807861,866233,4708,10.177213191986084,"[10, 50, 6, 4, 25]"
Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,On,On,0.0820622444152832,0.7012760639190674,242608,6.7621355056762695,866233,4708,10.142210960388184,"[10, 50, 6, 4, 25]"
On,On,Off,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,On,Off,Off,0.08673882484436035,0.6669249534606934,241456,6.753790855407715,866233,4708,10.064720392227173,"[10, 50, 6, 4, 25]"
Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,On,On,0.09254789352416992,1.4994840621948242,515000,34.067360162734985,2152160,10605,38.24891233444214,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,On,0.09808611869812012,0.6825335025787354,241456,6.76666784286499,866233,4708,10.207287073135376,"[10, 50, 6, 4, 25]"
On,Off,Off,Off,On,On,On,On,On,On,On,Off,On,On,Off,On,On,Off,On,Off,0.09098529815673828,0.656501293182373,242680,6.757472038269043,866233,4708,10.083508253097534,"[10, 50, 6, 4, 25]"
Off,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,On,On,Off,Off,0.07961344718933105,0.6811389923095703,242608,6.77171516418457,866233,4708,10.173100471496582,"[10, 50, 6, 4, 25]"
On,Off,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,On,0.08271312713623047,0.6961619853973389,245624,6.753272294998169,866233,4708,10.093265056610107,"[10, 50, 6, 4, 25]"
Off,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,On,On,Off,Off,0.09446573257446289,1.4877362251281738,523192,34.140408515930176,2152160,10605,38.36844515800476,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,On,0.0958101749420166,1.5194003582000732,522088,34.05888915061951,2152160,10605,38.304417848587036,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,Off,On,On,On,On,Off,On,On,On,On,On,On,Off,On,On,0.09488415718078613,1.4684343338012695,523384,34.06340050697327,2152160,10605,38.18235921859741,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,Off,Off,Off,On,On,On,0.07564449310302734,1.4490935802459717,513896,34.08610439300537,2152160,10605,38.203311920166016,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,0.09042811393737793,1.5198602676391602,523192,34.075775146484375,2152160,10605,38.292240858078,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,Off,0.10318732261657715,1.4830646514892578,513704,34.062092542648315,2152160,10605,38.18765425682068,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,On,Off,0.09121990203857422,0.3057258129119873,140352,2.1046228408813477,356663,1676,5.064681053161621,"[10, 50, 6, 4, 5]"
Off,On,On,Off,On,On,Off,On,On,On,On,On,On,On,On,On,On,On,Off,On,0.09446835517883301,0.3023843765258789,141496,2.0923471450805664,356663,1676,5.023846864700317,"[10, 50, 6, 4, 5]"
On,Off,On,On,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,0.09390997886657715,0.2724294662475586,144448,2.0778968334198,356663,1676,4.975136041641235,"[10, 50, 6, 4, 5]"
On,On,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,On,Off,On,Off,0.08591961860656738,0.2668724060058594,145520,2.076634407043457,356663,1676,4.931159496307373,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,On,On,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,0.1010141372680664,0.25065135955810547,144448,2.0826287269592285,356663,1676,5.004496812820435,"[10, 50, 6, 4, 5]"
Off,On,On,Off,On,Off,On,On,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,0.08865833282470703,0.26538586616516113,141496,2.104259729385376,356663,1676,4.888185262680054,"[10, 50, 6, 4, 5]"
Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,0.08136224746704102,0.2698655128479004,144520,2.071176767349243,356663,1676,4.971656084060669,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,On,Off,Off,On,On,Off,On,Off,0.0897836685180664,0.2817656993865967,141496,2.0813963413238525,356663,1676,4.948204755783081,"[10, 50, 6, 4, 5]"
Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,0.0853736400604248,0.7339620590209961,206008,4.151259899139404,828309,4503,7.428203344345093,"[10, 50, 6, 4, 10]"
On,On,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,On,Off,On,Off,0.08971381187438965,0.7626998424530029,207208,4.148085355758667,828309,4503,7.537271499633789,"[10, 50, 6, 4, 10]"
Off,On,On,Off,On,Off,On,On,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,0.10352158546447754,0.7657914161682129,207240,4.141186237335205,828309,4503,7.636215925216675,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,On,Off,Off,On,On,Off,On,Off,0.09801840782165527,0.7536766529083252,207240,4.136682987213135,828309,4503,7.517749071121216,"[10, 50, 6, 4, 10]"
Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,0.08299708366394043,0.6686263084411621,245624,6.761151552200317,866233,4708,10.04747724533081,"[10, 50, 6, 4, 25]"
On,On,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,Off,On,Off,On,Off,0.09795188903808594,0.7135891914367676,242608,6.759713172912598,866233,4708,10.163983821868896,"[10, 50, 6, 4, 25]"
Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,0.09849977493286133,1.5274436473846436,522088,34.14577770233154,2152160,10605,38.330464601516724,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,Off,Off,On,On,Off,Off,On,On,On,Off,On,On,Off,0.09236884117126465,0.7207274436950684,205976,4.223041772842407,828309,4503,7.4797523021698,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,Off,On,On,On,On,On,On,Off,On,Off,Off,Off,On,Off,0.08313226699829102,0.7858080863952637,206008,4.1398162841796875,828309,4503,7.500206470489502,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,Off,On,On,On,On,Off,0.08790254592895508,0.7699577808380127,207240,4.150322437286377,828309,4503,7.4579174518585205,"[10, 50, 6, 4, 10]"
Off,On,Off,On,Off,On,Off,Off,On,On,Off,Off,Off,On,On,On,On,Off,Off,On,0.08823704719543457,0.7095658779144287,207208,4.137154817581177,828309,4503,7.499301195144653,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,On,On,Off,Off,Off,On,On,Off,Off,Off,On,On,Off,On,0.08828568458557129,0.769381046295166,207240,4.128984212875366,828309,4503,7.455672025680542,"[10, 50, 6, 4, 10]"
On,On,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,0.08891153335571289,0.7566049098968506,205976,4.143630266189575,828309,4503,7.58447003364563,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,Off,On,On,On,On,On,On,Off,On,Off,Off,Off,On,Off,0.10346603393554688,0.7249898910522461,241528,6.796442747116089,866233,4708,10.189520120620728,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,Off,On,On,On,On,Off,0.08852100372314453,0.7312471866607666,246776,6.761167764663696,866233,4708,10.066511392593384,"[10, 50, 6, 4, 25]"
Off,On,Off,On,Off,On,Off,Off,On,On,Off,Off,Off,On,On,On,On,Off,Off,On,0.09222173690795898,0.666020393371582,242608,6.788144588470459,866233,4708,10.09307599067688,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,Off,On,On,On,On,Off,0.09466099739074707,1.4668669700622559,523384,34.13648295402527,2152160,10605,38.2168447971344,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,On,On,0.08697271347045898,0.6927320957183838,241456,6.787769794464111,866233,4708,10.188871145248413,"[10, 50, 6, 4, 25]"
On,On,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,Off,0.08268117904663086,0.7232017517089844,242608,6.7709550857543945,866233,4708,10.115337610244751,"[10, 50, 6, 4, 25]"
On,Off,On,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,On,On,Off,On,Off,On,0.09787249565124512,0.6672816276550293,241528,6.793514728546143,866233,4708,10.062845706939697,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,Off,On,Off,On,Off,Off,Off,On,On,On,On,Off,On,On,Off,Off,0.0945281982421875,0.7065668106079102,242680,6.840160846710205,866233,4708,10.125319480895996,"[10, 50, 6, 4, 25]"
On,On,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,Off,0.08325576782226562,1.545391321182251,523192,34.095969438552856,2152160,10605,38.25569033622742,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,On,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,On,On,0.08723044395446777,1.5378162860870361,521896,34.82817029953003,2152160,10605,39.08293437957764,"[10, 50, 6, 4, 50]"
