fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,On,On,On,On,Off,On,Off,On,0.08219385147094727,0.38025999069213867,144448,2.1920173168182373,356663,1676,5.726741075515747,"[10, 50, 6, 4, 5]"
On,On,On,On,On,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,On,On,Off,On,0.0824134349822998,0.270230770111084,145592,2.1131973266601562,356663,1676,4.986195087432861,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,0.08276867866516113,0.2688899040222168,140352,2.0847396850585938,356663,1676,4.977278709411621,"[10, 50, 6, 4, 5]"
On,On,Off,Off,Off,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,Off,0.09426259994506836,0.2632138729095459,141496,2.1397314071655273,356663,1676,4.96610689163208,"[10, 50, 6, 4, 5]"
Off,Off,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,Off,On,On,On,Off,Off,0.08855223655700684,0.2786216735839844,145520,2.114712953567505,356663,1676,5.042656421661377,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,On,Off,On,On,0.08797764778137207,0.2676122188568115,141424,2.115731954574585,356663,1676,4.908648729324341,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,On,Off,On,Off,0.08959388732910156,0.25578951835632324,141424,2.132706642150879,356663,1676,4.895436525344849,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,On,Off,On,Off,Off,On,On,0.10076761245727539,0.26160645484924316,140352,2.081865072250366,356663,1676,4.930591583251953,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,On,On,On,On,Off,On,Off,On,0.07695174217224121,0.7391135692596436,205976,4.1583452224731445,828309,4503,7.400527715682983,"[10, 50, 6, 4, 10]"
On,On,On,On,On,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,On,On,Off,On,0.07353520393371582,0.7449288368225098,207240,4.145838737487793,828309,4503,7.424705266952515,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,Off,0.08897757530212402,0.7332935333251953,205976,4.128793954849243,828309,4503,7.450886249542236,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,On,Off,On,On,0.10014891624450684,0.715407133102417,207208,4.12634539604187,828309,4503,7.400376796722412,"[10, 50, 6, 4, 10]"
On,On,On,On,On,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,On,On,Off,On,0.08629202842712402,0.7049508094787598,246776,6.782480478286743,866233,4708,10.059863090515137,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,On,On,On,On,Off,On,Off,On,0.0906972885131836,0.7381472587585449,241456,6.7871809005737305,866233,4708,10.120859861373901,"[10, 50, 6, 4, 25]"
On,On,On,On,On,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,On,On,Off,On,0.12313961982727051,1.5762519836425781,523384,34.23658013343811,2152160,10605,38.42406964302063,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,On,Off,On,On,On,Off,On,Off,On,On,Off,Off,Off,Off,0.09485054016113281,0.702162504196167,205976,4.1423866748809814,828309,4503,7.372725963592529,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,0.08977532386779785,0.724022388458252,207240,4.117554664611816,828309,4503,7.377918720245361,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,Off,On,On,On,On,On,On,Off,Off,On,On,Off,Off,Off,0.07946467399597168,0.7586798667907715,207240,4.138236999511719,828309,4503,7.511964797973633,"[10, 50, 6, 4, 10]"
On,Off,On,Off,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,Off,Off,0.09051680564880371,0.7332549095153809,207240,4.132853746414185,828309,4503,7.4099953174591064,"[10, 50, 6, 4, 10]"
On,On,Off,Off,Off,Off,Off,Off,On,On,On,Off,On,Off,On,On,On,Off,Off,On,0.08328986167907715,0.7444279193878174,207208,4.130715608596802,828309,4503,7.3266990184783936,"[10, 50, 6, 4, 10]"
On,Off,On,On,Off,On,Off,On,On,On,Off,On,On,Off,Off,On,Off,On,On,On,0.09074950218200684,0.7400755882263184,206008,4.13529896736145,828309,4503,7.4509992599487305,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,Off,On,On,On,On,On,On,Off,Off,On,On,Off,Off,Off,0.09498190879821777,0.7218310832977295,242680,6.772230863571167,866233,4708,10.164231538772583,"[10, 50, 6, 4, 25]"
On,On,Off,Off,Off,Off,Off,Off,On,On,On,Off,On,Off,On,On,On,Off,Off,On,0.0916910171508789,0.720705509185791,242608,6.773432970046997,866233,4708,10.129002809524536,"[10, 50, 6, 4, 25]"
Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,0.0770413875579834,0.7046844959259033,242680,6.750111818313599,866233,4708,10.0888512134552,"[10, 50, 6, 4, 25]"
Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,On,On,On,0.09212827682495117,1.5078802108764648,515192,34.09953284263611,2152160,10605,38.28325629234314,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,Off,Off,On,Off,On,On,Off,Off,Off,On,On,Off,Off,Off,0.10032153129577637,0.7303152084350586,242608,6.782033681869507,866233,4708,10.134384155273438,"[10, 50, 6, 4, 25]"
Off,On,Off,On,Off,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,0.09404659271240234,0.6635901927947998,241456,6.760899782180786,866233,4708,10.050745487213135,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,On,On,On,On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,Off,0.08017468452453613,0.664844274520874,245624,6.764673233032227,866233,4708,10.027411222457886,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,On,On,On,On,On,On,Off,Off,On,On,Off,On,On,Off,On,Off,0.07986927032470703,0.713778018951416,242680,6.753375053405762,866233,4708,9.97473669052124,"[10, 50, 6, 4, 25]"
Off,On,Off,Off,On,On,On,On,On,On,Off,Off,On,On,Off,On,On,Off,On,Off,0.0901491641998291,1.5230157375335693,515192,34.09275555610657,2152160,10605,38.29517936706543,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,On,On,On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,Off,0.09981155395507812,1.47894287109375,522088,34.120837926864624,2152160,10605,38.30157947540283,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,On,Off,Off,On,On,Off,On,Off,Off,On,On,Off,Off,Off,0.0952749252319336,1.5390987396240234,523192,34.186912298202515,2152160,10605,38.3596248626709,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,Off,On,Off,On,On,Off,On,On,Off,On,On,Off,Off,Off,0.08460497856140137,1.5076091289520264,523384,34.16292977333069,2152160,10605,38.25132966041565,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,On,On,On,On,Off,Off,Off,0.0848846435546875,1.592123031616211,523384,34.05790090560913,2152160,10605,38.29849290847778,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,Off,On,On,Off,0.09309005737304688,1.5048601627349854,521896,34.03348231315613,2152160,10605,38.17712736129761,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,On,Off,Off,Off,On,Off,On,Off,On,Off,On,On,On,On,0.09259223937988281,0.3017728328704834,145520,2.0861270427703857,356663,1676,5.044009208679199,"[10, 50, 6, 4, 5]"
On,On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,On,Off,0.08696961402893066,0.31217265129089355,145592,2.089571714401245,356663,1676,5.003834009170532,"[10, 50, 6, 4, 5]"
On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.08014893531799316,0.2861053943634033,140424,2.073014259338379,356663,1676,4.939574241638184,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,Off,On,On,Off,Off,On,On,Off,On,On,On,On,Off,On,Off,Off,0.09015250205993652,0.28827333450317383,140352,2.089566707611084,356663,1676,5.036930799484253,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,Off,0.09098291397094727,0.2628307342529297,140352,2.1005258560180664,356663,1676,4.982713460922241,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,On,Off,On,On,On,0.07832217216491699,0.2663452625274658,140352,2.0670595169067383,356663,1676,4.935975790023804,"[10, 50, 6, 4, 5]"
On,Off,Off,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,Off,On,On,Off,Off,0.08614063262939453,0.248809814453125,145520,2.072925329208374,356663,1676,4.9086525440216064,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,Off,On,On,Off,On,Off,Off,On,Off,Off,On,On,On,Off,On,On,0.10785508155822754,0.265413761138916,141424,2.1055843830108643,356663,1676,4.924658536911011,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,On,Off,On,On,On,0.08646631240844727,0.7301590442657471,205976,4.14649224281311,828309,4503,7.518557071685791,"[10, 50, 6, 4, 10]"
On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.08951282501220703,0.7521469593048096,206008,4.133376121520996,828309,4503,7.465489864349365,"[10, 50, 6, 4, 10]"
On,Off,Off,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,Off,On,On,Off,Off,0.08762764930725098,0.7305691242218018,207208,4.133810520172119,828309,4503,7.48439359664917,"[10, 50, 6, 4, 10]"
On,On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,On,Off,0.09287261962890625,0.743415117263794,207240,4.1357262134552,828309,4503,7.466871500015259,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,On,Off,On,On,On,0.08055448532104492,0.6771030426025391,241456,6.77027702331543,866233,4708,9.972436904907227,"[10, 50, 6, 4, 25]"
On,Off,Off,On,Off,On,Off,Off,Off,On,On,Off,On,On,On,Off,On,On,Off,Off,0.09027910232543945,0.7239851951599121,242608,6.76766037940979,866233,4708,10.095494508743286,"[10, 50, 6, 4, 25]"
Off,Off,On,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,On,Off,On,On,On,0.09139585494995117,1.502290964126587,513704,34.0900092124939,2152160,10605,38.22871923446655,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,Off,Off,On,On,Off,Off,On,Off,On,Off,On,On,On,Off,0.08968043327331543,0.7113230228424072,207208,4.185178518295288,828309,4503,7.5475757122039795,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,On,On,On,On,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,On,0.08253788948059082,0.817063570022583,206008,4.1245222091674805,828309,4503,7.5449090003967285,"[10, 50, 6, 4, 10]"
Off,On,On,Off,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,Off,Off,0.08274435997009277,0.730466365814209,207208,4.126568078994751,828309,4503,7.495323419570923,"[10, 50, 6, 4, 10]"
On,On,Off,On,On,On,Off,On,On,Off,On,Off,On,On,Off,On,Off,On,Off,Off,0.09862637519836426,0.7006869316101074,206008,4.12614893913269,828309,4503,7.467777252197266,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,On,On,On,On,Off,Off,Off,On,On,On,On,Off,On,On,On,On,0.0952157974243164,0.8065149784088135,207240,4.1265599727630615,828309,4503,7.528053283691406,"[10, 50, 6, 4, 10]"
On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,0.08932733535766602,0.740962028503418,205976,4.127213001251221,828309,4503,7.38232946395874,"[10, 50, 6, 4, 10]"
