fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,0.08812737464904785,1.7333438396453857,515000,34.49090933799744,2152160,10605,40.45757246017456,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,Off,On,On,On,Off,On,On,Off,Off,Off,Off,Off,On,0.08366060256958008,1.5824620723724365,521896,34.06516170501709,2152160,10605,38.294437408447266,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,On,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,0.10681533813476562,1.4009199142456055,521896,34.20464205741882,2152160,10605,38.34647846221924,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,Off,On,0.09953522682189941,1.5098662376403809,515000,34.02071404457092,2152160,10605,38.217437982559204,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,On,Off,On,0.08572602272033691,1.5283517837524414,513704,34.08574819564819,2152160,10605,38.24447059631348,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,On,On,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,0.08357095718383789,1.533299207687378,515192,34.101054191589355,2152160,10605,38.310017347335815,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,0.09224224090576172,1.4873692989349365,513896,34.02633786201477,2152160,10605,38.1665256023407,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,On,0.09525036811828613,1.5268864631652832,521896,34.0665078163147,2152160,10605,38.20784091949463,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,Off,Off,0.07743120193481445,1.482841968536377,515000,34.14104676246643,2152160,10605,38.25362539291382,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,On,Off,Off,On,Off,0.09322977066040039,1.5157911777496338,513896,34.07220649719238,2152160,10605,38.16844892501831,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,0.08648872375488281,1.4966535568237305,523192,34.16688370704651,2152160,10605,38.28674626350403,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,Off,On,On,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,0.0867452621459961,1.5071048736572266,522088,34.14269423484802,2152160,10605,38.24609017372131,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,Off,Off,On,On,On,Off,Off,0.07809329032897949,1.492833137512207,515192,34.113075256347656,2152160,10605,38.28972363471985,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,On,Off,Off,Off,On,On,Off,Off,On,On,On,On,On,On,Off,0.08498311042785645,1.5242986679077148,523192,34.10287952423096,2152160,10605,38.20088338851929,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,0.09016704559326172,1.5780305862426758,515000,34.093119859695435,2152160,10605,38.35322546958923,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,On,On,Off,Off,0.09243464469909668,1.5215108394622803,515192,34.131309032440186,2152160,10605,38.39828968048096,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,On,Off,Off,On,On,Off,Off,Off,On,On,On,On,On,Off,0.09111666679382324,1.531883955001831,515000,34.08765959739685,2152160,10605,38.23840570449829,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,Off,Off,On,On,Off,On,Off,Off,0.07523012161254883,1.4215214252471924,513896,34.07884216308594,2152160,10605,38.179344177246094,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,Off,On,On,Off,On,On,Off,0.09506940841674805,1.5028181076049805,513896,34.133875370025635,2152160,10605,38.15611910820007,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,On,Off,On,On,On,On,Off,On,Off,Off,On,Off,Off,0.08233118057250977,1.5230014324188232,522088,34.056042194366455,2152160,10605,38.112884283065796,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,0.0903782844543457,1.4868056774139404,515192,34.13979172706604,2152160,10605,38.26995658874512,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,Off,0.09427165985107422,1.4787299633026123,513896,34.146780490875244,2152160,10605,38.32069253921509,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,On,On,Off,On,On,On,Off,On,On,On,Off,On,Off,Off,0.10046935081481934,1.5074067115783691,522088,34.09347629547119,2152160,10605,38.291743993759155,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,On,Off,On,On,On,0.09157896041870117,1.5113680362701416,522088,34.063925981521606,2152160,10605,38.15802621841431,"[10, 50, 6, 4, 50]"
