fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,Off,On,Off,Off,On,Off,On,Off,On,On,On,On,On,On,On,On,0.09682130813598633,1.6775920391082764,523192,34.38209772109985,2152160,10605,40.15170764923096,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,On,On,Off,Off,Off,On,On,Off,Off,On,On,Off,On,Off,0.10964584350585938,1.525087594985962,515192,34.0392746925354,2152160,10605,38.37963914871216,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,Off,Off,Off,On,On,Off,Off,On,On,Off,Off,On,On,0.09301352500915527,1.528174638748169,521896,34.14553689956665,2152160,10605,38.38539791107178,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,On,On,0.09697604179382324,1.5411832332611084,513704,34.06901693344116,2152160,10605,38.369088888168335,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,On,Off,On,On,Off,On,On,On,On,Off,On,Off,On,On,0.09627890586853027,1.5180232524871826,523192,34.05364775657654,2152160,10605,38.36180830001831,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,On,Off,On,Off,On,Off,On,On,On,On,On,On,On,Off,0.08817100524902344,1.518749713897705,523192,34.13165068626404,2152160,10605,38.279019355773926,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,On,On,Off,0.09865069389343262,1.5217101573944092,513896,34.10693430900574,2152160,10605,38.24788856506348,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,Off,Off,Off,0.07999944686889648,1.497098684310913,523192,34.1132287979126,2152160,10605,38.2648184299469,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,0.08435916900634766,1.5345592498779297,523384,34.054855823516846,2152160,10605,38.243955850601196,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,0.0908975601196289,1.5160176753997803,513896,34.226012229919434,2152160,10605,38.31394410133362,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,On,On,On,Off,On,Off,On,Off,On,On,On,Off,Off,On,0.08698034286499023,1.4948933124542236,523384,34.105756759643555,2152160,10605,38.26181364059448,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,On,On,On,On,On,Off,On,Off,Off,On,On,Off,On,0.08465361595153809,1.4984219074249268,523384,34.24451732635498,2152160,10605,38.48353934288025,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,On,Off,On,On,On,On,On,On,On,Off,On,On,On,On,0.07969474792480469,1.5497593879699707,515000,34.126391649246216,2152160,10605,38.36710572242737,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,Off,Off,Off,On,On,On,On,On,On,Off,On,On,Off,On,0.09514522552490234,1.4929652214050293,515000,34.11866307258606,2152160,10605,38.23949670791626,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,On,On,On,On,Off,On,On,0.10335469245910645,1.5397560596466064,523384,34.0650360584259,2152160,10605,38.17869973182678,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,0.08360505104064941,1.5115671157836914,522088,34.142908573150635,2152160,10605,38.289674520492554,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,Off,On,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,Off,0.08418703079223633,1.522437334060669,522088,34.10325860977173,2152160,10605,38.29574012756348,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,On,Off,0.0845651626586914,1.550908088684082,513896,34.08572554588318,2152160,10605,38.2983283996582,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,On,On,Off,On,On,On,Off,Off,Off,Off,Off,On,On,On,0.08951759338378906,1.516791582107544,513896,34.11421823501587,2152160,10605,38.31023406982422,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,0.10124611854553223,1.5044708251953125,513704,34.107272148132324,2152160,10605,38.24657964706421,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,On,Off,0.08975648880004883,1.511173963546753,523192,34.06395244598389,2152160,10605,38.17997121810913,"[10, 50, 6, 4, 50]"
