ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,On,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,On,Off,Off,0.08931279182434082,0.32512688636779785,110056,0.4312863349914551,140021,719,3.5253429412841797,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,0.09725451469421387,0.230729341506958,114152,0.3073732852935791,140021,719,3.0474343299865723,"[80, 35, 2, 2, 15]"
Off,Off,On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,On,Off,Off,Off,Off,0.11340618133544922,0.23656964302062988,110056,0.2849569320678711,140021,719,3.067107677459717,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,On,Off,Off,0.10943794250488281,5.542839050292969,1248872,34.8491747379303,2152160,10605,43.06617879867554,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,On,On,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,0.06832408905029297,0.24831938743591309,114152,0.29975461959838867,140021,719,3.0432045459747314,"[80, 35, 2, 2, 15]"
Off,Off,On,Off,Off,On,On,On,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,0.10156917572021484,5.482572555541992,1252968,34.73383903503418,2152160,10605,42.87305450439453,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,Off,On,On,On,Off,Off,On,Off,Off,On,On,On,On,On,0.08616447448730469,0.24964594841003418,110056,0.2992894649505615,140021,719,3.1394221782684326,"[80, 35, 2, 2, 15]"
Off,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,Off,On,On,On,On,0.0828084945678711,0.25177955627441406,112728,0.29432249069213867,140021,719,3.1043217182159424,"[80, 35, 2, 2, 15]"
On,On,On,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,0.08719515800476074,0.2513864040374756,114152,0.3075878620147705,140021,719,3.1398532390594482,"[80, 35, 2, 2, 15]"
Off,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,0.0806126594543457,0.24675655364990234,112728,0.3048396110534668,140021,719,3.190129518508911,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,Off,0.09864687919616699,0.24622344970703125,114152,0.3175060749053955,140021,719,3.182049036026001,"[80, 35, 2, 2, 15]"
Off,Off,Off,Off,On,On,Off,Off,On,On,On,Off,On,Off,On,On,On,On,On,On,0.08929228782653809,0.2437419891357422,108632,0.3153655529022217,140021,719,3.0879242420196533,"[80, 35, 2, 2, 15]"
On,Off,On,On,Off,Off,Off,On,On,On,Off,Off,On,On,On,On,Off,Off,On,On,0.09321951866149902,0.242323637008667,110056,0.31026220321655273,140021,719,3.1129119396209717,"[80, 35, 2, 2, 15]"
On,On,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,On,On,On,On,On,On,On,0.09259223937988281,0.25330114364624023,110056,0.312225341796875,140021,719,3.0799057483673096,"[80, 35, 2, 2, 15]"
On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,0.09853219985961914,0.25606703758239746,114152,0.2955794334411621,140021,719,3.1706008911132812,"[80, 35, 2, 2, 15]"
On,On,On,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,On,Off,0.08144593238830566,0.2516438961029053,114152,0.297435998916626,140021,719,3.052083730697632,"[80, 35, 2, 2, 15]"
Off,On,On,On,Off,On,On,Off,Off,On,Off,On,Off,On,On,On,On,Off,On,On,0.0756223201751709,0.23680686950683594,110056,0.2929503917694092,140021,719,2.983543872833252,"[80, 35, 2, 2, 15]"
On,On,Off,On,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,0.09605789184570312,0.2537381649017334,110056,0.3089480400085449,140021,719,3.0873851776123047,"[80, 35, 2, 2, 15]"
Off,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,0.10343384742736816,0.2501223087310791,112728,0.2993471622467041,140021,719,3.2481911182403564,"[80, 35, 2, 2, 15]"
On,Off,Off,On,Off,Off,Off,On,On,Off,On,Off,On,On,On,Off,Off,On,On,Off,0.09067988395690918,0.25359392166137695,114152,0.31337571144104004,140021,719,3.1427643299102783,"[80, 35, 2, 2, 15]"
Off,On,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,0.09113955497741699,0.25598788261413574,108632,0.30333924293518066,140021,719,3.0750956535339355,"[80, 35, 2, 2, 15]"
On,On,On,Off,Off,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,Off,0.10323596000671387,0.24440860748291016,114152,0.3039882183074951,140021,719,3.140296220779419,"[80, 35, 2, 2, 15]"
Off,On,On,Off,On,Off,Off,On,On,Off,On,Off,Off,Off,On,Off,Off,On,On,Off,0.0970921516418457,0.23843860626220703,112728,0.3041825294494629,140021,719,3.0948803424835205,"[80, 35, 2, 2, 15]"
