ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,Off,On,On,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,On,0.09024691581726074,5.578855037689209,1255640,34.896565675735474,2152160,10605,43.27642297744751,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,Off,On,On,On,On,On,On,0.08163332939147949,5.552716016769409,1248872,34.828447580337524,2152160,10605,43.06208944320679,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,Off,Off,0.08153963088989258,5.5415215492248535,1248872,34.81688833236694,2152160,10605,43.00100302696228,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,0.0925290584564209,5.556117296218872,1252968,34.707966327667236,2152160,10605,42.85575842857361,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,On,On,On,On,Off,Off,On,Off,On,On,On,On,On,On,0.09889769554138184,5.478237867355347,1248872,34.738346576690674,2152160,10605,42.89664268493652,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,On,Off,Off,On,0.09182906150817871,5.492631673812866,1255640,34.70772695541382,2152160,10605,42.77618217468262,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,0.08061575889587402,5.478029251098633,1248872,34.8088755607605,2152160,10605,42.85135865211487,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,Off,Off,On,Off,On,Off,On,Off,On,On,Off,On,Off,Off,On,0.09781241416931152,5.551185131072998,1255640,34.686734437942505,2152160,10605,42.857417821884155,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,On,On,Off,0.12205219268798828,5.504129409790039,1248872,34.893293619155884,2152160,10605,43.10409593582153,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,Off,0.09107732772827148,5.504146337509155,1252968,34.729604959487915,2152160,10605,42.89254665374756,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,On,0.0842905044555664,0.5471377372741699,272528,3.095895290374756,449801,3125,6.176513910293579,"[60, 20, 2, 4, 25]"
On,Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,Off,On,On,On,On,On,On,0.10212206840515137,0.5165627002716064,269864,3.1052145957946777,449801,3125,6.162960529327393,"[60, 20, 2, 4, 25]"
On,On,On,On,On,On,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,Off,Off,0.09660530090332031,0.5324127674102783,269864,3.1100096702575684,449801,3125,6.145327568054199,"[60, 20, 2, 4, 25]"
Off,On,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,0.08617329597473145,0.5215861797332764,273960,3.084578514099121,449801,3125,6.172579288482666,"[60, 20, 2, 4, 25]"
On,Off,On,Off,Off,Off,On,On,On,On,Off,Off,On,Off,On,On,On,On,On,On,0.08323049545288086,0.5240964889526367,269864,3.1011033058166504,449801,3125,6.108245372772217,"[60, 20, 2, 4, 25]"
Off,Off,Off,On,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,On,Off,Off,On,0.07204318046569824,0.5180599689483643,272528,3.101959466934204,449801,3125,6.1246607303619385,"[60, 20, 2, 4, 25]"
On,Off,On,Off,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,0.08156943321228027,0.5211312770843506,269864,3.109036922454834,449801,3125,6.119052171707153,"[60, 20, 2, 4, 25]"
Off,Off,On,On,Off,Off,Off,On,Off,On,Off,On,Off,On,On,Off,On,Off,Off,On,0.09652352333068848,0.5206160545349121,272528,3.1093568801879883,449801,3125,6.124053478240967,"[60, 20, 2, 4, 25]"
On,On,Off,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,On,On,Off,0.08937978744506836,0.5010664463043213,269864,3.0765414237976074,449801,3125,6.276167392730713,"[60, 20, 2, 4, 25]"
Off,On,On,On,Off,Off,On,Off,Off,Off,On,On,Off,On,Off,Off,Off,On,On,Off,0.09358024597167969,0.5317413806915283,273960,3.097762107849121,449801,3125,6.257084369659424,"[60, 20, 2, 4, 25]"
Off,On,Off,On,On,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,On,0.09956598281860352,0.19894838333129883,65384,0.16257309913635254,67022,621,2.9594473838806152,"[50, 20, 2, 1, 25]"
On,Off,Off,Off,On,Off,On,On,Off,Off,On,On,On,Off,On,On,On,On,On,On,0.09392070770263672,0.2089674472808838,62720,0.14821481704711914,67022,621,2.8958051204681396,"[50, 20, 2, 1, 25]"
On,On,On,On,On,On,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,Off,Off,0.08536624908447266,0.20560550689697266,62720,0.14959025382995605,67022,621,2.834902048110962,"[50, 20, 2, 1, 25]"
Off,On,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,Off,Off,Off,Off,Off,Off,0.08976387977600098,0.23041224479675293,66816,0.15381884574890137,67022,621,2.916421890258789,"[50, 20, 2, 1, 25]"
