inline-function-prob,max-array-len-per-dim,max-block-depth,max-block-size,max-funcs,spearman_corr,evaluated_time,front_level
70,20,2,3,5,-0.29696969696969694,2.844090533256531,0
50,10,3,1,10,-0.4787878787878787,2.8074590444564818,0
50,25,3,2,10,0.406060606060606,2.8722939014434816,0
70,10,1,3,5,-0.3696969696969697,2.853075051307678,1
60,15,3,2,35,0.32121212121212117,3.1446102142333983,1
70,20,3,4,5,0.11515151515151514,2.891837787628174,1
60,20,2,3,15,0.2727272727272727,3.1127137899398805,1
80,15,3,1,15,-0.7696969696969697,2.8560969114303587,2
60,25,3,3,15,0.2606060606060606,3.1763213872909546,2
80,15,2,2,15,-0.17575757575757575,2.9500298261642457,2
