ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,evaluated_time,fidelity_setting,corr
On,On,On,Off,On,On,On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,Off,Off,0.06554698944091797,2.7932066917419434,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,Off,On,On,On,On,0.06783175468444824,2.8443610668182373,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,On,On,0.06800627708435059,2.7284185886383057,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,On,On,0.06912064552307129,2.8496241569519043,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,Off,On,On,0.07313990592956543,2.7995808124542236,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,On,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,On,0.07330107688903809,2.83095383644104,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,0.0735313892364502,2.846543550491333,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,On,0.07366657257080078,2.735459089279175,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,On,On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,On,Off,On,On,0.07417082786560059,2.877643585205078,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,On,On,On,Off,Off,On,On,On,Off,On,On,On,Off,Off,On,Off,On,0.07435822486877441,2.778613328933716,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,On,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,On,0.07456135749816895,2.89383602142334,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,On,Off,On,On,On,Off,On,Off,Off,On,Off,Off,Off,On,0.07572555541992188,2.845752239227295,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,On,Off,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,0.07582592964172363,2.719982624053955,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,On,On,On,0.07607698440551758,2.8201444149017334,"[60, 25, 2, 2, 10]",0.5272727272727272
Off,Off,Off,Off,Off,On,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,0.07609295845031738,2.837644577026367,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,On,0.07676911354064941,2.884963035583496,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,Off,On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,On,On,0.07677459716796875,2.8448972702026367,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,On,On,On,Off,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,0.07716202735900879,2.8928678035736084,"[60, 25, 2, 2, 10]",0.5272727272727272
On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,On,On,0.07795286178588867,2.806584358215332,"[60, 25, 2, 2, 10]",0.5272727272727272
On,On,On,On,On,On,On,Off,On,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,0.07809305191040039,2.8483853340148926,"[60, 25, 2, 2, 10]",0.5272727272727272
