ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,0.0779256820678711,5.623893976211548,1248872,34.942023277282715,2152160,10605,44.33772158622742,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,0.08956408500671387,5.503393650054932,1252968,34.600136518478394,2152160,10605,42.77887797355652,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,0.11861014366149902,5.551812171936035,1252968,34.597277879714966,2152160,10605,42.90436315536499,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.09286928176879883,5.496429681777954,1251544,34.72079825401306,2152160,10605,42.57637596130371,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,0.09074711799621582,5.508165597915649,1255640,34.731842041015625,2152160,10605,42.670127868652344,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,On,On,0.09533405303955078,5.492434978485107,1248872,34.563462257385254,2152160,10605,42.592801332473755,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,On,0.08797979354858398,5.518584728240967,1255640,34.595630168914795,2152160,10605,42.652190923690796,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,0.10370445251464844,5.530845403671265,1251544,34.569584369659424,2152160,10605,42.666534185409546,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.0754706859588623,5.496872663497925,1252968,34.749956369400024,2152160,10605,42.78633117675781,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,On,Off,Off,0.09889864921569824,5.472718954086304,1248872,34.601871967315674,2152160,10605,42.6653733253479,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,0.08814549446105957,0.4046914577484131,114280,0.3532524108886719,146788,1464,3.6479132175445557,"[60, 15, 2, 4, 20]"
Off,Off,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,0.09833097457885742,0.5152332782745361,118376,0.3263571262359619,146788,1464,4.116175174713135,"[60, 15, 2, 4, 20]"
On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,0.09097719192504883,0.5838320255279541,118376,0.33305859565734863,146788,1464,3.749434471130371,"[60, 15, 2, 4, 20]"
Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.0738372802734375,0.2951395511627197,112856,0.33771657943725586,146788,1464,3.198622703552246,"[60, 15, 2, 4, 20]"
Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,0.08652567863464355,0.26845622062683105,116952,0.32438230514526367,146788,1464,3.109654188156128,"[60, 15, 2, 4, 20]"
On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,On,On,0.08185124397277832,0.27138352394104004,114280,0.3428823947906494,146788,1464,3.152881383895874,"[60, 15, 2, 4, 20]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,On,0.09258031845092773,0.2713623046875,116952,0.35248398780822754,146788,1464,3.046081066131592,"[60, 15, 2, 4, 20]"
Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,0.08367919921875,0.2792530059814453,112856,0.3360133171081543,146788,1464,3.0050039291381836,"[60, 15, 2, 4, 20]"
On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.07554817199707031,0.303203821182251,118376,0.3391704559326172,146788,1464,3.1570487022399902,"[60, 15, 2, 4, 20]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,On,Off,Off,0.08696341514587402,0.28373241424560547,114280,0.335874080657959,146788,1464,3.070662498474121,"[60, 15, 2, 4, 20]"
On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,0.0918574333190918,0.4214935302734375,155088,0.340364933013916,195186,1019,3.2497265338897705,"[80, 35, 1, 2, 35]"
Off,Off,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,0.07880473136901855,0.4371645450592041,163280,0.3135061264038086,195186,1019,3.1965014934539795,"[80, 35, 1, 2, 35]"
On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,0.0932471752166748,0.41647791862487793,163280,0.3243997097015381,195186,1019,3.2597672939300537,"[80, 35, 1, 2, 35]"
Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.08231639862060547,0.434816837310791,153664,0.33583712577819824,195186,1019,3.2122914791107178,"[80, 35, 1, 2, 35]"
Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,0.09055185317993164,0.42170143127441406,161856,0.34441542625427246,195186,1019,3.2797000408172607,"[80, 35, 1, 2, 35]"
On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,On,On,0.10088634490966797,0.4276163578033447,155088,0.31293702125549316,195186,1019,3.180044412612915,"[80, 35, 1, 2, 35]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,On,On,Off,On,0.08846449851989746,0.425262451171875,161856,0.31969618797302246,195186,1019,3.169093370437622,"[80, 35, 1, 2, 35]"
Off,On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,On,On,On,0.10960221290588379,0.41692423820495605,153664,0.34546875953674316,195186,1019,3.2639520168304443,"[80, 35, 1, 2, 35]"
On,On,On,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,0.07288694381713867,0.42656493186950684,163280,0.31876063346862793,195186,1019,3.104308605194092,"[80, 35, 1, 2, 35]"
On,On,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,On,Off,On,Off,Off,0.09635281562805176,0.46094346046447754,155088,0.31981730461120605,195186,1019,3.332662582397461,"[80, 35, 1, 2, 35]"
On,Off,Off,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,0.09704303741455078,0.1967916488647461,41792,0.1695241928100586,38437,587,2.8804917335510254,"[90, 5, 1, 3, 15]"
Off,Off,Off,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,Off,On,On,Off,0.08022356033325195,0.19286298751831055,45888,0.15295147895812988,38437,587,2.819225311279297,"[90, 5, 1, 3, 15]"
On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,Off,Off,On,0.08998799324035645,0.19730043411254883,45888,0.16507220268249512,38437,587,2.823354721069336,"[90, 5, 1, 3, 15]"
Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,0.06856298446655273,0.20678353309631348,40368,0.1530294418334961,38437,587,2.7696754932403564,"[90, 5, 1, 3, 15]"
Off,Off,On,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,0.07402729988098145,0.18947291374206543,44464,0.14033126831054688,38437,587,2.7931034564971924,"[90, 5, 1, 3, 15]"
On,On,On,On,On,Off,On,On,On,Off,On,Off,On,Off,On,On,Off,Off,On,On,0.09186005592346191,0.20178961753845215,41792,0.15043044090270996,38437,587,2.7951245307922363,"[90, 5, 1, 3, 15]"
