ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,On,On,Off,On,Off,Off,On,Off,On,Off,On,On,On,On,On,Off,On,0.0774691104888916,5.620357275009155,1248872,34.78375601768494,2152160,10605,44.13011980056763,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,On,Off,Off,Off,0.08519911766052246,5.500640869140625,1248872,34.746429443359375,2152160,10605,42.737513065338135,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,On,Off,Off,Off,On,Off,On,On,Off,Off,Off,On,0.10037803649902344,5.547889471054077,1248872,34.643768548965454,2152160,10605,42.756463289260864,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,Off,Off,On,Off,On,Off,0.0786430835723877,5.498908281326294,1255640,34.65191078186035,2152160,10605,42.76571607589722,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0.08734774589538574,5.509936809539795,1252968,34.77521252632141,2152160,10605,42.69682478904724,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,On,On,On,0.08847904205322266,5.503401279449463,1252968,34.5868604183197,2152160,10605,42.6683406829834,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,0.08762216567993164,5.488835573196411,1255640,34.62580418586731,2152160,10605,42.77220153808594,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,Off,On,Off,On,Off,On,On,Off,On,On,Off,On,Off,0.07719230651855469,5.552811622619629,1248872,35.105244874954224,2152160,10605,43.28377175331116,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,Off,Off,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,On,0.09016704559326172,5.508411645889282,1252968,34.7524950504303,2152160,10605,42.875606536865234,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,On,0.07795310020446777,5.5673723220825195,1252968,34.598219871520996,2152160,10605,42.772688150405884,"[10, 50, 6, 4, 50]"
