ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,Off,On,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,Off,Off,Off,0.10048651695251465,0.4773232936859131,241944,2.284339189529419,356663,1676,5.590292692184448,"[10, 50, 6, 4, 5]"
Off,Off,On,On,Off,Off,On,Off,On,On,Off,Off,On,On,On,On,Off,On,On,Off,0.07716608047485352,0.4034459590911865,237848,2.2341160774230957,356663,1676,5.197685480117798,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,0.08041191101074219,0.4081854820251465,236416,2.1893701553344727,356663,1676,5.083069086074829,"[10, 50, 6, 4, 5]"
Off,On,Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,On,On,0.08399438858032227,0.4074263572692871,236416,2.1867408752441406,356663,1676,5.25564980506897,"[10, 50, 6, 4, 5]"
Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,On,On,Off,Off,Off,Off,Off,On,0.09412026405334473,0.4199080467224121,240512,2.2457199096679688,356663,1676,5.182609796524048,"[10, 50, 6, 4, 5]"
Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,On,On,On,On,On,On,Off,0.08455109596252441,0.3894364833831787,237848,2.2462027072906494,356663,1676,5.097174644470215,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,Off,On,On,0.08561921119689941,0.39604949951171875,241944,2.200416088104248,356663,1676,5.0165855884552,"[10, 50, 6, 4, 5]"
On,Off,Off,On,On,On,On,On,Off,Off,Off,On,Off,On,On,On,Off,On,Off,Off,0.09077644348144531,0.41216111183166504,237848,2.245631217956543,356663,1676,5.201457738876343,"[10, 50, 6, 4, 5]"
Off,Off,On,On,Off,Off,On,Off,On,On,Off,Off,On,On,On,On,Off,On,On,Off,0.08959722518920898,1.4524805545806885,465288,4.2713539600372314,828309,4503,8.315204858779907,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,0.08439064025878906,1.468043327331543,467960,4.263317584991455,828309,4503,8.251628637313843,"[10, 50, 6, 4, 10]"
Off,On,Off,On,On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,Off,Off,On,On,0.09826874732971191,1.4345293045043945,467960,4.253654956817627,828309,4503,8.148643493652344,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,On,On,On,On,On,On,Off,0.0776357650756836,1.4391112327575684,465288,4.278519153594971,828309,4503,8.28867506980896,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,On,On,On,On,On,On,Off,0.0958559513092041,1.529451608657837,496248,7.1590728759765625,866233,4708,11.28268027305603,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,0.08901715278625488,1.5001375675201416,494808,7.159047603607178,866233,4708,11.27142882347107,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,0.0728752613067627,5.545301914215088,1251544,34.61271905899048,2152160,10605,42.70428204536438,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,0.08053874969482422,1.462432861328125,472056,4.273231744766235,828309,4503,8.179310083389282,"[10, 50, 6, 4, 10]"
Off,On,On,On,On,On,On,On,On,Off,On,Off,On,Off,Off,On,On,On,On,On,0.0970613956451416,1.4643926620483398,465288,4.259711503982544,828309,4503,8.187936067581177,"[10, 50, 6, 4, 10]"
Off,Off,On,Off,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,On,On,On,0.08711123466491699,1.4428441524505615,465288,4.261653900146484,828309,4503,8.375538110733032,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,Off,On,Off,On,On,Off,Off,Off,On,On,On,On,On,On,On,On,0.09482598304748535,1.4297304153442383,467960,4.253777742385864,828309,4503,8.289316415786743,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,Off,On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,On,0.08229923248291016,1.4543125629425049,472056,4.238818883895874,828309,4503,8.231737852096558,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,On,Off,Off,0.08101749420166016,1.438227653503418,469384,4.263103246688843,828309,4503,8.1806640625,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,0.09017300605773926,1.5148820877075195,503000,7.180305480957031,866233,4708,11.324668169021606,"[10, 50, 6, 4, 25]"
On,Off,On,On,On,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,On,Off,Off,0.09086775779724121,1.5276565551757812,504440,7.142044305801392,866233,4708,11.25444507598877,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,Off,On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,On,0.08067965507507324,1.5087344646453857,503000,7.160371541976929,866233,4708,11.287887811660767,"[10, 50, 6, 4, 25]"
Off,Off,Off,On,Off,On,Off,Off,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,On,0.08419489860534668,5.549355745315552,1255640,34.77483344078064,2152160,10605,43.023664236068726,"[10, 50, 6, 4, 50]"
