ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,On,On,Off,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,On,0.09141230583190918,0.48905205726623535,241944,2.332141637802124,356663,1676,5.6891889572143555,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,0.08011770248413086,0.4104914665222168,241944,2.206544876098633,356663,1676,5.172837018966675,"[10, 50, 6, 4, 5]"
Off,On,Off,On,Off,On,Off,On,On,Off,Off,Off,On,Off,Off,On,On,Off,Off,Off,0.09571647644042969,0.40818023681640625,236416,2.2007718086242676,356663,1676,5.204922676086426,"[10, 50, 6, 4, 5]"
Off,On,On,On,On,On,On,Off,Off,On,On,On,Off,On,On,Off,Off,On,Off,On,0.08438777923583984,0.39148855209350586,241944,2.1953988075256348,356663,1676,5.112664699554443,"[10, 50, 6, 4, 5]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,0.07450437545776367,0.4037923812866211,240512,2.1979994773864746,356663,1676,5.13292384147644,"[10, 50, 6, 4, 5]"
Off,On,On,Off,On,On,Off,On,On,Off,On,Off,On,Off,On,On,Off,On,On,On,0.08525729179382324,0.3896605968475342,236416,2.187690258026123,356663,1676,5.113276958465576,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,On,Off,On,Off,Off,On,Off,On,On,On,On,On,On,On,Off,Off,0.07715129852294922,0.40291476249694824,237848,2.1884822845458984,356663,1676,5.169358968734741,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,Off,On,Off,On,On,Off,On,On,Off,On,Off,On,On,Off,On,Off,0.08362841606140137,0.3952641487121582,237848,2.2464566230773926,356663,1676,5.168385028839111,"[10, 50, 6, 4, 5]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,0.08266663551330566,1.4394421577453613,472056,4.261159181594849,828309,4503,8.292575359344482,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,Off,On,Off,Off,On,Off,On,On,On,On,On,On,On,Off,Off,0.09251570701599121,1.4410414695739746,465288,4.2735185623168945,828309,4503,8.393532752990723,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,0.0887000560760498,1.456937551498413,469384,4.255528688430786,828309,4503,8.240788698196411,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,Off,On,Off,On,On,Off,On,On,Off,On,Off,On,On,Off,On,Off,0.08572125434875488,1.4395720958709717,465288,4.27344274520874,828309,4503,8.204030513763428,"[10, 50, 6, 4, 10]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,0.08760857582092285,1.5299792289733887,503000,7.16675591468811,866233,4708,11.200864791870117,"[10, 50, 6, 4, 25]"
On,Off,Off,Off,Off,On,Off,On,On,Off,On,On,Off,On,Off,On,On,Off,On,Off,0.0900125503540039,1.5027823448181152,496248,7.1838929653167725,866233,4708,11.2157621383667,"[10, 50, 6, 4, 25]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,0.07320857048034668,5.483734607696533,1255640,34.77483916282654,2152160,10605,42.762691020965576,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,On,0.08086109161376953,1.4351091384887695,469384,4.275551080703735,828309,4503,8.150146245956421,"[10, 50, 6, 4, 10]"
Off,Off,On,On,On,Off,On,Off,On,On,On,On,Off,On,On,On,On,On,Off,On,0.09748363494873047,1.4342527389526367,465288,4.293405294418335,828309,4503,8.196699142456055,"[10, 50, 6, 4, 10]"
On,Off,On,On,On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,On,Off,0.07840871810913086,1.4408369064331055,469384,4.2662224769592285,828309,4503,8.190527200698853,"[10, 50, 6, 4, 10]"
Off,On,Off,On,On,On,On,On,On,Off,On,On,Off,Off,Off,On,On,On,On,Off,0.08501577377319336,1.4507763385772705,465288,4.292917013168335,828309,4503,8.244577646255493,"[10, 50, 6, 4, 10]"
On,On,On,On,On,On,Off,Off,On,On,Off,Off,On,On,On,Off,On,On,Off,On,0.08246254920959473,1.439800500869751,469384,4.290005207061768,828309,4503,8.1734299659729,"[10, 50, 6, 4, 10]"
Off,On,On,On,On,Off,On,Off,Off,On,Off,On,On,On,On,On,On,On,Off,Off,0.07942485809326172,1.441715955734253,465288,4.270474910736084,828309,4503,8.326338291168213,"[10, 50, 6, 4, 10]"
Off,On,On,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,On,On,0.09413528442382812,1.5288941860198975,503000,7.172040224075317,866233,4708,11.268741369247437,"[10, 50, 6, 4, 25]"
On,On,On,Off,Off,Off,Off,On,On,On,On,On,Off,Off,On,On,Off,Off,On,Off,0.08732843399047852,1.5079195499420166,496248,7.155065059661865,866233,4708,11.218389749526978,"[10, 50, 6, 4, 25]"
Off,On,On,On,On,On,Off,Off,On,Off,On,Off,On,On,Off,Off,On,Off,Off,On,0.08798456192016602,1.5038306713104248,503000,7.186500787734985,866233,4708,11.284952640533447,"[10, 50, 6, 4, 25]"
On,On,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,On,0.08616948127746582,5.5030975341796875,1248872,34.61595320701599,2152160,10605,42.67347812652588,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,0.08662176132202148,1.5271098613739014,494808,7.1793859004974365,866233,4708,11.30061936378479,"[10, 50, 6, 4, 25]"
On,Off,On,On,Off,Off,Off,On,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,On,0.0870521068572998,1.5367238521575928,504440,7.173978328704834,866233,4708,11.306471586227417,"[10, 50, 6, 4, 25]"
Off,On,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,Off,On,Off,On,Off,On,0.08897089958190918,1.5091125965118408,494808,7.173395872116089,866233,4708,11.15227723121643,"[10, 50, 6, 4, 25]"
Off,On,On,Off,Off,On,Off,On,Off,On,On,On,Off,Off,On,On,Off,Off,On,On,0.08832454681396484,1.508582592010498,494808,7.1675825119018555,866233,4708,11.32451868057251,"[10, 50, 6, 4, 25]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,0.0956566333770752,5.493611097335815,1255640,34.593074560165405,2152160,10605,42.75099778175354,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,On,On,Off,On,On,Off,Off,Off,Off,Off,On,Off,On,0.09757399559020996,5.493771076202393,1255640,34.663378953933716,2152160,10605,42.72886919975281,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,On,0.08301830291748047,5.489618301391602,1255640,34.764991998672485,2152160,10605,42.86358332633972,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,Off,On,On,Off,On,Off,Off,On,Off,On,Off,Off,Off,On,0.0943443775177002,5.493505954742432,1251544,34.793048620224,2152160,10605,42.96732568740845,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,0.09678506851196289,5.476985454559326,1255640,34.607322216033936,2152160,10605,42.65009260177612,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,0.0945429801940918,5.484752416610718,1255640,34.77410173416138,2152160,10605,42.89464068412781,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,Off,Off,On,On,Off,On,On,On,On,Off,On,On,On,0.09538555145263672,0.41068458557128906,237848,2.217087507247925,356663,1676,5.147537708282471,"[10, 50, 6, 4, 5]"
On,Off,Off,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,On,Off,Off,On,On,0.08624696731567383,0.4235360622406006,237848,2.2281084060668945,356663,1676,5.2697837352752686,"[10, 50, 6, 4, 5]"
Off,On,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off,Off,On,On,On,Off,Off,0.09563469886779785,0.4104268550872803,236416,2.2120301723480225,356663,1676,5.271594762802124,"[10, 50, 6, 4, 5]"
Off,On,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,On,On,On,On,0.0963895320892334,0.4060819149017334,237848,2.202471971511841,356663,1676,5.17489767074585,"[10, 50, 6, 4, 5]"
Off,On,Off,On,On,On,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,On,Off,On,0.09645962715148926,0.3998126983642578,236416,2.2263283729553223,356663,1676,5.14177131652832,"[10, 50, 6, 4, 5]"
Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,On,On,On,On,On,Off,0.09937191009521484,0.41863274574279785,236416,2.1962780952453613,356663,1676,5.162942886352539,"[10, 50, 6, 4, 5]"
Off,On,On,On,On,On,On,Off,On,On,On,On,On,On,On,On,On,On,Off,Off,0.10730934143066406,0.39470815658569336,237848,2.2014646530151367,356663,1676,5.252527475357056,"[10, 50, 6, 4, 5]"
On,On,On,Off,On,Off,Off,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,0.08315348625183105,0.4145073890686035,237848,2.211606979370117,356663,1676,5.1298604011535645,"[10, 50, 6, 4, 5]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,On,On,On,On,Off,Off,On,0.09508872032165527,1.4435486793518066,465288,4.280021667480469,828309,4503,8.258676290512085,"[10, 50, 6, 4, 10]"
Off,On,Off,On,On,On,On,On,On,On,On,On,On,Off,On,On,On,Off,Off,On,0.09654903411865234,1.45735764503479,465288,4.276503324508667,828309,4503,8.343234300613403,"[10, 50, 6, 4, 10]"
