ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,On,On,Off,On,On,On,Off,Off,On,Off,Off,Off,On,On,Off,Off,Off,Off,0.10873556137084961,5.601763725280762,1248872,34.86996507644653,2152160,10605,43.26609826087952,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,Off,On,On,On,Off,0.10402750968933105,5.499007701873779,1255640,34.766446590423584,2152160,10605,42.86968445777893,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,Off,On,Off,On,On,On,On,On,On,On,On,Off,On,On,On,0.09923982620239258,5.536247730255127,1248872,34.650670528411865,2152160,10605,42.824870586395264,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,On,Off,On,On,On,Off,Off,Off,Off,On,On,Off,Off,0.09466862678527832,5.509164094924927,1252968,34.613885164260864,2152160,10605,42.77087593078613,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,On,Off,Off,Off,On,0.10651135444641113,5.488671541213989,1248872,34.804986238479614,2152160,10605,42.86345648765564,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,On,On,On,On,On,On,On,On,Off,Off,On,On,Off,On,0.09347200393676758,5.489066123962402,1252968,34.751319885253906,2152160,10605,42.92868709564209,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,On,On,Off,On,Off,On,Off,On,0.08347821235656738,5.529011011123657,1248872,34.645649671554565,2152160,10605,42.73201584815979,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,Off,On,Off,On,On,On,On,On,On,Off,On,On,Off,Off,Off,0.08618688583374023,5.513585567474365,1248872,34.73004174232483,2152160,10605,42.80655860900879,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,On,On,Off,On,Off,On,On,Off,Off,Off,On,On,Off,0.09256458282470703,5.5073864459991455,1252968,34.61791372299194,2152160,10605,42.744086027145386,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,On,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,On,Off,Off,0.09366321563720703,5.535770416259766,1255640,34.610722064971924,2152160,10605,42.78554344177246,"[10, 50, 6, 4, 50]"
On,On,On,On,On,Off,On,On,On,Off,On,On,On,Off,Off,Off,Off,Off,On,Off,0.09963130950927734,5.484277963638306,1252968,34.747994899749756,2152160,10605,42.898524045944214,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,On,On,On,Off,On,On,On,On,On,Off,On,Off,Off,On,On,0.09653902053833008,5.5734570026397705,1248872,34.645312786102295,2152160,10605,42.78481602668762,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,On,On,On,On,Off,0.09940838813781738,5.5575830936431885,1251544,34.66530156135559,2152160,10605,42.85989236831665,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,Off,On,Off,On,Off,Off,On,Off,On,Off,On,Off,On,On,0.09661746025085449,5.507314682006836,1252968,34.799087047576904,2152160,10605,42.905585527420044,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,On,Off,Off,On,Off,On,On,Off,On,On,On,On,Off,On,0.09000420570373535,5.4876039028167725,1248872,34.642139196395874,2152160,10605,42.83424949645996,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,Off,On,Off,Off,On,On,Off,On,Off,On,On,On,Off,Off,0.08477187156677246,5.524919271469116,1251544,34.77100491523743,2152160,10605,42.8577184677124,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,On,Off,Off,0.07926607131958008,5.52724552154541,1248872,34.591002225875854,2152160,10605,42.71298670768738,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,Off,On,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,0.09118223190307617,5.502600193023682,1252968,34.6259970664978,2152160,10605,42.67036414146423,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,On,On,Off,Off,Off,On,Off,Off,Off,Off,Off,On,On,0.09862256050109863,5.5686774253845215,1252968,34.62676930427551,2152160,10605,42.84052109718323,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,Off,On,On,Off,On,On,On,0.07927489280700684,5.514361619949341,1248872,34.762122631073,2152160,10605,42.938520669937134,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,On,On,On,Off,0.08206725120544434,5.506557941436768,1248872,34.64755177497864,2152160,10605,42.689934730529785,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,Off,On,On,On,On,Off,Off,On,On,On,Off,Off,On,On,0.09467267990112305,5.930062532424927,1248872,34.75171732902527,2152160,10605,43.245182037353516,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,0.09477519989013672,5.509419918060303,1251544,34.77354550361633,2152160,10605,42.85829567909241,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,On,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,On,On,0.09732270240783691,5.576254606246948,1252968,34.73608374595642,2152160,10605,42.87045979499817,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,On,On,0.07865738868713379,5.508123397827148,1252968,34.62964582443237,2152160,10605,42.710651874542236,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,0.08156132698059082,5.512329339981079,1252968,34.58944606781006,2152160,10605,42.711352825164795,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,On,Off,On,Off,Off,On,On,On,0.10316824913024902,5.5353944301605225,1252968,34.75805902481079,2152160,10605,42.84346675872803,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,Off,Off,Off,On,On,Off,On,Off,On,Off,Off,Off,On,Off,0.09591317176818848,5.515157461166382,1255640,34.57745003700256,2152160,10605,42.64960026741028,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,On,On,On,On,Off,On,On,Off,On,Off,Off,On,On,Off,Off,0.0929880142211914,5.547822952270508,1252968,34.59812903404236,2152160,10605,42.62907147407532,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,On,Off,Off,Off,Off,On,0.09478926658630371,5.506200075149536,1252968,34.62795639038086,2152160,10605,42.63509726524353,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,Off,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,On,On,0.09724712371826172,5.553644180297852,1248872,34.58100461959839,2152160,10605,42.656261682510376,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,0.09942936897277832,5.505176305770874,1255640,34.59524989128113,2152160,10605,42.73027443885803,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,On,On,Off,On,Off,On,Off,Off,Off,On,Off,On,On,On,0.08787274360656738,5.530117750167847,1248872,34.633206367492676,2152160,10605,42.81930065155029,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,Off,On,On,Off,Off,Off,On,Off,On,On,On,On,0.07568740844726562,5.540188789367676,1252968,34.80512261390686,2152160,10605,42.83944344520569,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,On,On,On,On,Off,0.09593701362609863,5.516529083251953,1248872,34.607338190078735,2152160,10605,42.75599646568298,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,Off,On,Off,On,On,On,Off,On,On,Off,On,On,On,Off,0.08993649482727051,5.556476831436157,1252968,34.63875150680542,2152160,10605,42.756653785705566,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,On,On,Off,0.09916543960571289,5.570371150970459,1252968,34.66386103630066,2152160,10605,42.9442343711853,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,Off,Off,Off,Off,Off,On,On,On,Off,On,On,Off,On,0.09770750999450684,5.560930490493774,1252968,34.786038637161255,2152160,10605,42.858893632888794,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,Off,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,Off,0.1026144027709961,5.557253122329712,1252968,34.782697916030884,2152160,10605,42.99769687652588,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,Off,Off,0.08804106712341309,5.500545978546143,1252968,34.859490394592285,2152160,10605,42.856441497802734,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,On,Off,On,0.09485149383544922,5.558078289031982,1252968,34.646377086639404,2152160,10605,42.8675856590271,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,On,On,On,On,On,0.10205721855163574,5.543309926986694,1248872,34.81269836425781,2152160,10605,42.939186811447144,"[10, 50, 6, 4, 50]"
