ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,Off,Off,On,On,On,On,On,Off,On,On,On,Off,On,On,On,On,Off,0.0924227237701416,5.598130702972412,1248872,34.911052227020264,2152160,10605,44.506343364715576,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,On,Off,Off,On,On,On,Off,On,On,On,On,On,On,0.09570574760437012,5.50010347366333,1248872,34.74645924568176,2152160,10605,42.87046957015991,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,On,On,Off,On,On,Off,Off,Off,Off,On,On,Off,0.10198569297790527,5.540770053863525,1252968,34.72620439529419,2152160,10605,42.89921569824219,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,On,0.1035006046295166,5.4955456256866455,1248872,34.76172637939453,2152160,10605,42.958834648132324,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,0.08382153511047363,5.497901439666748,1252968,34.75097465515137,2152160,10605,42.878501176834106,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,On,On,Off,Off,On,On,On,Off,Off,On,On,Off,On,Off,0.09077048301696777,5.522659540176392,1248872,34.59276461601257,2152160,10605,42.604697704315186,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,On,0.09296894073486328,5.48892617225647,1252968,34.75265383720398,2152160,10605,42.84046506881714,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,Off,On,On,On,Off,0.08030033111572266,5.575881242752075,1255640,34.7963924407959,2152160,10605,43.017340898513794,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,Off,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,Off,Off,0.08469724655151367,5.507742643356323,1248872,35.33270335197449,2152160,10605,43.437068462371826,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,On,Off,Off,On,0.10119152069091797,5.589350938796997,1255640,34.753177881240845,2152160,10605,42.977211475372314,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,On,On,On,On,On,Off,0.09959292411804199,5.546359539031982,1248872,34.74290204048157,2152160,10605,42.89493489265442,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,On,On,On,On,On,Off,Off,Off,Off,On,On,Off,0.07445693016052246,5.502783298492432,1252968,34.74555730819702,2152160,10605,42.94235301017761,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,On,Off,On,Off,0.07420992851257324,5.484901428222656,1251544,34.76517987251282,2152160,10605,42.83738851547241,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,Off,Off,Off,On,On,On,On,On,Off,Off,On,On,On,On,0.10866355895996094,5.51253604888916,1252968,34.64595174789429,2152160,10605,42.82118248939514,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,Off,On,Off,Off,On,On,On,Off,On,Off,On,Off,On,On,0.09493255615234375,5.515660524368286,1255640,34.75613498687744,2152160,10605,42.775920152664185,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,On,Off,Off,On,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,0.08665060997009277,5.543803691864014,1248872,34.58072757720947,2152160,10605,42.76659560203552,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,On,On,Off,On,On,On,On,Off,0.08975601196289062,5.487577438354492,1248872,34.76328444480896,2152160,10605,42.84379434585571,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,Off,On,0.08265304565429688,5.563839912414551,1252968,34.58830547332764,2152160,10605,42.779114723205566,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,0.08929777145385742,5.509857416152954,1252968,34.62249493598938,2152160,10605,42.81418442726135,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,Off,On,Off,On,0.10223817825317383,5.554765939712524,1252968,34.61216855049133,2152160,10605,42.83364915847778,"[10, 50, 6, 4, 50]"
On,On,Off,Off,On,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,On,Off,On,0.08154630661010742,5.5127105712890625,1252968,34.581459522247314,2152160,10605,42.722867012023926,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,Off,On,0.08369183540344238,5.470471382141113,1252968,34.765594720840454,2152160,10605,42.82737612724304,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,Off,0.08294987678527832,5.524139642715454,1248872,34.58010220527649,2152160,10605,42.645259380340576,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,0.09012913703918457,5.49631142616272,1251544,34.573028564453125,2152160,10605,42.69646167755127,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,On,Off,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,0.09790563583374023,5.533398866653442,1252968,34.63252234458923,2152160,10605,42.762566328048706,"[10, 50, 6, 4, 50]"
