ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,On,On,On,Off,On,Off,On,Off,On,Off,On,On,On,On,On,On,On,On,Off,0.08136487007141113,5.573758602142334,1248872,34.73275279998779,2152160,10605,44.220921754837036,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,On,Off,On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,0.08295512199401855,5.5163328647613525,1252968,34.624430656433105,2152160,10605,42.7847421169281,"[10, 50, 6, 4, 50]"
Off,On,On,On,On,Off,Off,Off,On,Off,On,Off,On,On,Off,On,Off,On,Off,Off,0.10038352012634277,5.56298828125,1251544,34.63328289985657,2152160,10605,42.762415409088135,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,Off,On,On,On,Off,On,Off,On,Off,Off,On,Off,On,Off,On,On,0.09311342239379883,5.568109750747681,1252968,34.77519679069519,2152160,10605,43.03090453147888,"[10, 50, 6, 4, 50]"
On,On,Off,Off,Off,On,Off,Off,On,Off,On,On,On,Off,On,Off,On,Off,Off,Off,0.08764457702636719,5.560926198959351,1252968,34.66064715385437,2152160,10605,42.89139986038208,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,Off,On,On,Off,On,Off,Off,Off,On,Off,On,Off,On,On,On,0.09302902221679688,5.546337127685547,1248872,34.65451097488403,2152160,10605,42.71115303039551,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,Off,Off,On,Off,0.08656835556030273,5.549794673919678,1255640,34.6436505317688,2152160,10605,42.733444929122925,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,On,Off,On,Off,On,On,Off,On,On,On,On,On,Off,On,0.09691929817199707,5.4980995655059814,1248872,34.839905977249146,2152160,10605,42.88176369667053,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,On,Off,Off,On,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,0.09494137763977051,5.561232805252075,1252968,34.787229776382446,2152160,10605,43.03198766708374,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,Off,On,On,Off,Off,Off,Off,On,On,On,On,On,On,On,On,0.1091609001159668,5.505965948104858,1248872,34.8045539855957,2152160,10605,42.94190454483032,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,Off,On,Off,0.08845829963684082,5.499540328979492,1255640,34.60777044296265,2152160,10605,42.70048689842224,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,On,On,Off,On,On,On,On,On,On,Off,On,Off,On,Off,On,0.09834527969360352,5.500837802886963,1248872,34.72506785392761,2152160,10605,42.72756028175354,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,On,Off,On,Off,Off,Off,On,Off,On,Off,On,Off,On,On,Off,0.09811162948608398,5.4881463050842285,1248872,34.62864589691162,2152160,10605,42.78281092643738,"[10, 50, 6, 4, 50]"
Off,Off,Off,On,Off,Off,On,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,0.09407806396484375,5.51565146446228,1252968,34.74352550506592,2152160,10605,42.77711296081543,"[10, 50, 6, 4, 50]"
Off,On,On,Off,Off,Off,Off,Off,On,On,On,Off,Off,On,On,On,On,On,Off,Off,0.07445240020751953,5.547482490539551,1251544,34.7695095539093,2152160,10605,42.914934396743774,"[10, 50, 6, 4, 50]"
On,Off,Off,On,On,On,On,On,Off,Off,Off,On,On,Off,Off,Off,Off,Off,On,On,0.10063743591308594,5.54236364364624,1252968,34.65058779716492,2152160,10605,42.79379868507385,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,On,Off,Off,Off,Off,0.08879208564758301,5.521954774856567,1248872,34.616674184799194,2152160,10605,42.687785625457764,"[10, 50, 6, 4, 50]"
