ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,0.08454155921936035,0.465087890625,237848,2.256162643432617,356663,1676,5.447337865829468,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,0.08113884925842285,0.4054591655731201,237848,2.1948044300079346,356663,1676,5.105962514877319,"[10, 50, 6, 4, 5]"
Off,On,On,On,Off,Off,Off,On,On,On,On,On,On,On,Off,Off,Off,Off,On,On,0.08966898918151855,0.4225318431854248,240512,2.1901609897613525,356663,1676,5.198831558227539,"[10, 50, 6, 4, 5]"
Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,Off,On,On,On,On,On,On,On,On,0.0961763858795166,0.41355204582214355,236416,2.2365386486053467,356663,1676,5.162491083145142,"[10, 50, 6, 4, 5]"
On,On,On,On,On,On,Off,Off,On,On,On,On,Off,Off,On,Off,Off,Off,Off,Off,0.10207271575927734,0.39717984199523926,241944,2.217656373977661,356663,1676,5.093897581100464,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,0.08590316772460938,0.4219808578491211,241944,2.1970863342285156,356663,1676,5.111639499664307,"[10, 50, 6, 4, 5]"
On,On,Off,On,Off,On,On,On,Off,Off,Off,On,On,On,Off,Off,Off,On,Off,Off,0.09064078330993652,0.41184091567993164,241944,2.244229793548584,356663,1676,5.238380432128906,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,Off,Off,On,On,Off,On,Off,On,0.10680723190307617,0.38976597785949707,236416,2.202406167984009,356663,1676,5.141072511672974,"[10, 50, 6, 4, 5]"
On,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,Off,On,On,Off,On,Off,0.09138774871826172,1.4340646266937256,465288,4.267028570175171,828309,4503,8.350652933120728,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,0.09846615791320801,1.4459619522094727,465288,4.252661943435669,828309,4503,8.320194005966187,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,0.08876609802246094,1.4490563869476318,469384,4.235239744186401,828309,4503,8.192772388458252,"[10, 50, 6, 4, 10]"
Off,On,On,On,Off,Off,Off,On,On,On,On,On,On,On,Off,Off,Off,Off,On,On,0.08352017402648926,1.4613423347473145,472056,4.256267070770264,828309,4503,8.269084930419922,"[10, 50, 6, 4, 10]"
Off,On,On,On,Off,Off,Off,On,On,On,On,On,On,On,Off,Off,Off,Off,On,On,0.09985065460205078,1.5130627155303955,503000,7.205555200576782,866233,4708,11.260980129241943,"[10, 50, 6, 4, 25]"
On,Off,Off,Off,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,0.07907629013061523,1.4964709281921387,504440,7.141605615615845,866233,4708,11.181269407272339,"[10, 50, 6, 4, 25]"
On,Off,Off,Off,On,On,On,On,Off,Off,On,Off,On,Off,Off,Off,On,On,On,Off,0.09589219093322754,5.507639408111572,1252968,34.61204481124878,2152160,10605,42.69976472854614,"[10, 50, 6, 4, 50]"
On,On,On,Off,On,On,On,On,Off,Off,On,On,Off,On,Off,On,On,Off,Off,Off,0.08884692192077637,1.437906265258789,465288,4.253074645996094,828309,4503,8.312899351119995,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,Off,On,On,On,On,On,Off,On,On,Off,On,Off,On,On,On,Off,0.11531877517700195,1.4390428066253662,469384,4.248749494552612,828309,4503,8.318608283996582,"[10, 50, 6, 4, 10]"
Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,Off,Off,Off,Off,On,On,Off,0.08770561218261719,1.4590981006622314,469384,4.254486560821533,828309,4503,8.351365327835083,"[10, 50, 6, 4, 10]"
Off,On,On,On,Off,On,Off,Off,Off,On,Off,On,On,On,On,On,On,On,Off,On,0.09565186500549316,1.4345128536224365,467960,4.254291296005249,828309,4503,8.357484340667725,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,On,Off,Off,On,On,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,0.09635424613952637,1.4360404014587402,469384,4.265306711196899,828309,4503,8.208301544189453,"[10, 50, 6, 4, 10]"
On,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,Off,On,0.08146429061889648,1.4539728164672852,465288,4.250518798828125,828309,4503,8.212599515914917,"[10, 50, 6, 4, 10]"
On,On,Off,On,Off,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,Off,Off,On,0.08161163330078125,1.5104377269744873,496248,7.186687469482422,866233,4708,11.20114803314209,"[10, 50, 6, 4, 25]"
