ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,On,On,Off,On,On,On,On,On,On,On,On,Off,Off,Off,On,Off,Off,Off,On,0.0917050838470459,0.47461700439453125,237848,2.2720775604248047,356663,1676,5.395067453384399,"[10, 50, 6, 4, 5]"
Off,On,On,On,Off,Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,Off,Off,On,Off,0.10563778877258301,0.40460896492004395,236416,2.189500093460083,356663,1676,5.093465089797974,"[10, 50, 6, 4, 5]"
On,Off,Off,On,On,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,On,On,On,On,0.08303117752075195,0.4118490219116211,241944,2.237772226333618,356663,1676,5.075747013092041,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,On,On,On,Off,On,On,Off,Off,0.09055948257446289,0.40254878997802734,241944,2.256803274154663,356663,1676,5.1373677253723145,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0.06508946418762207,0.4256272315979004,240512,2.196592330932617,356663,1676,5.098556041717529,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0.08026003837585449,0.4066436290740967,240512,2.266629695892334,356663,1676,5.13116455078125,"[10, 50, 6, 4, 5]"
On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,Off,Off,0.09436678886413574,0.4046049118041992,241944,2.228217840194702,356663,1676,5.092681169509888,"[10, 50, 6, 4, 5]"
Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,0.08890128135681152,0.3965175151824951,236416,2.2610831260681152,356663,1676,5.268671751022339,"[10, 50, 6, 4, 5]"
Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0.07569050788879395,1.4440181255340576,472056,4.282315731048584,828309,4503,8.22744870185852,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0.09420919418334961,1.434016227722168,472056,4.261333227157593,828309,4503,8.24747920036316,"[10, 50, 6, 4, 10]"
On,Off,Off,On,On,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,On,On,On,On,0.0988001823425293,1.4452810287475586,469384,4.261359930038452,828309,4503,8.245836734771729,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,0.09919571876525879,1.436816692352295,467960,4.277191877365112,828309,4503,8.291290283203125,"[10, 50, 6, 4, 10]"
Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0.09695005416870117,1.515505075454712,503000,7.1990227699279785,866233,4708,11.264642000198364,"[10, 50, 6, 4, 25]"
Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0.09814763069152832,1.4862027168273926,503000,7.169333457946777,866233,4708,11.183617353439331,"[10, 50, 6, 4, 25]"
Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,0.09243559837341309,5.4937286376953125,1255640,34.72035503387451,2152160,10605,42.73139977455139,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,Off,0.08320975303649902,1.4192709922790527,467960,4.285266637802124,828309,4503,8.123400926589966,"[10, 50, 6, 4, 10]"
On,On,On,On,On,Off,On,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,0.10256671905517578,1.4589712619781494,469384,4.261426687240601,828309,4503,8.221799373626709,"[10, 50, 6, 4, 10]"
On,On,On,Off,On,Off,On,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,0.09323573112487793,1.4285516738891602,469384,4.266317367553711,828309,4503,8.243406295776367,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,Off,On,Off,Off,On,On,Off,On,Off,Off,On,Off,On,On,On,Off,0.08590316772460938,1.4096791744232178,472056,4.2788002490997314,828309,4503,8.275761127471924,"[10, 50, 6, 4, 10]"
Off,On,On,On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,On,Off,On,0.06887173652648926,1.4338123798370361,467960,4.269432067871094,828309,4503,8.26922059059143,"[10, 50, 6, 4, 10]"
Off,On,Off,Off,On,On,Off,Off,Off,Off,On,Off,On,On,Off,Off,On,Off,Off,Off,0.09239673614501953,1.4456160068511963,472056,4.251416444778442,828309,4503,8.266198873519897,"[10, 50, 6, 4, 10]"
