ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,0.0812530517578125,5.6847968101501465,1252968,34.9425630569458,2152160,10605,44.65757608413696,"[10, 50, 6, 4, 50]"
Off,On,Off,On,On,Off,Off,Off,On,On,On,Off,On,On,Off,Off,Off,Off,Off,On,0.11175990104675293,5.469135761260986,1255640,34.833069801330566,2152160,10605,43.0065553188324,"[10, 50, 6, 4, 50]"
On,On,Off,On,On,Off,On,Off,On,Off,On,Off,Off,Off,On,Off,Off,Off,On,On,0.0825185775756836,5.500372886657715,1252968,34.65884256362915,2152160,10605,42.65656018257141,"[10, 50, 6, 4, 50]"
Off,On,On,Off,On,On,On,Off,Off,On,Off,Off,Off,On,Off,On,On,Off,Off,On,0.09508848190307617,5.490092039108276,1248872,34.672743797302246,2152160,10605,42.675846099853516,"[10, 50, 6, 4, 50]"
On,Off,On,Off,Off,Off,Off,Off,On,On,Off,On,Off,On,Off,On,Off,On,Off,On,0.0955195426940918,5.477908372879028,1248872,34.695111989974976,2152160,10605,42.76661276817322,"[10, 50, 6, 4, 50]"
On,Off,Off,Off,On,On,On,On,On,On,Off,On,On,Off,On,Off,On,On,Off,Off,0.09077119827270508,5.5341644287109375,1252968,34.84621214866638,2152160,10605,43.000545263290405,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,On,On,On,Off,Off,On,On,Off,Off,Off,Off,Off,Off,On,0.08922386169433594,5.5213212966918945,1252968,34.80965542793274,2152160,10605,42.95822358131409,"[10, 50, 6, 4, 50]"
Off,Off,On,On,Off,On,Off,Off,Off,On,Off,Off,On,Off,On,Off,Off,On,Off,On,0.09945201873779297,5.491506576538086,1255640,34.85611963272095,2152160,10605,42.968456983566284,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,On,On,On,Off,Off,0.09880423545837402,5.52433705329895,1251544,34.85950756072998,2152160,10605,43.000173568725586,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,Off,On,On,Off,Off,On,Off,Off,On,On,Off,Off,On,Off,0.10068678855895996,5.555441617965698,1248872,34.69065833091736,2152160,10605,42.8705096244812,"[10, 50, 6, 4, 50]"
On,Off,Off,On,Off,Off,On,On,Off,On,On,Off,Off,On,Off,Off,Off,On,On,Off,0.09436631202697754,5.537464380264282,1252968,34.68873953819275,2152160,10605,42.82524061203003,"[10, 50, 6, 4, 50]"
On,On,On,On,On,On,On,Off,Off,Off,On,On,On,Off,On,Off,Off,Off,On,Off,0.08188772201538086,5.484975099563599,1252968,34.82935833930969,2152160,10605,42.93203544616699,"[10, 50, 6, 4, 50]"
Off,On,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,On,On,On,Off,On,Off,0.09943985939025879,5.5489373207092285,1248872,34.87763977050781,2152160,10605,43.02320575714111,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,Off,On,Off,On,Off,On,On,On,On,On,On,Off,Off,Off,On,0.10641741752624512,5.540770053863525,1248872,34.84222602844238,2152160,10605,43.008747816085815,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,Off,On,Off,Off,Off,On,On,Off,Off,On,Off,On,On,On,On,0.08656191825866699,5.495767593383789,1252968,34.86435008049011,2152160,10605,42.827475786209106,"[10, 50, 6, 4, 50]"
