ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
On,Off,Off,On,On,Off,Off,Off,On,Off,Off,Off,On,On,On,Off,On,On,On,On,0.12206053733825684,5.609130620956421,1252968,34.77482223510742,2152160,10605,44.29200196266174,"[10, 50, 6, 4, 50]"
Off,Off,On,On,On,Off,On,Off,Off,Off,On,On,On,On,Off,Off,On,On,On,On,0.09816503524780273,5.558846950531006,1252968,34.620856046676636,2152160,10605,42.83986735343933,"[10, 50, 6, 4, 50]"
On,On,On,Off,Off,On,Off,On,On,Off,On,Off,Off,Off,Off,On,On,Off,Off,On,0.08578681945800781,5.54462194442749,1248872,34.7247896194458,2152160,10605,42.99110150337219,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,On,On,On,Off,Off,Off,On,On,On,On,Off,On,Off,Off,On,0.09105134010314941,5.521315097808838,1252968,34.680309772491455,2152160,10605,42.71434044837952,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,On,On,On,Off,Off,On,On,On,Off,On,Off,On,On,On,Off,0.09422540664672852,5.502634286880493,1252968,34.590131759643555,2152160,10605,42.66361665725708,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,Off,0.07861971855163574,5.490957498550415,1252968,34.568015575408936,2152160,10605,42.56755757331848,"[10, 50, 6, 4, 50]"
On,On,On,On,Off,On,Off,Off,Off,Off,Off,On,Off,On,On,Off,On,Off,On,On,0.08288764953613281,5.500796794891357,1252968,34.755707025527954,2152160,10605,42.88985753059387,"[10, 50, 6, 4, 50]"
On,Off,On,On,Off,On,Off,Off,Off,Off,Off,Off,Off,On,On,Off,Off,Off,On,Off,0.08681535720825195,5.47748327255249,1252968,34.63801550865173,2152160,10605,42.79123258590698,"[10, 50, 6, 4, 50]"
Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,Off,On,On,Off,Off,On,On,On,0.10219860076904297,5.483266592025757,1255640,34.645957708358765,2152160,10605,42.72712206840515,"[10, 50, 6, 4, 50]"
On,Off,On,Off,On,On,On,On,Off,Off,On,On,Off,On,Off,Off,On,Off,On,Off,0.08361983299255371,5.50326132774353,1252968,34.78730821609497,2152160,10605,42.76655650138855,"[10, 50, 6, 4, 50]"
On,On,Off,On,Off,Off,Off,On,On,On,On,On,On,Off,On,On,Off,Off,Off,Off,0.0834970474243164,5.554046392440796,1248872,34.61951398849487,2152160,10605,42.765162229537964,"[10, 50, 6, 4, 50]"
Off,On,Off,On,Off,On,On,On,On,On,On,On,On,Off,On,On,On,On,On,On,0.10510635375976562,5.492746353149414,1248872,34.74757790565491,2152160,10605,42.95262169837952,"[10, 50, 6, 4, 50]"
Off,On,Off,Off,Off,Off,Off,On,On,Off,Off,On,On,Off,Off,Off,On,Off,Off,On,0.07254219055175781,5.53720498085022,1255640,34.61527919769287,2152160,10605,42.683080196380615,"[10, 50, 6, 4, 50]"
On,Off,On,On,On,On,On,On,On,On,Off,On,On,On,On,Off,On,Off,On,On,0.09864497184753418,5.511381387710571,1252968,34.807212114334106,2152160,10605,42.931665897369385,"[10, 50, 6, 4, 50]"
