TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
496,Off,3,1360,Off,On,Off,1152191769,7166,784,5753,12993,801,45539,95865,935183120,902,500,unlimited,200,771.39,20.092466115951538,"[6, 30, 20, False]"
496,Off,3,1360,Off,On,Off,1152191769,7166,784,5753,12993,801,45539,95865,935183120,902,500,unlimited,200,601.7,180.14983129501343,"[8, 50, 180, True]"
419,Off,55,9405,Off,Off,On,821724552,2015,3674,2094,31147,608,307238,97562,1056562358,26,200,1000,1000,473.92,20.077637434005737,"[6, 30, 20, False]"
93,On,49,7667,Off,On,Off,77670884,2797,7963,7092,55499,572,345257,53851,348781278,458,100,500,300,1000.76,20.060961484909058,"[6, 30, 20, False]"
93,On,49,7667,Off,On,Off,77670884,2797,7963,7092,55499,572,345257,53851,348781278,458,100,500,300,823.12,180.11339735984802,"[8, 50, 180, True]"
53,On,15,8270,Off,On,Off,1655091371,4553,1951,3684,23705,693,123835,75313,356439313,507,default,300,300,1024.21,20.070496797561646,"[6, 30, 20, False]"
53,On,15,8270,Off,On,Off,1655091371,4553,1951,3684,23705,693,123835,75313,356439313,507,default,300,300,795.31,180.13248896598816,"[8, 50, 180, True]"
128,Off,40,2911,On,Off,Off,2090633442,391,988,938,47739,421,996914,52879,944157536,14,200,200,200,1559.41,20.079007625579834,"[6, 30, 20, False]"
586,On,5,6122,On,Off,On,1699177850,4797,5242,7017,27676,474,630910,25352,549354200,295,1000,none,500,2990.3,20.098479509353638,"[6, 30, 20, False]"
586,On,5,6122,On,Off,On,1699177850,4797,5242,7017,27676,474,630910,25352,549354200,295,1000,none,500,2590.42,180.1292223930359,"[8, 50, 180, True]"
175,Off,60,8172,On,On,Off,572902165,4075,4982,2118,11677,567,568183,40674,97087298,408,500,500,default,1603.91,20.100152254104614,"[6, 30, 20, False]"
159,On,38,7628,Off,On,On,559319986,3489,7099,3145,54266,285,186831,71682,701605233,454,200,200,500,1036.63,20.090822219848633,"[6, 30, 20, False]"
572,On,58,8387,Off,On,Off,1035954837,4402,7729,471,27383,540,502185,29018,84370510,944,1000,default,default,991.63,20.069976091384888,"[6, 30, 20, False]"
236,On,42,3342,On,Off,Off,2073084531,3039,2327,3030,62504,658,923674,14590,351408314,976,unlimited,200,500,2952.43,20.092251300811768,"[6, 30, 20, False]"
