TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,evaluated_time,fidelity_setting,corr
226,On,26,7771,On,Off,Double,1513241371,4786,551,5031,15649,892,180109,11610,511967378,384,200,100,1000,3001.07,20.08623218536377,"[6, 30, 20, False]",0
420,On,26,7771,On,Off,On,1513241371,4786,551,7307,14409,12,180109,11610,777144500,384,200,unlimited,unlimited,2990.14,20.091132640838623,"[6, 30, 20, False]",0
217,On,40,2870,On,Off,Off,833623114,1384,1222,2325,39213,279,694886,39894,703478041,630,default,100,unlimited,2973.59,20.03870987892151,"[6, 30, 20, False]",0
596,On,19,1082,On,On,Double,1513241371,5673,5342,7475,43950,888,134391,21848,777144500,342,200,unlimited,unlimited,2969.51,20.105228424072266,"[6, 30, 20, False]",0
402,On,58,2584,On,On,Off,1211431771,7943,1346,7278,55670,73,91753,2613,824920449,859,unlimited,1000,default,2969.06,20.09162163734436,"[6, 30, 20, False]",0
233,On,4,2303,On,Off,Double,1164070525,5973,3852,6946,30489,203,566225,18923,360934280,777,100,default,none,2966.23,20.09490442276001,"[6, 30, 20, False]",0
305,On,20,9742,On,On,Double,1651356708,5464,322,3755,8751,70,711579,89523,1057399831,803,200,300,500,2964.6,20.080915927886963,"[6, 30, 20, False]",0
173,On,7,1223,On,On,On,1108725999,1384,5369,2325,39213,279,302748,59777,652881891,630,default,none,500,2949.92,20.115105867385864,"[6, 30, 20, False]",0
23,On,26,3003,On,Off,On,1513241371,4786,551,7307,14409,12,1021229,11610,777144500,201,300,unlimited,200,2949.0,20.08521842956543,"[6, 30, 20, False]",0
226,On,31,7543,On,On,Double,1961450599,5636,2772,3695,15649,892,795582,81351,511967378,435,200,100,1000,2947.76,20.08717632293701,"[6, 30, 20, False]",0
420,On,51,7771,On,Off,On,2066087085,4871,1410,1466,59279,911,180109,64687,437760021,384,200,unlimited,unlimited,2946.7,20.092301845550537,"[6, 30, 20, False]",0
274,On,38,5236,On,On,Double,1507555281,7896,6979,7932,33406,238,105187,57203,386225116,678,1000,100,1000,2943.37,20.100850105285645,"[6, 30, 20, False]",0
543,On,16,6931,On,On,Off,1868579516,9976,2402,7573,44779,540,140103,99754,132232719,809,unlimited,500,200,2941.29,20.070613384246826,"[6, 30, 20, False]",0
402,On,19,2584,On,On,Off,1292409192,9839,1346,7278,55670,125,964309,56903,254128703,859,200,1000,default,2941.17,20.08771300315857,"[6, 30, 20, False]",0
596,On,19,1082,On,On,Double,1894266156,5673,5342,7475,43950,888,842623,21848,872648100,342,default,300,unlimited,2936.66,20.106537103652954,"[6, 30, 20, False]",0
173,On,7,1223,On,On,Double,171542368,3479,5369,4892,53832,104,905439,13145,652881891,132,1000,none,500,2933.29,20.07396125793457,"[6, 30, 20, False]",0
473,On,36,1525,On,Off,Off,812568419,2366,1311,1155,47795,984,315898,67611,313333747,53,none,100,500,2924.53,20.074340343475342,"[6, 30, 20, False]",0
217,On,50,7726,On,Off,On,1108725999,1384,7131,2325,39213,279,302748,59777,703478041,630,default,100,500,2912.79,20.109026432037354,"[6, 30, 20, False]",0
543,On,16,1525,On,Off,Off,1868579516,2366,1311,7573,17416,984,140103,99754,313333747,53,none,500,500,2906.33,20.09943127632141,"[6, 30, 20, False]",0
156,On,50,7726,On,Off,On,1108725999,8386,7131,7712,31838,361,302748,59777,846115665,239,300,default,500,2903.59,20.064062356948853,"[6, 30, 20, False]",0
