TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,evaluated_time,fidelity_setting,corr
34,On,25,5666,On,On,On,764355895,7155,1623,2212,1971,592,671525,82705,544782506,877,200,none,default,2774.44,180.1306595802307,"[8, 50, 180, True]",1
200,On,5,7267,On,On,Double,192405088,6129,5652,669,38255,877,1024741,18939,165772329,770,300,unlimited,none,2727.94,180.12441325187683,"[8, 50, 180, True]",1
563,On,28,3570,On,Off,On,1268995575,908,5698,533,54410,979,378635,61424,506334418,728,none,100,100,2652.79,180.12568879127502,"[8, 50, 180, True]",1
563,On,44,3570,On,Off,On,626727627,4871,3145,3276,5693,66,378635,45772,1001520879,728,none,100,100,2644.26,180.06575727462769,"[8, 50, 180, True]",1
150,On,49,988,On,Off,Off,2020609449,1871,3442,7181,23551,119,763880,56397,85064922,746,none,unlimited,100,2638.01,180.12923502922058,"[8, 50, 180, True]",1
8,On,5,4636,On,On,Double,1921734086,4097,296,29,26845,548,85718,68428,257676603,740,1000,100,1000,2627.13,180.12979531288147,"[8, 50, 180, True]",1
340,On,50,6529,On,On,On,1268995575,2249,6591,533,19121,979,1027069,13036,506334418,475,none,500,default,2626.24,180.12736010551453,"[8, 50, 180, True]",1
150,On,17,988,On,Off,Off,2020609449,9334,2409,7181,23551,366,707995,25522,782056074,746,500,1000,100,2620.07,180.12371063232422,"[8, 50, 180, True]",1
201,On,17,3191,On,Off,On,966758925,9173,7610,5623,55657,647,602432,48606,802550781,777,unlimited,unlimited,300,2616.26,180.11680722236633,"[8, 50, 180, True]",1
268,On,31,5572,On,Off,Off,399124717,7049,5917,1819,29253,988,295375,46649,368301386,920,unlimited,300,1000,2613.14,180.13028812408447,"[8, 50, 180, True]",1
399,On,42,5148,On,Off,Double,2067405148,2825,164,1437,7176,903,640915,31718,595676611,917,200,1000,default,2611.03,180.12957739830017,"[8, 50, 180, True]",1
333,On,14,6407,On,On,Off,1724254034,3165,4210,6213,51059,812,52620,55394,740891543,151,500,unlimited,unlimited,2610.48,180.13020610809326,"[8, 50, 180, True]",1
563,On,2,4945,On,On,Double,1629340394,4369,5698,6980,54410,979,378635,26026,829977898,728,none,100,100,2607.45,180.12856030464172,"[8, 50, 180, True]",1
150,On,2,988,On,Off,Off,1629340394,908,7002,1560,23551,119,763880,56397,85064922,746,none,unlimited,100,2600.28,180.13269066810608,"[8, 50, 180, True]",1
377,On,16,846,On,Off,On,2025435008,3975,4133,2291,43900,962,189037,89696,599000232,689,500,500,200,2598.03,180.07728147506714,"[8, 50, 180, True]",1
201,On,2,8340,On,Off,Double,1629340394,908,7002,1560,27790,647,602432,48606,802550781,777,unlimited,500,default,2589.39,180.13064527511597,"[8, 50, 180, True]",1
399,On,42,5148,On,Off,Double,2067405148,2825,164,1437,7176,903,640915,31718,595676611,917,200,1000,default,2583.32,180.13304090499878,"[8, 50, 180, True]",1
593,On,39,4409,On,On,Off,931465683,4724,2652,8049,50109,19,493450,12042,582420779,225,300,100,default,2582.5,180.12856364250183,"[8, 50, 180, True]",1
150,On,49,988,On,Off,Off,2020609449,1871,3442,7181,23551,119,763880,56397,85064922,746,none,unlimited,100,2578.79,180.1301875114441,"[8, 50, 180, True]",1
494,On,52,5067,On,Off,On,62561449,6302,4278,1404,50269,128,7494,10361,116241289,481,200,500,default,2574.89,180.12961530685425,"[8, 50, 180, True]",1
