TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,evaluated_time,fidelity_setting,corr
76,On,28,6528,On,On,Double,1382632883,6862,3779,2747,6941,857,517014,26026,439662867,596,100,200,500,2686.97,361.25398087501526,"[8, 50, 180, True]",1
238,On,60,6528,On,On,Double,1382632883,6862,3779,2747,6941,857,517014,95783,439662867,596,1000,none,500,2673.77,180.12793827056885,"[8, 50, 180, True]",1
238,On,28,6528,On,On,Double,1382632883,1875,3963,2747,6941,339,517014,95783,439662867,422,100,none,500,2664.21,361.24933767318726,"[8, 50, 180, True]",1
238,On,28,5323,On,On,Double,714480811,3775,1033,5700,32164,959,517014,95783,740241729,691,100,200,500,2663.56,180.08596515655518,"[8, 50, 180, True]",1
238,On,28,9122,On,Off,Double,1432549362,6862,3963,2747,13542,339,797063,95783,935580975,422,100,none,500,2655.97,361.24785566329956,"[8, 50, 180, True]",1
238,On,28,5323,On,On,Double,651535666,6862,3779,2747,61623,959,874242,95783,935580975,422,500,200,unlimited,2650.38,361.26535415649414,"[8, 50, 180, True]",1
238,On,60,6528,On,Off,Double,1382632883,6862,245,2747,61623,857,517014,95783,935580975,596,1000,none,unlimited,2648.61,180.1220726966858,"[8, 50, 180, True]",1
238,On,28,5323,On,On,Double,651535666,3775,1033,5700,32164,959,517014,95783,5552552,691,100,200,500,2646.13,180.104896068573,"[8, 50, 180, True]",1
76,On,28,9122,On,On,Double,291040675,1875,3963,6980,13542,339,517014,95783,916646473,422,100,100,500,2645.09,180.12919068336487,"[8, 50, 180, True]",1
238,On,28,5323,On,On,Double,651535666,3775,1033,5700,49530,959,517014,95783,916646473,422,100,200,500,2640.56,361.24935245513916,"[8, 50, 180, True]",1
238,On,28,9122,On,On,Double,1382632883,6862,3780,2747,6941,339,517014,95783,935580975,422,100,1000,500,2634.1,180.09842610359192,"[8, 50, 180, True]",1
238,On,28,9122,On,On,Double,651535666,1875,3925,5700,32164,136,517014,95783,439662867,691,1000,200,500,2631.14,180.10994172096252,"[8, 50, 180, True]",1
76,On,28,9122,On,On,Double,651535666,1875,3779,6980,13542,339,517014,95783,439662867,422,100,100,500,2627.79,180.12986969947815,"[8, 50, 180, True]",1
238,On,28,5323,On,On,Double,714480811,3775,3779,2747,61623,959,517014,95783,935580975,691,100,200,500,2624.26,180.12113976478577,"[8, 50, 180, True]",1
76,On,28,9122,On,On,Double,291040675,6862,3963,6980,32164,339,517014,95783,916646473,422,100,100,500,2623.1,361.25761008262634,"[8, 50, 180, True]",1
238,On,60,6528,On,Off,Double,1382632883,6862,245,2747,61623,857,517014,95783,439662867,596,1000,none,unlimited,2620.83,180.11328387260437,"[8, 50, 180, True]",1
76,On,28,9122,On,On,Double,1801699349,6862,3963,5700,6941,959,517014,95783,916646473,422,100,100,500,2619.34,180.10042428970337,"[8, 50, 180, True]",1
238,On,28,5323,On,On,Double,651535666,3775,1033,5700,32164,959,517014,95783,5552552,691,100,200,1000,2619.29,361.26306343078613,"[8, 50, 180, True]",1
238,On,60,6528,On,On,Double,1382632883,6862,3779,2747,61623,857,517014,95783,439662867,596,1000,none,none,2614.56,361.2680284976959,"[8, 50, 180, True]",1
238,On,28,9122,On,Off,Double,651535666,1875,3925,5700,32164,136,517014,95783,439662867,691,1000,200,500,2614.2,361.197274684906,"[8, 50, 180, True]",1
