TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
243,On,52,6054,Off,On,Double,960480265,4855,5666,2310,12453,946,1020009,20814,770554272,578,default,none,1000,828.96,180.1484923362732,"[8, 50, 180, True]"
301,On,36,5072,On,On,Off,556803631,8692,8126,5186,26713,336,834091,42449,139105970,1008,500,100,100,2614.23,180.13683199882507,"[8, 50, 180, True]"
499,Off,27,3745,Off,Off,On,2064176570,2972,4851,7162,41171,224,503472,51282,871736676,175,unlimited,200,200,364.87,180.19136834144592,"[8, 50, 180, True]"
151,Off,13,7819,On,On,On,374301589,7655,3906,157,32756,741,708679,5750,723624159,311,500,200,300,741.83,180.1611897945404,"[8, 50, 180, True]"
595,On,12,1612,Off,Off,Double,1396756011,3399,154,4806,58385,614,51219,96488,106644337,453,none,default,300,876.68,180.13477182388306,"[8, 50, 180, True]"
44,Off,19,4546,On,On,On,1685856596,6800,1664,6224,62663,97,905396,71896,382791130,840,100,500,default,738.75,180.14612340927124,"[8, 50, 180, True]"
438,Off,37,2673,Off,Off,Double,1215999681,9446,1199,3066,35786,494,142444,65372,264466212,87,200,unlimited,none,356.54,180.22408986091614,"[8, 50, 180, True]"
362,On,56,9614,Off,On,Off,698542382,204,5903,1296,2720,814,540963,85333,538688929,738,1000,100,unlimited,827.97,180.1169981956482,"[8, 50, 180, True]"
111,On,6,790,On,Off,Double,1824862551,1475,2742,4049,18085,121,278985,12876,533239393,227,300,1000,1000,2668.38,180.1263735294342,"[8, 50, 180, True]"
195,Off,46,8907,On,Off,Off,6363449,5441,6910,7583,51059,534,372281,33799,1051583423,703,100,500,default,1450.63,180.12391591072083,"[8, 50, 180, True]"
243,On,52,6054,Off,On,Double,960480265,4855,5666,2310,12453,946,1020009,20814,770554272,578,default,none,1000,929.65,50.07229495048523,"[8, 35, 50, True]"
301,On,36,5072,On,On,Off,556803631,8692,8126,5186,26713,336,834091,42449,139105970,1008,500,100,100,2700.35,50.11004114151001,"[8, 35, 50, True]"
499,Off,27,3745,Off,Off,On,2064176570,2972,4851,7162,41171,224,503472,51282,871736676,175,unlimited,200,200,395.93,50.17798185348511,"[8, 35, 50, True]"
151,Off,13,7819,On,On,On,374301589,7655,3906,157,32756,741,708679,5750,723624159,311,500,200,300,733.46,50.04055309295654,"[8, 35, 50, True]"
595,On,12,1612,Off,Off,Double,1396756011,3399,154,4806,58385,614,51219,96488,106644337,453,none,default,300,951.87,50.092379570007324,"[8, 35, 50, True]"
44,Off,19,4546,On,On,On,1685856596,6800,1664,6224,62663,97,905396,71896,382791130,840,100,500,default,712.21,50.14985489845276,"[8, 35, 50, True]"
