TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,evaluated_time,fidelity_setting,corr
342,On,42,1751,On,On,Off,1118255742,7198,350,7692,36081,20,338387,25254,779091896,938,1000,1000,unlimited,2922.36,10.096298217773438,"[8, 35, 10, True]",0.9878787878787878
290,On,44,8446,On,Off,Off,1118255742,7198,350,143,30189,947,872957,25254,574277158,436,default,1000,100,2868.56,10.090654611587524,"[8, 35, 10, True]",0.9878787878787878
294,On,14,9058,On,Off,Off,2001005804,9041,3468,143,30189,677,740307,37847,784948445,798,unlimited,default,default,2831.0,10.071934700012207,"[8, 35, 10, True]",0.9878787878787878
294,On,14,7246,On,Off,Off,1118255742,510,3393,1820,30189,639,338387,51206,784948445,798,500,default,default,2804.57,10.08399486541748,"[8, 35, 10, True]",0.9878787878787878
294,On,42,1751,On,Off,Off,1118255742,9041,5034,143,30189,639,338387,25254,779091896,436,500,none,unlimited,2801.97,10.05701470375061,"[8, 35, 10, True]",0.9878787878787878
290,On,14,8446,On,Off,Off,2001005804,3686,3393,1820,34483,677,911428,51206,405784493,798,unlimited,1000,default,2798.37,10.106519937515259,"[8, 35, 10, True]",0.9878787878787878
290,On,46,8446,On,On,Off,385219285,7198,350,7692,36081,947,911428,51206,230926086,426,default,1000,unlimited,2788.82,10.06579303741455,"[8, 35, 10, True]",0.9878787878787878
294,On,14,7246,On,On,Off,1118255742,510,3393,1820,30189,947,911428,51206,230926086,426,default,1000,default,2787.15,10.050871849060059,"[8, 35, 10, True]",0.9878787878787878
294,On,31,1751,On,Off,Off,1515623763,9041,5034,7486,60066,677,740307,51206,405784493,798,unlimited,default,default,2772.07,10.063745737075806,"[8, 35, 10, True]",0.9878787878787878
290,On,14,1751,On,Off,Off,821124038,3686,3588,143,34483,727,740307,51206,405784493,798,unlimited,default,default,2770.39,10.07482361793518,"[8, 35, 10, True]",0.9878787878787878
493,On,14,9058,On,Off,On,2001005804,510,6261,2978,30189,532,740307,37847,784948445,356,unlimited,default,unlimited,2763.85,10.065400838851929,"[8, 35, 10, True]",0.9878787878787878
294,On,14,1751,On,Off,Off,2001005804,9041,5034,143,30189,677,740307,51206,405784493,798,unlimited,default,default,2762.34,10.068354845046997,"[8, 35, 10, True]",0.9878787878787878
290,On,14,1751,On,Off,Off,2001005804,3686,3393,143,34483,677,740307,51206,405784493,798,unlimited,default,default,2749.3,10.053078413009644,"[8, 35, 10, True]",0.9878787878787878
493,On,14,9058,On,Off,Off,2001005804,3686,6261,2978,30189,532,740307,51206,405784493,356,unlimited,default,default,2741.31,10.051519632339478,"[8, 35, 10, True]",0.9878787878787878
290,On,44,8446,On,On,Off,1118255742,9041,350,143,30189,947,911428,25254,779091896,436,500,1000,unlimited,2726.9,10.070398807525635,"[8, 35, 10, True]",0.9878787878787878
290,On,46,8446,On,Off,Off,385219285,7198,350,7692,63778,947,872957,85012,574277158,691,default,none,100,2722.9,10.062522411346436,"[8, 35, 10, True]",0.9878787878787878
290,On,42,8446,On,Off,Off,2001005804,3686,3393,143,30189,677,338387,51206,405784493,436,500,none,default,2721.8,10.044686794281006,"[8, 35, 10, True]",0.9878787878787878
294,On,18,1751,On,Off,Off,1118255742,9041,5034,1820,34483,639,911428,25254,779091896,798,unlimited,1000,unlimited,2718.61,10.092827081680298,"[8, 35, 10, True]",0.9878787878787878
238,On,9,8299,On,Off,Double,995269384,8606,4075,2747,21687,959,872957,85012,574277158,691,1000,none,100,2717.51,10.04577112197876,"[8, 35, 10, True]",0.9878787878787878
290,On,31,8446,On,On,On,2001005804,3686,3468,7486,34483,677,911428,37847,405784493,25,unlimited,1000,unlimited,2714.28,10.116211652755737,"[8, 35, 10, True]",0.9878787878787878
