TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,evaluated_time,fidelity_setting,corr
74,On,8,1241,On,On,Off,102319836,3690,327,1224,35113,941,279919,53458,460144760,41,1000,1000,100,2683.73,361.23170137405396,"[8, 50, 180, True]",1
74,On,44,3742,On,On,Off,1153994445,3376,1181,3005,34749,393,279919,83335,9527927,41,default,1000,none,2670.47,180.12428617477417,"[8, 50, 180, True]",1
74,On,46,1241,On,On,On,1593764418,3690,7211,55,34749,393,279919,53458,9527927,41,none,200,100,2665.55,180.12765383720398,"[8, 50, 180, True]",1
74,On,46,1241,On,On,On,1593764418,3690,7211,55,34749,393,279919,53458,9527927,41,none,none,100,2663.72,180.12011981010437,"[8, 50, 180, True]",1
479,On,28,2578,On,On,On,862732802,4120,3175,713,47391,384,454181,56110,694974186,680,default,none,1000,2657.14,180.11047387123108,"[8, 50, 180, True]",1
74,On,44,1241,On,On,Off,1153994445,3376,1181,3005,34749,393,279919,19192,9527927,41,default,1000,none,2653.4,180.12289547920227,"[8, 50, 180, True]",1
74,On,37,3742,On,On,Double,1366848821,2630,1025,3005,6635,393,279919,83335,9527927,41,1000,unlimited,none,2651.81,361.2450518608093,"[8, 50, 180, True]",1
531,On,44,1241,On,Off,Off,1153994445,3376,7211,55,34749,334,328631,19192,460144760,454,default,1000,default,2646.61,180.12187504768372,"[8, 50, 180, True]",1
460,On,33,1224,On,On,Off,1688377095,2744,6715,3671,41848,694,191039,53097,359114520,334,200,none,200,2639.21,180.12755417823792,"[8, 50, 180, True]",1
152,On,27,3089,On,Off,Off,1457991295,1503,1900,6958,18854,978,854936,18060,283128411,394,300,1000,1000,2635.8,180.1189682483673,"[8, 50, 180, True]",1
597,On,48,4661,On,On,Double,1667854364,8567,477,5449,16453,794,621134,15800,51795654,64,500,500,100,2634.65,180.1163878440857,"[8, 50, 180, True]",1
307,On,35,2228,On,On,Double,870518790,4011,604,2795,60818,881,1022593,65583,378551921,101,none,default,300,2629.93,180.12588834762573,"[8, 50, 180, True]",1
325,On,30,1774,On,Off,Double,2065052636,7971,867,7907,32914,481,148841,74391,237825290,3,1000,unlimited,200,2628.26,180.12321996688843,"[8, 50, 180, True]",1
74,On,44,1241,On,On,On,102319836,3376,3434,1224,6635,941,328631,19192,9527927,63,default,500,100,2626.95,180.11303782463074,"[8, 50, 180, True]",1
89,On,39,2347,On,On,On,1000900201,1659,2139,7956,62249,717,56967,15983,614242000,503,500,500,500,2626.6,180.13222455978394,"[8, 50, 180, True]",1
458,On,46,1241,On,On,On,1593764418,3690,7211,55,35113,941,90868,53458,9527927,886,1000,unlimited,100,2624.46,180.1323266029358,"[8, 50, 180, True]",1
400,On,13,2086,On,On,Off,1099198129,8447,5145,3026,61868,152,137394,48302,512138326,263,default,1000,300,2621.79,180.1172912120819,"[8, 50, 180, True]",1
74,On,46,1241,On,On,On,1554731018,3690,7211,55,34749,586,279919,53458,9527927,41,none,none,100,2621.77,180.12931871414185,"[8, 50, 180, True]",1
458,On,46,1110,On,Off,On,1593764418,3690,3434,1224,8475,941,90868,53458,1020338295,63,none,500,100,2613.3,180.12932419776917,"[8, 50, 180, True]",1
69,On,52,3376,On,Off,Off,2134117023,7856,327,7671,8897,284,66049,8336,759787240,318,300,500,100,2611.08,180.11705374717712,"[8, 50, 180, True]",1
