TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,evaluated_time,fidelity_setting,corr
551,On,42,3566,On,Off,Off,1234935040,4185,4878,2809,56299,521,732674,16505,171003883,768,200,none,200,2941.16,10.070051431655884,"[8, 35, 10, True]",0.8787878787878788
411,On,8,8046,On,On,Double,1831365811,3059,5172,980,49694,528,534325,66174,1003497247,993,unlimited,100,unlimited,2889.15,10.071364879608154,"[8, 35, 10, True]",0.8787878787878788
411,On,11,9606,On,On,Off,1831365811,5855,3999,1851,6796,837,534325,66174,1003497247,214,500,100,unlimited,2860.07,10.13487434387207,"[8, 35, 10, True]",0.8787878787878788
559,On,17,5441,On,Off,Double,1064241716,4185,6897,980,4212,521,884236,75772,821944734,768,default,500,200,2850.99,10.081148386001587,"[8, 35, 10, True]",0.8787878787878788
521,On,2,3658,On,On,On,1996234158,528,5172,3331,49694,427,299515,94637,521607336,222,unlimited,100,100,2849.42,10.042541742324829,"[8, 35, 10, True]",0.8787878787878788
139,On,27,7267,On,Off,Double,756239393,4185,4878,2809,38488,521,499550,75772,64366811,104,200,default,200,2844.96,10.097540855407715,"[8, 35, 10, True]",0.8787878787878788
551,On,8,9507,On,On,Off,1234935040,8208,7481,4191,56299,832,573496,16505,984547007,940,1000,300,200,2843.77,10.111962795257568,"[8, 35, 10, True]",0.8787878787878788
468,On,34,3217,On,On,Double,1039137919,2800,4201,6873,26747,623,455383,4703,116226743,443,default,default,500,2834.32,10.059046745300293,"[8, 35, 10, True]",0.8787878787878788
411,On,3,8046,On,On,Double,1831365811,3059,5172,980,49694,528,1034985,34916,1003497247,15,unlimited,1000,unlimited,2832.36,10.106708526611328,"[8, 35, 10, True]",0.8787878787878788
551,On,17,5441,On,Off,On,2078908032,4185,6897,2809,56299,521,884236,16505,171003883,768,200,500,200,2829.36,10.043680429458618,"[8, 35, 10, True]",0.8787878787878788
139,On,27,2802,On,On,Double,53258698,8475,1004,1031,38488,461,499550,67664,64366811,104,none,default,200,2825.09,10.120711088180542,"[8, 35, 10, True]",0.8787878787878788
427,On,3,3658,On,Off,On,1175073307,528,3328,7390,14174,760,299515,34916,572024221,222,100,100,100,2825.06,10.04992413520813,"[8, 35, 10, True]",0.8787878787878788
551,On,17,5441,On,Off,On,1064241716,4185,6897,2809,56299,521,884236,16505,171003883,768,200,500,200,2823.75,10.080877304077148,"[8, 35, 10, True]",0.8787878787878788
529,On,42,3566,On,Off,On,1712700146,4185,4878,5825,16310,521,732674,75772,171003883,768,200,none,200,2819.38,10.058297395706177,"[8, 35, 10, True]",0.8787878787878788
411,On,3,8046,On,On,Double,1831365811,7233,3328,980,49694,760,1034985,34916,572024221,15,unlimited,1000,unlimited,2816.88,10.067194700241089,"[8, 35, 10, True]",0.8787878787878788
15,On,8,1444,On,Off,On,1175073307,3059,5172,7390,14174,511,534325,66174,1003497247,993,500,100,500,2805.66,10.096836805343628,"[8, 35, 10, True]",0.8787878787878788
551,On,17,5441,On,Off,On,1175073307,4185,3328,2809,56299,760,299515,34916,572024221,768,100,500,200,2805.41,10.11180329322815,"[8, 35, 10, True]",0.8787878787878788
411,On,11,5441,On,On,Off,1544481458,4185,6897,980,4212,837,884236,75772,1003497247,214,none,500,unlimited,2801.93,10.09676456451416,"[8, 35, 10, True]",0.8787878787878788
15,On,3,3658,On,Off,On,1175073307,528,3328,7390,14174,760,299515,34916,572024221,222,100,100,100,2798.93,10.061673641204834,"[8, 35, 10, True]",0.8787878787878788
559,On,8,5441,On,On,Double,1064241716,3963,6897,980,4212,528,884236,1422,821944734,993,default,500,500,2798.35,10.100984573364258,"[8, 35, 10, True]",0.8787878787878788
