TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
271,On,59,9515,On,On,On,832418130,5800,8086,5279,2235,398,874535,48089,103764482,460,500,300,500,2484.87,180.1397533416748,"[8, 50, 180, True]"
41,On,38,3911,On,On,Off,1326476422,9726,5713,2022,24147,786,671246,68166,284769565,264,200,200,500,2596.38,180.1037609577179,"[8, 50, 180, True]"
548,Off,1,8571,Off,Off,Double,1569295745,4554,4850,7818,18377,50,587668,29242,633494682,105,300,1000,none,336.09,180.2004210948944,"[8, 50, 180, True]"
458,Off,19,7885,On,On,Off,261639573,1105,2166,4474,45945,958,503551,87754,368581599,955,100,300,unlimited,1382.81,180.0944948196411,"[8, 50, 180, True]"
89,On,43,2246,Off,Off,Double,1145431969,3569,1455,1636,39356,189,1010779,58680,508902459,829,100,100,200,589.24,361.2676148414612,"[8, 50, 180, True]"
513,Off,14,4836,Off,On,On,1783715245,7149,4094,3696,52294,818,192620,94096,210872745,552,default,unlimited,none,427.48,180.13679790496826,"[8, 50, 180, True]"
195,On,28,1778,Off,Off,Double,29629531,8840,6458,6447,55460,203,258562,8783,876084411,733,unlimited,default,300,728.55,180.1213960647583,"[8, 50, 180, True]"
176,On,31,747,Off,Off,Off,531014751,2126,610,6954,12663,623,3774,77997,1061351668,52,500,100,default,499.44,180.11729907989502,"[8, 50, 180, True]"
316,Off,12,5154,On,On,On,919647853,321,2988,543,28177,558,803231,33606,780870338,377,1000,1000,1000,737.63,180.14147853851318,"[8, 50, 180, True]"
362,Off,52,6032,On,Off,Off,2076569329,6141,6738,2708,64731,429,352783,10801,721891274,689,none,unlimited,100,1450.82,180.1243155002594,"[8, 50, 180, True]"
271,On,59,9515,On,On,On,832418130,5800,8086,5279,2235,398,874535,48089,103764482,460,500,300,500,2650.04,60.12479829788208,"[8, 45, 60, True]"
41,On,38,3911,On,On,Off,1326476422,9726,5713,2022,24147,786,671246,68166,284769565,264,200,200,500,2658.85,60.128143310546875,"[8, 45, 60, True]"
548,Off,1,8571,Off,Off,Double,1569295745,4554,4850,7818,18377,50,587668,29242,633494682,105,300,1000,none,324.49,60.19721817970276,"[8, 45, 60, True]"
