TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
281,Off,20,5012,Off,Off,Double,216502735,4854,6775,1554,10120,243,889829,37775,589617994,456,1000,1000,unlimited,343.33,361.4438464641571,"[8, 50, 180, True]"
180,On,50,1588,On,Off,On,585936604,724,1663,7952,8443,576,580671,78461,193243689,566,unlimited,100,1000,2855.81,180.10963773727417,"[8, 50, 180, True]"
105,Off,31,4202,Off,On,Double,953032037,8374,498,442,25986,278,62878,69867,1001311747,29,500,200,100,392.49,180.0633156299591,"[8, 50, 180, True]"
443,On,57,8209,On,On,Off,1696214161,9118,5841,6128,35463,863,229764,4526,841405618,952,100,500,500,2627.87,180.10072493553162,"[8, 50, 180, True]"
565,Off,9,1217,On,On,On,1368031138,2839,4823,6247,44687,437,340894,56536,438840605,154,default,default,none,662.82,180.0455002784729,"[8, 50, 180, True]"
13,On,7,3324,Off,Off,Off,427663031,1551,3377,2575,24401,715,922512,30902,32132379,806,300,300,300,646.73,180.11805152893066,"[8, 50, 180, True]"
359,Off,24,7453,Off,Off,Double,1947408749,5391,7385,4976,53257,96,523082,99791,777342499,287,200,unlimited,default,358.39,180.18813514709473,"[8, 50, 180, True]"
486,On,41,9686,On,On,Double,1314815340,6789,2811,3491,57552,939,724876,13013,363941844,668,none,none,200,2588.23,180.13464903831482,"[8, 50, 180, True]"
206,Off,56,1574,On,On,Double,747155978,904,2534,7163,9633,464,710131,96650,122957003,507,200,none,200,448.05,180.14330744743347,"[8, 50, 180, True]"
140,On,45,2754,Off,On,Double,848889847,985,504,7373,8960,506,618721,77487,55202472,651,1000,500,1000,1003.08,180.08825063705444,"[8, 50, 180, True]"
221,Off,48,2431,Off,Off,Double,936430030,1257,2277,6681,9219,669,577954,94397,280436693,626,500,1000,default,334.52,180.21958374977112,"[8, 50, 180, True]"
244,On,45,3274,On,On,Off,541174964,1145,1684,7913,10088,621,667121,87858,326012488,535,100,default,500,2703.24,180.13138890266418,"[8, 50, 180, True]"
277,On,50,2056,Off,Off,On,816421133,1091,1489,6994,8658,686,553634,71556,77397463,597,300,200,100,612.43,180.10388803482056,"[8, 50, 180, True]"
178,On,53,1435,On,Off,Double,665060200,1528,1284,7667,8591,546,642591,82650,178954882,539,none,300,300,2793.72,361.2378354072571,"[8, 50, 180, True]"
164,Off,42,3007,Off,Off,Off,472495874,814,2073,6413,9847,608,543845,92112,319415712,480,default,100,unlimited,459.79,180.07933712005615,"[8, 50, 180, True]"
126,Off,55,1858,On,On,On,617582496,1424,810,6667,9288,515,689264,76273,214874973,575,unlimited,unlimited,none,664.11,180.0793809890747,"[8, 50, 180, True]"
566,On,5,4280,Off,Off,On,315467255,2274,1239,473,18484,279,280484,555,974513738,340,default,200,500,756.99,180.13055324554443,"[8, 50, 180, True]"
397,On,54,99,On,On,Double,1491511462,3110,6859,2634,14056,959,412002,95806,110419089,84,100,default,100,2533.19,180.13550782203674,"[8, 50, 180, True]"
462,On,19,6632,On,Off,Double,1034154747,9544,4148,1954,40549,379,71430,23208,199299645,484,300,300,300,2741.39,361.22456216812134,"[8, 50, 180, True]"
106,Off,47,9256,On,On,Double,2084969865,7272,5721,4127,33065,45,575350,61865,537114646,897,unlimited,100,200,452.03,180.06841373443604,"[8, 50, 180, True]"
73,Off,34,7528,Off,On,Off,1282694473,8012,2477,3126,51194,829,204688,48630,483905379,255,500,1000,unlimited,679.05,180.0851764678955,"[8, 50, 180, True]"
347,Off,42,5398,On,Off,Off,38279908,4397,7355,6352,47652,708,1002496,35811,885753518,706,200,none,default,1279.1,180.1364917755127,"[8, 50, 180, True]"
289,Off,30,1750,Off,Off,Double,1778668503,5555,3720,7810,8278,210,747870,69970,767721676,814,1000,unlimited,1000,321.3,180.1520335674286,"[8, 50, 180, True]"
188,On,10,3097,Off,On,On,632704387,744,185,5153,61203,569,799422,87465,380465120,611,none,500,none,904.56,180.10470247268677,"[8, 50, 180, True]"
172,Off,51,487,Off,On,Double,349634677,742,1902,7889,14008,661,643904,82027,171845205,491,unlimited,none,none,390.02,180.20709872245789,"[8, 50, 180, True]"
147,Off,50,718,Off,On,Double,407178036,728,2282,7820,8458,645,663611,72755,124639513,607,none,500,default,387.09,180.09119820594788,"[8, 50, 180, True]"
158,Off,54,1120,On,Off,Off,500392902,724,1765,7855,13187,592,711058,87022,154992012,582,500,1000,1000,1338.93,180.11896657943726,"[8, 50, 180, True]"
184,On,49,1167,Off,On,Off,525010151,731,1557,7871,12432,630,738195,79590,113421929,534,1000,unlimited,500,1022.81,180.12800431251526,"[8, 50, 180, True]"
138,On,53,751,On,Off,Double,371165711,741,2091,7900,9418,605,586400,71102,189670565,575,default,100,unlimited,2736.07,180.12701535224915,"[8, 50, 180, True]"
111,Off,49,1536,On,On,Double,463907840,736,2389,7843,11081,707,700525,84592,187805349,556,300,300,200,446.27,180.1520721912384,"[8, 50, 180, True]"
130,On,48,300,Off,Off,On,569596361,733,1298,7926,11648,676,628780,75419,138240765,504,100,default,100,641.3,180.0977828502655,"[8, 50, 180, True]"
118,On,52,1728,On,Off,On,602975935,737,1413,7943,9769,580,605016,77498,145801459,520,200,200,300,2626.39,180.11959838867188,"[8, 50, 180, True]"
