TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
44,On,6,2099,Off,Off,On,1857184217,9371,6481,4407,23985,267,473680,29294,368689794,204,500,100,500,668.29,10.06928539276123,"[8, 50, 10, True]"
19,On,42,3911,On,Off,On,1613845148,1813,4802,7556,34082,409,51652,72031,411413757,792,200,200,100,2678.11,10.064247131347656,"[8, 50, 10, True]"
581,Off,53,8822,Off,On,On,2040138797,4759,4897,659,14243,178,776876,13064,748903928,807,1000,100,200,661.47,10.060676574707031,"[8, 50, 10, True]"
455,Off,47,5141,On,On,Double,2083215710,8093,5086,622,10802,619,798267,61533,603626793,606,none,200,1000,929.23,10.217662811279297,"[8, 50, 10, True]"
233,Off,35,7117,Off,On,Off,712450914,3907,4705,5927,21503,864,983497,24955,283012860,111,none,none,default,254.35,10.180891752243042,"[8, 50, 10, True]"
89,Off,50,7758,On,Off,On,991485060,6027,3231,15,53154,175,752285,79540,120164517,723,default,none,200,0.0,2.1457672119140625e-06,"[8, 50, 10, True]"
423,On,59,7368,On,On,Double,976550491,3207,1956,4143,45686,907,871352,47018,333539775,148,none,500,unlimited,0.0,2.86102294921875e-06,"[8, 50, 10, True]"
91,On,27,8023,Off,On,Double,611275652,6876,7387,3597,53968,180,1010213,98310,331606522,384,none,200,default,838.83,10.11181378364563,"[8, 50, 10, True]"
443,On,3,2844,Off,On,On,540989240,3579,6277,7819,29565,584,130933,54744,339428390,634,100,none,default,897.31,10.08653998374939,"[8, 50, 10, True]"
48,Off,30,7464,Off,On,Double,205533728,9540,3748,8032,7114,884,128243,20986,1067385402,271,none,none,default,583.84,10.045857191085815,"[8, 50, 10, True]"
526,Off,14,9721,Off,On,Off,695146759,8464,6384,6015,37429,643,820587,16600,538012599,407,none,300,500,762.26,10.072391510009766,"[8, 50, 10, True]"
117,On,17,2854,On,On,Off,386479455,579,7006,7582,22754,723,763304,48446,155358688,337,100,none,unlimited,2562.28,10.070539951324463,"[8, 50, 10, True]"
237,Off,33,9538,Off,Off,Off,1777169596,3808,6076,339,24903,980,827099,63542,278079413,983,200,unlimited,1000,450.63,10.078858852386475,"[8, 50, 10, True]"
8,Off,53,9764,Off,On,Double,703624477,1008,3233,134,34051,942,153333,54055,842379268,579,500,unlimited,300,459.01,10.186432361602783,"[8, 50, 10, True]"
299,Off,24,5825,On,On,Off,421072667,3826,466,3820,48794,951,435708,33281,162291104,57,none,none,none,1028.04,10.086570024490356,"[8, 50, 10, True]"
352,On,16,1985,On,On,Off,638928883,1336,6096,240,22875,776,611505,51684,595491182,116,1000,default,none,2701.26,10.06305480003357,"[8, 50, 10, True]"
352,On,16,1985,On,On,Off,638928883,1336,6096,240,22875,776,611505,51684,595491182,116,1000,default,none,2580.21,20.060251712799072,"[8, 50, 20, True]"
19,On,42,3911,On,Off,On,1613845148,1813,4802,7556,34082,409,51652,72031,411413757,792,200,200,100,2626.06,20.06918501853943,"[8, 50, 20, True]"
117,On,17,2854,On,On,Off,386479455,579,7006,7582,22754,723,763304,48446,155358688,337,100,none,unlimited,2633.0,20.074650287628174,"[8, 50, 20, True]"
299,Off,24,5825,On,On,Off,421072667,3826,466,3820,48794,951,435708,33281,162291104,57,none,none,none,1418.08,20.108417987823486,"[8, 50, 20, True]"
455,Off,47,5141,On,On,Double,2083215710,8093,5086,622,10802,619,798267,61533,603626793,606,none,200,1000,804.22,20.10661220550537,"[8, 50, 20, True]"
443,On,3,2844,Off,On,On,540989240,3579,6277,7819,29565,584,130933,54744,339428390,634,100,none,default,932.61,20.05520009994507,"[8, 50, 20, True]"
91,On,27,8023,Off,On,Double,611275652,6876,7387,3597,53968,180,1010213,98310,331606522,384,none,200,default,859.46,20.047415494918823,"[8, 50, 20, True]"
526,Off,14,9721,Off,On,Off,695146759,8464,6384,6015,37429,643,820587,16600,538012599,407,none,300,500,757.58,20.085315942764282,"[8, 50, 20, True]"
117,On,17,2854,On,On,Off,386479455,579,7006,7582,22754,723,763304,48446,155358688,337,100,none,unlimited,2656.15,40.11417508125305,"[8, 50, 40, True]"
19,On,42,3911,On,Off,On,1613845148,1813,4802,7556,34082,409,51652,72031,411413757,792,200,200,100,2576.15,40.11738133430481,"[8, 50, 40, True]"
352,On,16,1985,On,On,Off,638928883,1336,6096,240,22875,776,611505,51684,595491182,116,1000,default,none,2675.75,40.125439405441284,"[8, 50, 40, True]"
299,Off,24,5825,On,On,Off,421072667,3826,466,3820,48794,951,435708,33281,162291104,57,none,none,none,1538.64,40.060548305511475,"[8, 50, 40, True]"
352,On,16,1985,On,On,Off,638928883,1336,6096,240,22875,776,611505,51684,595491182,116,1000,default,none,2727.26,181.20040822029114,"[8, 50, 90, True]"
117,On,17,2854,On,On,Off,386479455,579,7006,7582,22754,723,763304,48446,155358688,337,100,none,unlimited,2621.11,90.13707184791565,"[8, 50, 90, True]"
352,On,16,1985,On,On,Off,638928883,1336,6096,240,22875,776,611505,51684,595491182,116,1000,default,none,2638.4,180.07345414161682,"[8, 50, 180, True]"
54,Off,21,4690,Off,On,On,1821477661,6521,2713,2515,38227,387,903744,69099,187120486,826,100,300,unlimited,644.21,20.074019193649292,"[8, 50, 20, True]"
344,On,41,3694,On,Off,On,274816355,8900,880,3653,9385,809,852615,72047,620590103,955,1000,300,500,2676.59,20.084439277648926,"[8, 50, 20, True]"
365,Off,27,5498,Off,On,Off,1236630300,4618,2381,2728,42950,598,589746,8841,975435144,32,unlimited,300,200,554.49,20.074519634246826,"[8, 50, 20, True]"
489,On,8,2376,On,Off,On,1087886412,6613,2200,7811,55046,257,945457,58706,1017360628,117,1000,1000,300,2656.83,20.100056171417236,"[8, 50, 20, True]"
573,Off,13,7974,Off,On,On,1513442044,2148,7379,4829,46454,983,755251,69631,885438274,281,300,500,100,656.01,20.073678255081177,"[8, 50, 20, True]"
73,Off,59,1010,On,Off,Double,1373761990,5610,72,66,54129,778,1003436,56345,913743371,701,unlimited,100,500,379.0,20.21676278114319,"[8, 50, 20, True]"
16,On,47,7312,On,Off,On,557974625,724,6438,7750,61396,76,283159,55032,548193293,317,500,500,300,2688.24,20.07262945175171,"[8, 50, 20, True]"
459,Off,44,7715,On,Off,On,91548837,4891,2111,2379,36386,949,229847,22823,675895288,861,200,200,none,1280.69,20.12124991416931,"[8, 50, 20, True]"
264,On,52,5993,Off,On,On,26888203,627,7259,4630,42205,693,102638,49097,69645927,597,500,none,1000,883.06,20.065804958343506,"[8, 50, 20, True]"
191,Off,59,9168,Off,Off,On,835647802,6699,3911,2930,34430,266,74254,38907,299617403,924,100,100,none,381.91,20.12001657485962,"[8, 50, 20, True]"
16,On,47,7312,On,Off,On,557974625,724,6438,7750,61396,76,283159,55032,548193293,317,500,500,300,2633.81,40.09811997413635,"[8, 50, 40, True]"
344,On,41,3694,On,Off,On,274816355,8900,880,3653,9385,809,852615,72047,620590103,955,1000,300,500,2658.48,40.12350273132324,"[8, 50, 40, True]"
489,On,8,2376,On,Off,On,1087886412,6613,2200,7811,55046,257,945457,58706,1017360628,117,1000,1000,300,2608.6,40.12800669670105,"[8, 50, 40, True]"
459,Off,44,7715,On,Off,On,91548837,4891,2111,2379,36386,949,229847,22823,675895288,861,200,200,none,840.87,40.14626121520996,"[8, 50, 40, True]"
264,On,52,5993,Off,On,On,26888203,627,7259,4630,42205,693,102638,49097,69645927,597,500,none,1000,848.23,40.12086749076843,"[8, 50, 40, True]"
344,On,41,3694,On,Off,On,274816355,8900,880,3653,9385,809,852615,72047,620590103,955,1000,300,500,2636.85,90.12012314796448,"[8, 50, 90, True]"
16,On,47,7312,On,Off,On,557974625,724,6438,7750,61396,76,283159,55032,548193293,317,500,500,300,2647.67,90.09924459457397,"[8, 50, 90, True]"
16,On,47,7312,On,Off,On,557974625,724,6438,7750,61396,76,283159,55032,548193293,317,500,500,300,2684.8,180.12916326522827,"[8, 50, 180, True]"
386,Off,13,7399,On,On,On,297152202,8506,130,8186,22979,870,18197,33265,120595500,702,300,300,default,860.91,40.076632022857666,"[8, 50, 40, True]"
430,Off,49,5327,Off,On,Off,961525148,3887,3893,3478,64532,783,164213,66588,426620718,607,300,default,1000,526.43,40.072498083114624,"[8, 50, 40, True]"
391,Off,6,616,On,Off,On,132633151,9980,227,3042,58201,939,789001,67397,320503431,729,1000,300,unlimited,552.61,40.199328660964966,"[8, 50, 40, True]"
396,On,15,5501,On,Off,Off,1606213682,7000,3383,522,36816,443,372686,36526,180147484,677,500,100,default,2622.51,40.125527143478394,"[8, 50, 40, True]"
553,Off,21,3572,Off,Off,Double,754193724,572,6960,4743,26845,255,381363,30900,292838938,478,200,300,100,401.45,40.176002502441406,"[8, 50, 40, True]"
556,Off,9,1710,Off,Off,Off,119696954,7341,2892,855,5665,275,251209,52145,735679789,665,1000,100,unlimited,372.89,40.14382863044739,"[8, 50, 40, True]"
65,Off,52,5408,Off,On,Off,2086617586,8194,5864,7382,55966,454,194251,83223,147031914,750,unlimited,200,none,705.0,40.05722618103027,"[8, 50, 40, True]"
396,On,15,5501,On,Off,Off,1606213682,7000,3383,522,36816,443,372686,36526,180147484,677,500,100,default,2700.96,90.13239932060242,"[8, 50, 90, True]"
386,Off,13,7399,On,On,On,297152202,8506,130,8186,22979,870,18197,33265,120595500,702,300,300,default,806.76,90.16888928413391,"[8, 50, 90, True]"
65,Off,52,5408,Off,On,Off,2086617586,8194,5864,7382,55966,454,194251,83223,147031914,750,unlimited,200,none,480.37,90.12226223945618,"[8, 50, 90, True]"
396,On,15,5501,On,Off,Off,1606213682,7000,3383,522,36816,443,372686,36526,180147484,677,500,100,default,2642.16,180.12473058700562,"[8, 50, 180, True]"
114,On,7,3510,Off,Off,On,1732928676,7300,1411,7341,60878,948,312944,49393,386336164,93,100,300,unlimited,772.01,90.12746453285217,"[8, 50, 90, True]"
178,On,10,75,On,Off,Off,2004739195,5316,3850,7067,41116,797,1033969,71053,743857118,408,1000,none,300,2670.9,90.0838692188263,"[8, 50, 90, True]"
