TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
142,Off,52,6976,On,On,Off,1158545514,1289,938,4102,44861,91,663383,30852,539646550,550,300,500,none,1646.08,10.117009401321411,"[8, 50, 10, True]"
384,Off,19,3325,On,Off,Off,423174844,2897,6739,2252,56106,75,357913,90888,737688228,919,100,default,300,1479.78,10.08282208442688,"[8, 50, 10, True]"
433,Off,43,3866,On,Off,Double,1273330546,9602,2163,5326,13297,923,903891,4863,523043747,953,300,300,1000,1043.36,10.061255931854248,"[8, 50, 10, True]"
106,On,12,3352,Off,On,On,1760151354,5647,7891,3018,61617,456,953244,37369,78962162,571,500,unlimited,200,851.0,10.132407426834106,"[8, 50, 10, True]"
52,On,26,66,On,Off,Off,2027913974,2927,3429,4941,4480,413,141758,2543,552457255,83,default,default,default,2571.0,10.053045511245728,"[8, 50, 10, True]"
88,Off,1,8503,Off,On,Double,840936983,4767,7431,6104,37735,949,441624,35378,100616503,272,1000,500,100,514.25,10.141719102859497,"[8, 50, 10, True]"
190,Off,33,4858,Off,Off,On,1169066626,500,3547,1583,34526,14,80305,86125,440146152,881,default,unlimited,1000,352.72,10.12689208984375,"[8, 50, 10, True]"
175,On,11,8957,Off,Off,On,1537719458,4441,5686,2701,48632,690,668431,5139,756135856,471,none,500,300,648.82,10.065656661987305,"[8, 50, 10, True]"
188,Off,32,2529,Off,On,Off,1521815105,3230,794,6558,21969,506,871588,94826,752885798,11,100,unlimited,500,770.08,10.056679010391235,"[8, 50, 10, True]"
588,Off,12,5481,Off,On,On,2021969872,2569,4849,5391,47200,71,677168,15237,580715493,158,default,200,none,611.03,10.101083040237427,"[8, 50, 10, True]"
418,On,36,8186,On,Off,Off,1266166393,456,6384,574,57314,752,714674,77971,344602713,122,unlimited,300,1000,2623.88,10.070199251174927,"[8, 50, 10, True]"
356,On,38,6165,Off,On,Off,1915855353,5312,7622,6967,7217,435,575101,57611,766552850,359,300,default,200,910.25,10.055793046951294,"[8, 50, 10, True]"
42,Off,13,3959,On,On,On,662778935,5505,7702,8084,1546,831,815674,91210,580940990,157,500,500,100,1163.3,10.172649145126343,"[8, 50, 10, True]"
269,Off,20,7852,Off,On,Double,1461910544,6131,558,4615,56980,439,705094,316,143812949,402,300,none,none,505.96,10.061709642410278,"[8, 50, 10, True]"
277,Off,20,5290,Off,On,Off,1321055044,4693,2600,2792,26993,197,339227,94839,439178536,997,unlimited,300,500,758.19,10.056043148040771,"[8, 50, 10, True]"
198,Off,20,6530,On,Off,On,1140710672,5202,7278,5758,62877,860,941844,82840,377738849,980,500,default,200,402.63,10.084925889968872,"[8, 50, 10, True]"
418,On,36,8186,On,Off,Off,1266166393,456,6384,574,57314,752,714674,77971,344602713,122,unlimited,300,1000,2631.75,20.091438055038452,"[8, 50, 20, True]"
52,On,26,66,On,Off,Off,2027913974,2927,3429,4941,4480,413,141758,2543,552457255,83,default,default,default,2578.95,41.22015738487244,"[8, 50, 20, True]"
142,Off,52,6976,On,On,Off,1158545514,1289,938,4102,44861,91,663383,30852,539646550,550,300,500,none,1308.91,20.05876898765564,"[8, 50, 20, True]"
384,Off,19,3325,On,Off,Off,423174844,2897,6739,2252,56106,75,357913,90888,737688228,919,100,default,300,863.24,20.088310480117798,"[8, 50, 20, True]"
42,Off,13,3959,On,On,On,662778935,5505,7702,8084,1546,831,815674,91210,580940990,157,500,500,100,1378.64,20.132864236831665,"[8, 50, 20, True]"
433,Off,43,3866,On,Off,Double,1273330546,9602,2163,5326,13297,923,903891,4863,523043747,953,300,300,1000,278.67,20.1846125125885,"[8, 50, 20, True]"
356,On,38,6165,Off,On,Off,1915855353,5312,7622,6967,7217,435,575101,57611,766552850,359,300,default,200,872.7,20.136688709259033,"[8, 50, 20, True]"
106,On,12,3352,Off,On,On,1760151354,5647,7891,3018,61617,456,953244,37369,78962162,571,500,unlimited,200,925.79,20.12704110145569,"[8, 50, 20, True]"
