TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
445,On,44,748,Off,On,Off,1353728313,9912,1675,4563,12268,243,408125,57899,310713531,571,none,500,none,0.0,543.3010847568512,"[8, 50, 180, True]"
428,On,52,2724,Off,On,Double,856868214,3066,2086,4771,49091,156,667255,98439,981022280,0,default,unlimited,default,1084.9,361.175329208374,"[8, 50, 180, True]"
101,Off,44,2732,On,Off,On,1577484068,4038,730,2439,7237,309,439747,83546,282425163,914,500,default,300,675.32,180.20864701271057,"[8, 50, 180, True]"
527,On,48,6261,Off,Off,On,1404805188,2619,6195,6856,31257,550,978983,81787,25752610,370,300,300,unlimited,628.08,180.1269290447235,"[8, 50, 180, True]"
138,Off,1,3011,Off,Off,On,1395270352,3414,2657,1105,24620,294,670144,71737,748489880,986,300,none,unlimited,361.51,180.1863341331482,"[8, 50, 180, True]"
590,On,55,5540,On,Off,Double,642337487,4173,6071,7168,47919,313,36588,6358,498329456,831,200,500,100,2634.53,180.1154808998108,"[8, 50, 180, True]"
472,Off,35,9196,Off,Off,Double,1393577503,499,4025,2928,28137,816,132519,90161,459293584,565,500,1000,none,377.25,180.140722990036,"[8, 50, 180, True]"
522,On,11,5193,Off,On,On,1296260398,7711,4449,870,24357,505,696059,78025,171379961,256,100,unlimited,300,842.04,180.12068891525269,"[8, 50, 180, True]"
266,Off,50,7851,Off,On,On,1528034884,5242,3199,7401,21744,952,1012569,47509,621982885,672,300,300,unlimited,428.4,180.04963326454163,"[8, 50, 180, True]"
295,On,2,8810,Off,On,Off,1127995627,65,5868,7795,29772,473,381820,63755,582140647,107,200,unlimited,100,884.14,180.12696385383606,"[8, 50, 180, True]"
256,On,30,4952,Off,Off,On,2075196962,9763,1808,4638,35874,727,919561,30554,39274878,718,500,200,1000,646.02,180.10592532157898,"[8, 50, 180, True]"
219,Off,41,1782,Off,On,On,1545746494,9991,6761,4443,60741,365,1013691,40905,794486145,446,none,300,500,432.46,180.20999550819397,"[8, 50, 180, True]"
30,Off,47,7412,Off,On,Double,371143855,9793,3450,6992,49226,767,179737,41429,798595468,530,none,200,100,397.12,180.13052773475647,"[8, 50, 180, True]"
218,On,55,7419,Off,Off,Double,1636414665,2305,5650,4400,53826,338,38496,18640,202820951,366,none,300,200,939.62,180.08154106140137,"[8, 50, 180, True]"
373,On,37,498,Off,Off,Double,1700408852,779,7538,8148,65493,930,521547,5967,20683135,577,default,none,1000,737.19,180.1076476573944,"[8, 50, 180, True]"
133,Off,28,4234,Off,Off,On,1005878540,7063,2582,4565,21005,582,883588,22593,766127928,943,unlimited,300,unlimited,385.64,361.30911207199097,"[8, 50, 180, True]"
380,Off,29,5666,On,Off,On,956004913,6711,2375,915,15217,943,655027,66486,660338796,305,300,200,unlimited,681.83,180.08426213264465,"[8, 50, 180, True]"
109,On,13,6193,On,Off,On,21109154,7608,391,3169,41776,77,361339,58238,280700569,986,300,none,default,2657.27,180.10399985313416,"[8, 50, 180, True]"
596,On,8,5195,On,Off,Off,841299517,1451,3379,2460,23758,643,826520,84409,489211877,891,none,none,300,2761.61,361.2435657978058,"[8, 50, 180, True]"
368,Off,40,3239,On,Off,Off,2138807093,8157,2863,387,60776,864,600495,49577,26468231,832,default,1000,default,1266.57,180.11783909797668,"[8, 50, 180, True]"
366,On,25,2520,On,On,On,130006589,1373,681,5494,60253,351,44697,95620,252634317,308,unlimited,500,unlimited,2687.92,361.23577189445496,"[8, 50, 180, True]"
121,Off,3,8336,Off,Off,Double,1080956705,8474,6945,5698,19101,870,424394,42654,269149627,406,500,none,100,362.87,180.18437433242798,"[8, 50, 180, True]"
304,Off,43,3548,Off,Off,Double,924136198,4550,7595,2671,23776,367,817225,8460,412705555,799,none,200,none,331.52,180.06035375595093,"[8, 50, 180, True]"
159,Off,7,3438,Off,Off,On,1332512673,1240,1532,5440,20840,374,484951,9542,119049072,96,none,300,1000,378.4,180.07357668876648,"[8, 50, 180, True]"
587,Off,55,7048,On,On,Double,710464199,8858,2757,6332,62690,941,1028993,96417,1056714232,803,none,300,200,454.75,180.126318693161,"[8, 50, 180, True]"
243,On,59,1330,On,On,On,1822644357,7102,2758,1020,35947,821,136280,91458,145176448,873,default,200,unlimited,2693.13,180.11589097976685,"[8, 50, 180, True]"
169,Off,9,4018,Off,Off,Off,1655669970,3187,5200,1893,45978,595,1030589,87878,569210907,860,default,200,1000,478.85,180.13467049598694,"[8, 50, 180, True]"
463,On,40,7541,On,On,On,1334407472,2989,3850,8040,61314,884,610623,996,356711236,855,1000,unlimited,300,2673.91,180.10038137435913,"[8, 50, 180, True]"
254,On,40,8237,On,On,Double,995953793,6280,1282,7429,8814,604,190772,5511,393214521,912,500,300,1000,2676.46,180.12322807312012,"[8, 50, 180, True]"
405,On,55,8321,On,Off,Off,745677137,4432,4472,4531,29657,983,857826,51955,648980131,570,300,200,none,2665.57,180.07245874404907,"[8, 50, 180, True]"
596,On,36,4820,On,On,Off,1007230915,9404,5186,3181,4629,844,223788,27190,738016888,953,500,100,300,2736.0,361.24423122406006,"[8, 50, 180, True]"
597,On,8,6660,On,On,Off,1112828654,4558,6421,3093,23593,242,913879,12155,150037484,712,500,1000,1000,2687.59,180.0641210079193,"[8, 50, 180, True]"
594,On,28,7023,On,Off,Off,496738094,3193,4034,7804,2228,643,201660,61791,57997900,675,200,unlimited,500,2739.71,180.1150724887848,"[8, 50, 180, True]"
595,On,17,9791,On,On,Double,696126776,5288,4408,5595,35357,704,527346,42077,35527064,320,100,100,none,2697.07,180.1130084991455,"[8, 50, 180, True]"
597,On,57,87,On,Off,Double,430321504,9126,236,5694,2965,317,101942,16323,773786004,65,none,500,1000,2556.06,180.0962414741516,"[8, 50, 180, True]"
594,On,49,404,On,On,On,1954239235,3869,3134,3384,38281,14,741750,73167,5307164,836,none,default,none,2622.65,361.22985219955444,"[8, 50, 180, True]"
597,On,17,9050,On,Off,On,1581484168,7868,3145,1926,15334,458,663371,28718,209055521,318,300,500,100,2660.82,180.1157581806183,"[8, 50, 180, True]"
93,On,59,3822,On,On,Off,696794497,8419,7486,121,55671,958,844700,30743,109466385,161,none,100,200,2707.84,180.11566376686096,"[8, 50, 180, True]"
1,On,60,2139,On,Off,Off,1656026045,8788,1108,6448,3481,518,490481,82571,776471816,621,none,500,500,2744.27,180.1130564212799,"[8, 50, 180, True]"
194,On,38,8020,On,Off,Off,429456861,8278,6348,7613,41367,977,84501,99174,270590837,863,500,default,500,2627.85,180.11963272094727,"[8, 50, 180, True]"
18,On,41,1031,On,On,On,525909621,6396,6236,1404,6725,422,520689,82994,584813813,641,unlimited,default,300,2692.18,180.1190230846405,"[8, 50, 180, True]"
599,On,49,6073,On,On,Double,2026356706,6510,2387,7958,33646,727,478999,53774,582936867,269,default,default,300,2660.41,180.12152791023254,"[8, 50, 180, True]"
570,On,12,4517,On,On,On,245389087,5139,1210,6429,18845,186,604853,13070,218137500,853,1000,1000,none,2749.7,180.11444067955017,"[8, 50, 180, True]"
327,On,42,2741,On,On,On,952603082,3153,414,5938,2015,894,968087,33038,906400742,763,300,500,none,2725.89,180.08361840248108,"[8, 50, 180, True]"
586,On,27,4367,On,Off,Off,669605965,4792,4087,1882,29259,848,443328,71981,783798583,137,500,1000,300,2714.9,180.123229265213,"[8, 50, 180, True]"
46,On,10,1735,On,Off,On,1495221814,4614,2130,7153,28282,195,30975,57669,1007003111,891,100,none,500,2659.98,180.1177306175232,"[8, 50, 180, True]"
479,On,37,2074,On,On,Off,742011873,427,6044,7379,47470,529,960530,94633,151861909,876,200,100,1000,2678.37,180.11777329444885,"[8, 50, 180, True]"
600,On,15,5829,On,On,Off,1150789237,7409,5186,5124,23328,264,899365,17826,327598839,358,200,500,none,2715.87,180.10730075836182,"[8, 50, 180, True]"
235,On,49,3306,On,Off,Double,1105029387,270,216,1556,17558,786,87708,20445,206161571,331,100,unlimited,200,2636.01,180.11661577224731,"[8, 50, 180, True]"
71,On,17,4702,On,On,Double,254804268,7068,4595,5789,2641,918,991820,40135,699089467,931,default,100,100,2668.91,180.0817551612854,"[8, 50, 180, True]"
305,On,10,2553,On,On,Double,803080291,5140,7199,1913,16986,728,788988,72676,977819281,777,none,100,default,2716.16,180.09272408485413,"[8, 50, 180, True]"
595,On,29,6295,On,Off,Off,1527697565,9765,2684,3198,6109,398,934004,3867,468035617,159,500,200,200,2714.48,361.21408247947693,"[8, 50, 180, True]"
419,On,44,2120,On,On,On,500615547,6341,257,1939,24051,890,757124,63147,415745109,287,500,unlimited,200,2718.12,180.12369179725647,"[8, 50, 180, True]"
159,On,51,267,On,Off,Double,1499430862,5060,2856,1903,15431,117,879767,78,1027886388,866,1000,100,unlimited,2608.44,180.1174111366272,"[8, 50, 180, True]"
352,On,39,2563,On,Off,On,1612355256,426,6819,312,26189,267,961139,30604,192174915,954,200,300,200,2686.78,180.1203761100769,"[8, 50, 180, True]"
