TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
142,Off,36,4795,On,Off,Off,1026079686,6752,7626,6616,1496,225,135390,97811,668757738,883,100,default,none,1280.46,180.12024116516113,"[8, 50, 180, True]"
520,Off,9,1470,On,On,Double,1387313727,8283,6559,1843,33024,139,247461,34736,68222416,241,300,1000,unlimited,452.53,180.1704077720642,"[8, 50, 180, True]"
557,Off,58,1992,Off,On,Off,325115438,7956,6004,4355,18911,537,921083,33576,450035692,255,1000,1000,300,648.98,180.06915807724,"[8, 50, 180, True]"
250,Off,17,1331,Off,On,Double,1808070307,7718,827,2594,7660,56,57175,45162,89937648,625,500,none,200,419.64,180.0802822113037,"[8, 50, 180, True]"
585,Off,24,9032,On,On,Double,260249168,189,2951,3533,57797,241,647533,52720,960374929,688,100,1000,200,457.55,180.1071903705597,"[8, 50, 180, True]"
4,Off,12,957,On,Off,Double,1449671205,5221,5672,3584,48527,619,663069,86419,1006985880,427,300,default,default,450.99,180.0982367992401,"[8, 50, 180, True]"
107,On,41,593,On,On,Off,1224313021,551,1632,2059,35697,929,175055,6738,819387301,702,none,200,300,2678.86,180.10576748847961,"[8, 50, 180, True]"
365,On,18,636,On,On,On,139152743,5315,7667,5262,14163,209,548953,6199,338226325,744,300,unlimited,default,2723.47,180.11944580078125,"[8, 50, 180, True]"
443,On,46,3652,On,Off,Double,545123834,126,800,3068,33691,956,335086,20912,295376998,746,unlimited,500,200,2693.42,361.2163155078888,"[8, 50, 180, True]"
363,On,13,1466,Off,On,Double,12503446,2237,3642,4291,39279,575,595301,55996,574196029,441,none,unlimited,unlimited,994.27,180.12617659568787,"[8, 50, 180, True]"
204,On,36,9932,Off,On,Double,425192125,1357,276,6110,32569,21,760734,63374,369979462,677,default,default,100,897.55,180.0933575630188,"[8, 50, 180, True]"
53,Off,1,1914,On,Off,Double,936393578,8331,4786,431,23538,643,567777,35937,4427381,427,none,1000,unlimited,443.35,180.12810897827148,"[8, 50, 180, True]"
49,On,59,1181,Off,On,Off,1769720400,4662,2758,5022,42952,538,330128,71091,300073705,521,200,1000,unlimited,981.12,180.10642266273499,"[8, 50, 180, True]"
598,On,20,1296,Off,On,Double,220279925,7116,1658,3413,4435,864,513084,54952,5800858,931,500,500,none,1004.01,180.1248917579651,"[8, 50, 180, True]"
42,On,12,9890,Off,Off,Off,881309258,6586,2796,1682,40856,191,879037,37258,1005751045,926,200,500,none,636.06,180.10914397239685,"[8, 50, 180, True]"
155,Off,22,478,Off,On,Double,874972574,8009,84,4464,8404,528,904360,94409,91400225,958,500,unlimited,300,390.19,180.17693567276,"[8, 50, 180, True]"
