TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
451,Off,2,281,Off,On,On,388693888,5015,4517,5542,60063,569,778272,41951,506554496,546,200,default,default,431.27,180.1029932498932,"[8, 50, 180, True]"
282,On,37,5731,On,Off,Off,1535861888,1525,3707,3694,15445,475,509186,84593,969044224,27,100,300,1000,2694.37,180.10924100875854,"[8, 50, 180, True]"
101,Off,21,3823,On,On,On,659991040,3434,758,7137,29021,8,52787,55478,744496384,896,500,500,100,667.12,180.07488203048706,"[8, 50, 180, True]"
369,On,49,9542,Off,Off,Double,1811362560,9404,7466,43,48502,916,846639,24188,194184304,441,unlimited,100,200,640.6,180.13339519500732,"[8, 50, 180, True]"
401,On,24,7034,Off,Off,Double,1995469312,8658,5836,8049,22554,221,388653,63683,132067328,876,default,1000,unlimited,698.73,180.1376178264618,"[8, 50, 180, True]"
68,Off,59,1312,On,On,On,978447040,4805,2320,1212,34809,816,641841,6612,539764864,341,500,none,500,672.3,180.18109965324402,"[8, 50, 180, True]"
155,On,12,8242,On,Off,Off,1183590272,396,1437,4407,53489,669,966658,27497,898516096,718,none,none,none,2695.87,180.124769449234,"[8, 50, 180, True]"
578,Off,40,2790,Off,On,On,170769488,6769,6719,2816,1859,261,189724,95920,310205472,247,300,200,300,435.75,180.05859088897705,"[8, 50, 180, True]"
540,On,18,7751,On,Off,On,869196096,2053,8140,7459,20690,144,871216,91234,458377728,311,unlimited,500,100,2617.82,180.12202978134155,"[8, 50, 180, True]"
193,Off,53,3280,Off,On,Double,2138012288,5777,17,1774,40703,802,93746,35310,1017205376,782,500,none,200,0.0,3.814697265625e-06,"[8, 50, 180, True]"
30,On,6,6275,Off,Off,On,62044096,8877,3229,4961,52264,714,419075,5050,688078464,149,100,unlimited,unlimited,0.0,5.0067901611328125e-06,"[8, 50, 180, True]"
439,Off,34,2071,On,On,Off,1326656768,2673,4927,2218,7114,369,671775,74621,250619424,684,200,200,500,1261.87,180.12882900238037,"[8, 50, 180, True]"
331,Off,9,4582,On,On,Off,1377071104,4121,6309,6128,61790,548,214301,13252,45879920,121,300,default,none,1350.89,180.124445438385,"[8, 50, 180, True]"
138,On,44,8783,Off,Off,On,515241184,8053,1915,3129,9683,391,1007617,57042,625937152,576,none,200,300,593.17,180.10606217384338,"[8, 50, 180, True]"
244,Off,28,772,Off,On,Double,1650997632,7452,3062,6579,30379,122,551730,76782,820864768,475,1000,500,unlimited,392.66,180.18713235855103,"[8, 50, 180, True]"
489,On,55,5240,On,Off,On,784966272,1002,5162,637,43111,968,282156,46640,387874400,994,unlimited,100,500,2714.27,180.13259863853455,"[8, 50, 180, True]"
510,On,30,3515,Off,On,On,1102341248,9989,1562,4087,31588,778,619735,47658,90052616,220,100,500,default,939.85,180.11146116256714,"[8, 50, 180, True]"
259,Off,54,7985,On,Off,Double,219545472,3475,6598,5183,43919,185,348619,78874,581763200,739,200,100,1000,450.74,180.13437795639038,"[8, 50, 180, True]"
121,On,11,2464,On,On,On,1908945664,1566,5449,436,64551,331,154364,62262,923757696,378,none,unlimited,100,2697.32,180.11953139305115,"[8, 50, 180, True]"
312,Off,43,6663,Off,Off,Off,1030334976,5600,2711,6778,12972,737,950246,17398,284980224,833,500,300,200,431.36,180.1092450618744,"[8, 50, 180, True]"
419,Off,7,9174,Off,Off,Off,544139968,6341,370,1315,51016,430,490214,69682,481312896,406,1000,unlimited,none,521.4,180.13981938362122,"[8, 50, 180, True]"
14,On,31,4972,On,On,On,1825534464,200,7851,7912,6347,523,745464,599,994269440,941,unlimited,200,300,2779.65,361.25000858306885,"[8, 50, 180, True]"
207,Off,18,5476,On,Off,Double,269663328,4609,4640,2919,17971,991,808137,33987,786511104,56,300,1000,100,450.62,180.21724724769592,"[8, 50, 180, True]"
562,On,49,1004,Off,On,On,1555244928,8230,3579,4270,37377,85,29141,89422,152185968,527,none,100,300,985.15,361.1813178062439,"[8, 50, 180, True]"
599,Off,15,5967,On,Off,On,1699773056,2947,2161,1909,56721,452,1040359,97234,4012663,975,300,unlimited,100,663.83,180.20796585083008,"[8, 50, 180, True]"
170,On,39,514,Off,On,Off,703717696,9227,6059,7355,4673,608,260859,29299,667820800,504,unlimited,200,200,0.0,543.3846621513367,"[8, 50, 180, True]"
51,Off,27,9933,Off,Off,On,1428958464,6127,6943,2353,23289,875,324044,11536,845958912,621,200,500,unlimited,387.34,180.2268567085266,"[8, 50, 180, True]"
382,On,58,4213,On,On,Double,428718016,2327,1276,4856,36088,31,578774,68119,362763872,86,100,none,1000,2901.86,180.1204309463501,"[8, 50, 180, True]"
349,On,22,1704,On,On,Double,76215536,883,3866,3489,25764,854,119254,18959,433283584,641,none,300,none,2701.59,180.12210321426392,"[8, 50, 180, True]"
84,Off,46,7423,Off,Off,On,1210806272,6946,4295,5737,45709,197,914632,51323,1042315904,186,300,100,300,366.85,180.11019325256348,"[8, 50, 180, True]"
