TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
488,Off,58,637,Off,On,On,2102846985,3646,7072,4876,16409,475,95086,78851,587440649,355,1000,1000,100,618.74,10.063896894454956,"[8, 50, 10, True]"
70,On,12,4780,Off,On,On,1292575906,9335,7405,6779,26908,140,268243,38003,857239619,787,default,300,1000,804.9,10.04637098312378,"[8, 50, 10, True]"
408,On,29,2764,Off,Off,Double,747603282,5737,1696,6119,43754,756,942932,55767,309601768,1002,300,unlimited,300,573.58,10.057666301727295,"[8, 50, 10, True]"
297,On,7,8367,Off,Off,Off,479089445,7890,4857,3482,58501,280,663197,71556,247491107,204,unlimited,100,none,607.83,10.075369119644165,"[8, 50, 10, True]"
150,Off,45,9490,On,Off,Double,1873071290,483,5548,8076,3965,120,408979,13766,769659103,643,100,none,unlimited,969.95,10.050956726074219,"[8, 50, 10, True]"
332,On,48,5142,On,Off,Off,967591268,7496,3779,1544,50396,553,214344,95282,947604756,585,500,200,default,2558.67,10.120519399642944,"[8, 50, 10, True]"
589,Off,17,1751,On,On,Off,126110497,4311,2951,2264,20261,654,643412,31318,106927641,66,none,500,500,1388.22,10.089224100112915,"[8, 50, 10, True]"
219,Off,35,6406,On,On,Double,1420171300,1653,74,766,34440,887,810350,10275,500862499,387,200,default,200,843.72,10.205844640731812,"[8, 50, 10, True]"
60,On,5,100,Off,Off,Off,1073741824,100,8190,8190,8192,5,65535,50000,536870912,512,200,20,20,729.79,10.084841251373291,"[8, 50, 10, True]"
60,On,5,100,On,On,Off,1073741824,99,8190,8190,8192,5,65535,50000,536870912,512,200,20,20,2590.55,10.104841232299805,"[8, 50, 10, True]"
60,On,5,100,Off,Off,Off,1073741824,100,8190,8190,8192,5,65535,50000,536870912,512,200,20,1000,695.66,10.056979417800903,"[8, 50, 10, True]"
60,On,5,100,On,On,Off,1073741824,100,8190,8190,8191,5,65535,50000,536870912,512,100,200,20,2648.72,10.06520390510559,"[8, 50, 10, True]"
60,On,5,100,Off,On,On,1073741824,99,8190,8190,8193,5,65535,50000,536870912,512,200,20,default,962.25,10.058979272842407,"[8, 50, 10, True]"
60,On,5,100,Off,On,Off,1073741824,100,8190,8190,8192,5,65535,50000,536870912,512,none,20,20,913.43,10.042577028274536,"[8, 50, 10, True]"
60,On,5,100,Off,On,Off,1073741824,100,8190,8190,8192,5,65535,50000,536870912,512,200,20,20,952.91,10.057096242904663,"[8, 50, 10, True]"
60,On,5,100,Off,On,On,1073741824,100,8190,8190,8192,5,65535,50000,536870912,512,200,20,20,1018.58,21.091373920440674,"[8, 50, 10, True]"
60,On,5,100,On,On,Off,1073741824,100,8190,8190,8191,5,65535,50000,536870912,512,100,200,20,2563.69,20.072014093399048,"[8, 50, 20, True]"
60,On,5,100,On,On,Off,1073741824,99,8190,8190,8192,5,65535,50000,536870912,512,200,20,20,0.0,63.24943518638611,"[8, 50, 20, True]"
332,On,48,5142,On,Off,Off,967591268,7496,3779,1544,50396,553,214344,95282,947604756,585,500,200,default,2750.94,41.20874738693237,"[8, 50, 20, True]"
589,Off,17,1751,On,On,Off,126110497,4311,2951,2264,20261,654,643412,31318,106927641,66,none,500,500,1517.23,20.119182586669922,"[8, 50, 20, True]"
60,On,5,100,Off,On,On,1073741824,100,8190,8190,8192,5,65535,50000,536870912,512,200,20,20,1005.78,20.07090449333191,"[8, 50, 20, True]"
150,Off,45,9490,On,Off,Double,1873071290,483,5548,8076,3965,120,408979,13766,769659103,643,100,none,unlimited,910.5,20.162808656692505,"[8, 50, 20, True]"
60,On,5,100,Off,On,On,1073741824,99,8190,8190,8193,5,65535,50000,536870912,512,200,20,default,962.14,20.07050848007202,"[8, 50, 20, True]"
60,On,5,100,Off,On,Off,1073741824,100,8190,8190,8192,5,65535,50000,536870912,512,200,20,20,0.0,63.23021841049194,"[8, 50, 20, True]"
332,On,48,5142,On,Off,Off,967591268,7496,3779,1544,50396,553,214344,95282,947604756,585,500,200,default,2584.02,40.093854904174805,"[8, 50, 40, True]"
60,On,5,100,On,On,Off,1073741824,100,8190,8190,8191,5,65535,50000,536870912,512,100,200,20,2513.67,40.119696855545044,"[8, 50, 40, True]"
589,Off,17,1751,On,On,Off,126110497,4311,2951,2264,20261,654,643412,31318,106927641,66,none,500,500,1552.18,40.1241660118103,"[8, 50, 40, True]"
60,On,5,100,Off,On,On,1073741824,100,8190,8190,8192,5,65535,50000,536870912,512,200,20,20,0.0,123.27160024642944,"[8, 50, 40, True]"
332,On,48,5142,On,Off,Off,967591268,7496,3779,1544,50396,553,214344,95282,947604756,585,500,200,default,2641.01,90.1007924079895,"[8, 50, 90, True]"
60,On,5,100,On,On,Off,1073741824,100,8190,8190,8191,5,65535,50000,536870912,512,100,200,20,2574.28,90.09007573127747,"[8, 50, 90, True]"
332,On,48,5142,On,Off,Off,967591268,7496,3779,1544,50396,553,214344,95282,947604756,585,500,200,default,2633.71,180.12003469467163,"[8, 50, 180, True]"
429,On,41,7106,On,On,Off,1365580872,6787,3990,7850,22027,433,461104,58381,616469674,453,300,500,300,2568.53,20.084145307540894,"[8, 50, 20, True]"
334,Off,7,4808,Off,On,On,1523975449,2015,2268,4132,45977,39,719830,92739,106790335,226,100,default,200,602.44,20.060675859451294,"[8, 50, 20, True]"
