TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
274,On,47,5568,Off,Off,Double,957554750,2531,5490,2653,45462,284,253334,30305,43626199,113,500,200,default,716.06,180.12191247940063,"[8, 50, 180, True]"
504,Off,53,1358,On,Off,On,1399977619,1114,1671,3409,46702,150,423960,92189,836739414,30,none,default,500,743.95,180.08645248413086,"[8, 50, 180, True]"
78,On,5,6830,On,Off,On,1611405277,6618,7671,3714,22225,415,109450,32614,580613894,784,1000,none,unlimited,2605.5,180.12251257896423,"[8, 50, 180, True]"
282,Off,2,7993,On,On,Double,1201215649,390,3227,4564,12870,387,776960,80558,83352609,665,100,200,100,477.15,180.1573405265808,"[8, 50, 180, True]"
228,Off,47,5582,On,On,Off,233639497,4135,7190,4025,27940,414,586086,59326,807869473,250,100,300,default,1229.68,180.13339591026306,"[8, 50, 180, True]"
375,Off,56,2560,Off,Off,On,967546198,6998,1698,4629,16495,762,500476,85388,122568953,453,default,100,default,374.71,180.2233419418335,"[8, 50, 180, True]"
588,Off,17,197,Off,Off,On,1902048511,4770,3086,2852,57712,704,534364,74545,385681725,740,none,unlimited,unlimited,387.59,180.06909918785095,"[8, 50, 180, True]"
193,Off,23,3895,On,On,On,367386242,9446,1949,5146,5870,620,506295,68389,89215329,938,200,unlimited,300,723.29,180.09579920768738,"[8, 50, 180, True]"
274,Off,11,3858,Off,On,Off,1488461078,3861,3046,5667,48078,581,1003492,67014,87841036,712,none,200,1000,601.27,180.10903882980347,"[8, 50, 180, True]"
79,On,17,6286,Off,Off,Off,1682785597,6422,2255,2613,4408,919,892945,98056,711913576,128,200,300,500,539.0,180.1007583141327,"[8, 50, 180, True]"
504,On,39,830,On,On,Off,1604621103,8887,7856,6484,54673,40,155318,20541,476429898,257,1000,500,500,2616.99,180.1231198310852,"[8, 50, 180, True]"
497,On,9,785,On,Off,On,1258599060,8184,8136,233,23404,744,153379,91150,192260830,244,1000,100,200,2571.97,180.12471437454224,"[8, 50, 180, True]"
39,On,45,8393,Off,On,On,1841605610,4641,6872,7797,18880,490,66595,66830,910397465,712,1000,unlimited,100,814.71,180.1247673034668,"[8, 50, 180, True]"
101,On,13,599,Off,On,On,1978815879,6161,7926,3792,22388,590,688151,6959,583061644,865,500,300,unlimited,978.59,542.3802690505981,"[8, 50, 180, True]"
560,Off,13,8607,On,On,Off,1243983706,3191,7585,5710,43259,723,282579,19106,877070878,271,unlimited,none,none,1429.12,180.13676929473877,"[8, 50, 180, True]"
278,On,14,9797,Off,Off,Double,1585186372,7158,8115,894,20217,818,783284,87847,209678001,295,1000,default,500,564.67,180.13797068595886,"[8, 50, 180, True]"
