TimeOut,KeepAlive,KeepAliveTimeout,MaxKeepAliveRequests,EnableSendfile,EnableMMAP,HostnameLookups,LimitRequestBody,LimitRequestFields,LimitRequestFieldSize,LimitRequestLine,ReadBufferSize,FlushMaxPipelined,FlushMaxThreshold,RLimitCPU,RLimitMEM,RLimitNPROC,MaxRanges,MaxRangeOverlaps,MaxRangeReversals,RPS,cost,fidelity
448,Off,22,8348,On,Off,Off,327983071,5240,5875,5689,11810,340,733608,86678,478078496,308,500,200,none,1340.2,180.18143033981323,"[8, 50, 180, True]"
370,On,27,7543,On,Off,Double,10304164,3778,5751,3405,20588,37,123384,82775,558887322,869,100,1000,300,2692.74,180.11948251724243,"[8, 50, 180, True]"
524,Off,7,3044,On,Off,Double,519276428,7376,595,7043,54740,2,830722,16405,771563806,269,500,default,300,449.49,180.0781693458557,"[8, 50, 180, True]"
546,On,9,4409,Off,Off,Off,261046352,5168,1992,801,15646,565,603360,36086,1042928716,158,default,300,100,648.35,180.1221878528595,"[8, 50, 180, True]"
475,On,6,711,Off,On,On,257625043,2750,3974,2277,44910,954,337632,63781,400298908,466,unlimited,300,default,0.0,543.326384305954,"[8, 50, 180, True]"
417,On,54,8050,Off,Off,Off,2036945371,5409,5886,1946,39635,147,96543,21291,597693189,263,default,500,none,880.46,180.11684012413025,"[8, 50, 180, True]"
376,On,18,3935,Off,Off,Off,658108039,6829,7124,2619,31887,712,831866,58301,405696586,44,300,default,default,643.64,180.10833048820496,"[8, 50, 180, True]"
550,Off,56,3545,Off,Off,Double,783945427,890,1626,4984,55731,911,435135,10535,60426667,253,none,200,none,355.06,180.0455994606018,"[8, 50, 180, True]"
40,Off,30,6771,On,Off,Double,317224097,1856,3354,4114,1034,654,506699,13271,846257510,500,300,default,200,451.8,180.15804743766785,"[8, 50, 180, True]"
85,Off,2,7407,Off,On,On,1402840655,5340,5902,4720,61396,249,590815,49049,955612,250,500,default,300,466.26,180.09323358535767,"[8, 50, 180, True]"
27,Off,4,5680,Off,Off,On,1824578529,8734,3125,4180,46801,598,45183,73209,985886854,826,unlimited,500,500,420.93,180.12834668159485,"[8, 50, 180, True]"
198,Off,25,7769,On,On,On,1417461651,8972,6633,4988,52600,851,280356,90574,49736880,227,200,500,none,651.45,180.1218192577362,"[8, 50, 180, True]"
62,Off,10,4751,Off,On,Double,437080781,2014,3475,5077,48382,733,806271,2975,393036360,422,100,100,unlimited,393.44,180.2011923789978,"[8, 50, 180, True]"
463,On,51,6346,On,On,Double,327870652,4267,691,4473,29298,107,721050,64819,80399170,850,1000,100,300,2679.74,180.1166307926178,"[8, 50, 180, True]"
258,On,24,1054,Off,On,On,473186283,6876,3768,4528,5896,74,729783,69852,909877880,720,500,100,none,0.0,543.3031933307648,"[8, 50, 180, True]"
