innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
678,100329849,30808,114622129,72875602,825445703,83489,101016168,1,74,15145420352,17977,2715565669,16,127167366,minimal,5785,101349299,72,667987,249.76,73.55511140823364,"[45, 45, 30000, 6, 0.7]",23.560477256774902,45.25482249259949,0.9884152412414551
678,100329849,30808,114622129,72875602,825445703,83489,101016168,1,74,15145420352,17977,2715565669,16,127167366,minimal,5785,101349299,72,667987,230.68,250.25269675254822,"[180, 50, 100000, 4, 0.5]",64.88093161582947,180.19709038734436,2.0680041313171387
256,420358932,11715,8711764,21240687,659284433,72443,239991965,1,99,12824799832,24411,3677323344,21,30320491,noblob,3223,133230208,18,597337,248.37,71.4329948425293,"[45, 45, 30000, 6, 0.7]",21.931936502456665,45.29418611526489,1.0938243865966797
707,1032357987,2666,883635684,51785254,24344413,42471,711289343,0,87,15082701555,4629,2504647463,120,66989977,noblob,6485,83109006,55,679015,271.64,72.493403673172,"[45, 45, 30000, 6, 0.7]",23.4135639667511,45.22201704978943,0.7679281234741211
707,1032357987,2666,883635684,51785254,24344413,42471,711289343,0,87,15082701555,4629,2504647463,120,66989977,noblob,6485,83109006,55,679015,288.54,246.17536878585815,"[180, 50, 100000, 4, 0.5]",61.626248836517334,180.16245365142822,1.2720043659210205
270,863001952,13910,1010232801,21721615,250423773,99140,1008294760,0,24,14339742467,4105,2792733404,107,119127133,full,1585,128569219,92,313248,265.76,71.23186683654785,"[45, 45, 30000, 6, 0.7]",22.30284833908081,45.252482652664185,0.5634472370147705
178,512967885,18550,146784718,121237947,236331278,29551,368767659,2,54,10838144482,8846,481128851,71,124962894,minimal,6557,8783795,47,360586,263.59,69.8330180644989,"[45, 45, 30000, 6, 0.7]",20.63365125656128,45.31587839126587,0.7920536994934082
331,122794200,12464,974852225,129068210,827554653,28197,124476037,1,3,13084316893,20863,3050431732,5,16007941,full,3074,33807329,44,610097,247.05,70.3966851234436,"[45, 45, 30000, 6, 0.7]",20.99385118484497,45.242424726486206,1.0714154243469238
166,561340762,24572,695562021,33749382,177718554,88044,265846708,0,91,13348670020,23455,658613767,61,119431746,full,2324,32338001,100,307909,261.93,73.12218904495239,"[45, 45, 30000, 6, 0.7]",23.961815357208252,45.24582576751709,0.817986011505127
544,208643144,13477,60559936,70615110,296219409,45015,851986485,0,47,14094475310,3329,3134792145,90,7030333,full,3592,36583412,51,481276,259.1,71.55431246757507,"[45, 45, 30000, 6, 0.7]",22.239904403686523,45.32032012939453,0.8933603763580322
838,401105471,1484,600758766,65158631,318232117,10263,984264717,0,51,15297639710,29405,3865378543,64,86666920,full,6749,52544416,98,70758,267.41,70.79889178276062,"[45, 45, 30000, 6, 0.7]",21.55255913734436,45.23623609542847,0.8944587707519531
822,722490420,23659,647990641,45774386,794884386,87656,870901608,1,92,12396941038,17140,1791804614,102,73318736,noblob,8098,120087333,27,446558,240.55,72.5332338809967,"[45, 45, 30000, 6, 0.7]",23.19107222557068,45.225825786590576,1.0237674713134766
62,69407315,14368,527964812,84472356,748570763,39221,145301488,2,2,12983273059,4867,970716064,38,91916322,minimal,8677,92859373,15,186924,257.54,71.96551823616028,"[45, 45, 30000, 6, 0.7]",22.7984836101532,45.2560555934906,0.8162572383880615
157,255545084,31507,182297289,37260570,595787334,87787,804153453,2,8,10540815936,26199,1432860348,102,126277141,full,2605,693628,84,740270,248.27,74.74064612388611,"[45, 45, 30000, 6, 0.7]",25.638638973236084,45.23119759559631,0.7629575729370117
732,1018660660,37029,16681248,45598709,1060110989,96345,130454160,0,46,15540958690,8147,635905740,105,67473006,minimal,1111,33441383,91,469913,267.09,73.13692307472229,"[45, 45, 30000, 6, 0.7]",24.010399103164673,45.222445011138916,0.778447151184082
607,297228762,2432,961762829,11287281,503451986,75057,440053769,2,61,12180380705,26262,3809395124,70,128639103,noblob,9450,14376754,56,840742,267.17,71.59722352027893,"[45, 45, 30000, 6, 0.7]",22.34946298599243,45.31877517700195,0.8176782131195068
520,689751792,3704,804273931,72265322,1017957274,13140,720559195,2,3,12393252267,27352,214733579,105,101629442,full,7699,73148924,97,58715,264.94,69.27666068077087,"[45, 45, 30000, 6, 0.7]",20.140422105789185,45.37781620025635,0.6461267471313477
388,893540448,26481,266871329,73342793,59781688,104496,821677016,1,56,15330652480,15307,1028862161,123,74090840,full,2877,79368074,79,159261,248.07,74.19533395767212,"[45, 45, 30000, 6, 0.7]",24.732199668884277,45.29029560089111,1.0646288394927979
796,969234523,34941,45982462,33449988,467890000,83276,534539025,1,81,15178978786,13142,3215420014,104,99083362,minimal,9712,10837949,61,753191,236.88,72.27878737449646,"[45, 45, 30000, 6, 0.7]",22.800801038742065,45.408509254455566,0.9726591110229492
519,724340054,32107,380096079,23034653,460766016,18255,992958950,0,52,12268953399,17676,3211094334,86,35686844,noblob,4194,101736436,71,339393,259.12,72.70248484611511,"[45, 45, 30000, 6, 0.7]",23.51018524169922,45.28964424133301,0.8027956485748291
740,253473756,3677,334033248,49269241,345461549,67567,586156680,0,43,11382731744,3051,3233232500,43,50204074,full,7409,53078414,59,66209,266.08,70.14847683906555,"[45, 45, 30000, 6, 0.7]",20.924026012420654,45.33159589767456,0.7912046909332275
318,416388540,27569,283756657,102666104,142921243,101218,161095637,2,47,11726008726,22827,1582143432,126,23421215,noblob,3741,60031060,79,771058,263.48,72.80758428573608,"[45, 45, 30000, 6, 0.7]",23.573472023010254,45.23988056182861,0.8833565711975098
360,1070554600,22063,57251895,40108419,183241297,106428,559927550,1,59,11010649629,22616,316661881,119,28303598,full,3236,96517690,94,568964,247.04,73.54719710350037,"[45, 45, 30000, 6, 0.7]",24.199302911758423,45.216283082962036,1.0248534679412842
955,986656046,10002,794896930,52604574,359147800,101571,437159604,0,7,14871774706,24118,997787700,112,41172820,minimal,1797,103935748,77,289897,272.4,74.07854843139648,"[45, 45, 30000, 6, 0.7]",24.892568349838257,45.2652690410614,0.8311259746551514
955,986656046,10002,794896930,52604574,359147800,101571,437159604,0,7,14871774706,24118,997787700,112,41172820,minimal,1797,103935748,77,289897,263.51,255.08445072174072,"[180, 50, 100000, 4, 0.5]",70.42361760139465,180.1603763103485,1.3881266117095947
683,600162402,11043,227054139,51968136,1046997640,57145,612607504,1,66,13738682997,22729,3186050184,51,125754176,minimal,4019,118234112,32,150515,249.91,76.68481779098511,"[45, 45, 30000, 6, 0.7]",27.404611825942993,45.179908990859985,1.0032787322998047
704,160482102,29056,106821765,87258800,722718149,59009,378995515,2,53,13790161977,26147,3317636380,53,69326110,noblob,9273,26323872,95,162472,247.71,75.2779893875122,"[45, 45, 30000, 6, 0.7]",25.934999704360962,45.332679748535156,0.9031069278717041
