innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
961,713576784,147,555629503,1142800,844854288,77657,39369123,0,86,15229310853,2394,2927561652,95,113757791,minimal,5724,120619267,39,25435,379.37,246.8666172027588,"[180, 50, 100000, 4, 0.5]",1
961,865237301,147,555629503,1142800,844854288,77657,39369123,0,86,15229310853,16675,2927561652,95,40123078,minimal,5724,120619267,39,25435,372.74,254.1734058856964,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,555629503,128099251,844854288,77657,39369123,0,86,15229310853,2394,2927561652,41,113757791,full,5724,119473542,39,25435,372.21,258.08483147621155,"[180, 50, 100000, 4, 0.5]",1
949,865237301,147,555629503,128099251,738646904,38997,556186330,0,39,15229310853,2286,4007866917,91,40123078,minimal,5724,120619267,80,25435,370.58,246.9679594039917,"[180, 50, 100000, 4, 0.5]",1
961,865237301,147,555629503,128099251,981297788,77657,39369123,0,26,15229310853,10121,2927561652,82,125857729,full,5724,120619267,39,25435,370.4,258.077397108078,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,555629503,128099251,537722315,38997,39369123,0,39,15229310853,28899,2927561652,41,6102674,minimal,5724,120619267,80,25435,370.19,250.19545102119446,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,555629503,128099251,981297788,58211,556186330,0,86,15229310853,2394,2927561652,41,40123078,full,5724,119473542,80,25435,370.12,247.35542941093445,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,555629503,1142800,844854288,77657,39369123,0,86,15229310853,2394,2927561652,95,113757791,minimal,5724,120619267,33,25435,370.01,246.17883920669556,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,514508592,128099251,844854288,58211,39369123,0,26,15229310853,2394,2927561652,41,113757791,minimal,5724,119473542,39,25435,369.59,255.31186413764954,"[180, 50, 100000, 4, 0.5]",1
961,865237301,147,555629503,128099251,981297788,38997,39369123,0,86,15229310853,2394,2927561652,41,40123078,full,5724,119473542,80,25435,369.26,251.89972710609436,"[180, 50, 100000, 4, 0.5]",1
856,431276155,147,555629503,128099251,844854288,58211,556186330,0,86,15229310853,3825,2927561652,36,40123078,full,5724,104970976,46,389140,369.22,249.07644701004028,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,555629503,128099251,981297788,38997,39369123,0,26,15229310853,10121,2927561652,41,125857729,minimal,5724,119473542,39,25435,369.19,247.15595817565918,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,555629503,128099251,981297788,38997,39369123,0,86,15229310853,2394,2927561652,41,6102674,full,5724,119473542,80,25435,368.78,255.54099321365356,"[180, 50, 100000, 4, 0.5]",1
961,865237301,147,555629503,128099251,981297788,38997,39369123,0,26,15229310853,2394,2927561652,41,125857729,minimal,5724,119473542,39,25435,368.66,251.60976338386536,"[180, 50, 100000, 4, 0.5]",1
949,865237301,147,555629503,128099251,981297788,38997,556186330,0,86,15229310853,2394,4007866917,41,125857729,minimal,5724,119473542,39,728823,368.62,248.8276331424713,"[180, 50, 100000, 4, 0.5]",1
961,865237301,147,555629503,1142800,981297788,63374,39369123,0,86,15229310853,16675,2927561652,82,125857729,full,5724,120619267,39,25435,368.58,259.1272163391113,"[180, 50, 100000, 4, 0.5]",1
961,865237301,147,555629503,128099251,537722315,38997,39369123,0,39,15229310853,2286,2927561652,41,40123078,minimal,5724,120619267,80,25435,368.38,251.0954349040985,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,322984526,128099251,844854288,38997,556186330,0,66,15229310853,3825,2927561652,41,6102674,minimal,5724,59213935,74,389140,368.08,247.18604969978333,"[180, 50, 100000, 4, 0.5]",1
961,713576784,147,555629503,1142800,844854288,77657,39369123,0,86,15229310853,2394,2927561652,82,113757791,minimal,5724,120619267,39,25435,368.06,251.19828987121582,"[180, 50, 100000, 4, 0.5]",1
961,865237301,147,874915416,59578085,981297788,65645,39369123,0,86,15229310853,2394,2072960589,36,40123078,full,3854,91357141,68,25435,367.8,246.49031138420105,"[180, 50, 100000, 4, 0.5]",1
