innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
345,458746659,248,1058607853,47415341,41297634,53465,71844362,0,38,11481628357,26509,2111797692,128,29398670,noblob,10223,116454185,71,187541,349.41,72.37953066825867,"[45, 45, 30000, 6, 0.7]",0
142,452289694,248,1058607853,47415341,1002349387,117266,446226033,2,38,13166487965,7380,2111797692,120,105335765,noblob,6956,115073713,66,43172,339.51,70.85482430458069,"[45, 45, 30000, 6, 0.7]",0
142,452289694,248,555687428,47415341,41297634,38997,446226033,0,38,13166487965,28082,2111797692,120,29398670,noblob,6956,115073713,66,905483,330.96,72.03539323806763,"[45, 45, 30000, 6, 0.7]",0
345,458746659,248,726704584,47415341,41297634,53465,71844362,0,38,11481628357,26509,2111797692,128,29398670,noblob,10223,116454185,71,187541,330.85,73.47980046272278,"[45, 45, 30000, 6, 0.7]",0
67,324738664,248,1058607853,47415341,41297634,38997,71844362,0,38,11481628357,26509,2111797692,128,29398670,noblob,5724,115073713,71,187541,330.73,71.75460886955261,"[45, 45, 30000, 6, 0.7]",0
142,452289694,248,555687428,47415341,537722315,117266,446226033,2,38,13166487965,7380,2111797692,120,101843264,noblob,5724,115073713,66,187541,327.5,74.82353329658508,"[45, 45, 30000, 6, 0.7]",0
603,452289694,248,1058607853,47415341,537722315,117266,446226033,2,60,11764567355,7380,3978221290,120,101843264,noblob,5724,115073713,66,43172,327.14,72.06648850440979,"[45, 45, 30000, 6, 0.7]",0
67,452289694,248,1058607853,47415341,41297634,117266,71844362,2,38,13166487965,2622,2111797692,128,87691762,noblob,6956,115073713,71,187541,326.99,70.37996172904968,"[45, 45, 30000, 6, 0.7]",0
67,324738664,248,555687428,47415341,41297634,38997,71844362,0,38,13166487965,28082,2111797692,120,29398670,noblob,5724,115073713,71,187541,326.93,70.39394474029541,"[45, 45, 30000, 6, 0.7]",0
528,469535523,248,1058607853,119088304,41297634,117266,71844362,0,38,11764567355,28962,3978221290,3,34900638,minimal,6956,115073713,66,43172,326.55,73.67853879928589,"[45, 45, 30000, 6, 0.7]",0
142,324738664,248,1058607853,47415341,1002349387,117266,71844362,0,38,13166487965,28082,2111797692,120,105335765,noblob,5724,115073713,66,187541,326.39,72.02005863189697,"[45, 45, 30000, 6, 0.7]",0
603,452289694,248,1058607853,84894017,220924860,117266,446226033,2,38,13018317901,7380,2111797692,115,101843264,minimal,6956,115073713,66,243920,326.19,71.79454636573792,"[45, 45, 30000, 6, 0.7]",0
116,324738664,248,1058607853,119088304,41297634,117266,446226033,0,38,13018317901,28962,2111797692,3,117379299,minimal,6956,131213015,66,41789,325.92,72.06380105018616,"[45, 45, 30000, 6, 0.7]",0
603,452289694,248,1058607853,119088304,220924860,117266,446226033,2,38,11764567355,7380,3978221290,115,101843264,minimal,6956,115073713,66,43172,325.04,71.73514604568481,"[45, 45, 30000, 6, 0.7]",0
118,458746659,173,231419755,110655700,220924860,53465,71844362,0,38,11764567355,2089,2111797692,3,101843264,full,5724,116454185,71,378615,324.88,71.39252400398254,"[45, 45, 30000, 6, 0.7]",0
142,452289694,248,555687428,119088304,220924860,117266,711332035,2,38,13166487965,7380,2111797692,115,101843264,minimal,6956,115073713,66,187541,324.84,70.11943340301514,"[45, 45, 30000, 6, 0.7]",0
142,458746659,248,1058607853,47415341,1002349387,53465,446226033,2,38,11481628357,26509,2111797692,120,29398670,noblob,10223,115073713,66,187541,324.23,71.41681146621704,"[45, 45, 30000, 6, 0.7]",0
116,458746659,248,555687428,112568781,827451708,7992,71844362,0,38,13018317901,13332,2111797692,3,29398670,noblob,3643,131213015,88,41789,323.43,70.04173731803894,"[45, 45, 30000, 6, 0.7]",0
528,324738664,248,1058607853,84894017,41297634,117266,71844362,0,38,13018317901,28962,2111797692,3,34900638,minimal,6956,115073713,66,243920,323.25,71.30225253105164,"[45, 45, 30000, 6, 0.7]",0
142,458746659,248,555687428,47415341,827451708,53465,71844362,0,38,13018317901,28962,2111797692,3,29398670,noblob,3643,115073713,66,187541,323.2,70.49103927612305,"[45, 45, 30000, 6, 0.7]",0
