innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
167,913717168,1850,279564959,97815428,33428772,101211,981132315,0,86,15295905429,6413,1809484877,48,27061871,full,10007,13641751,4,110862,346.78,415.32663345336914,"[180, 50, 100000, 4, 0.5]",1
146,411093684,863,920563115,97511488,347267224,81727,103746042,2,20,13483541940,425,2488011788,22,59331123,minimal,4336,32294090,95,205988,341.16,245.8265950679779,"[180, 50, 100000, 4, 0.5]",1
914,814854689,1850,387740213,122919935,1042351274,34427,981132315,2,5,12366931658,20451,1272426271,48,99979249,minimal,10007,107305940,82,800686,327.08,353.7236008644104,"[180, 50, 100000, 4, 0.5]",1
167,913717168,1850,279564959,127866569,33428772,101211,981132315,0,86,15295905429,6413,1809484877,48,51620560,full,10007,13641751,4,110862,319.34,259.87771224975586,"[180, 50, 100000, 4, 0.5]",1
167,913717168,1850,279564959,122919935,33428772,101211,981132315,0,86,15295905429,6413,1569900986,48,8384658,minimal,10007,20995601,4,550844,309.35,437.09446263313293,"[180, 50, 100000, 4, 0.5]",1
914,814854689,1850,279564959,97815428,33428772,54531,981132315,2,86,15295905429,6413,1589803609,48,99979249,minimal,4756,107305940,35,127145,303.58,247.85501766204834,"[180, 50, 100000, 4, 0.5]",1
167,452332620,1850,387740213,7629212,1042351274,101211,387783809,0,60,12366931658,15335,1272426271,126,8384658,minimal,4756,107305940,61,800686,302.87,439.1805031299591,"[180, 50, 100000, 4, 0.5]",1
914,814854689,1850,938108223,97815428,33428772,101211,981132315,2,72,15295905429,6413,1589803609,48,27061871,minimal,4756,86742938,35,550844,301.17,359.9215841293335,"[180, 50, 100000, 4, 0.5]",1
167,913717168,1850,279564959,127866569,33428772,101211,981132315,0,86,10382750884,6413,1809484877,44,27061871,full,6499,20995601,4,110862,300.77,340.26266837120056,"[180, 50, 100000, 4, 0.5]",1
167,913717168,1850,279564959,97815428,1042351274,34427,981132315,0,86,15295905429,20451,1809484877,109,27061871,minimal,10007,127839418,82,110862,297.04,401.8417603969574,"[180, 50, 100000, 4, 0.5]",1
167,475494150,1850,387740213,122919935,33428772,101211,981132315,0,60,12366931658,20451,1272426271,6,8384658,full,10007,61565950,61,110862,291.73,370.1137397289276,"[180, 50, 100000, 4, 0.5]",1
167,913717168,1850,502827852,97815428,33428772,54531,981132315,2,2,15295905429,6413,1809484877,48,99979249,minimal,10007,107305940,35,127145,291.66,398.54214453697205,"[180, 50, 100000, 4, 0.5]",1
914,814854689,4922,387740213,7629212,1042351274,34427,387783809,0,5,12366931658,20451,1272426271,126,99979249,minimal,4756,107305940,82,800686,287.35,253.17645812034607,"[180, 50, 100000, 4, 0.5]",1
950,813241555,8045,559023247,69138010,684837941,107546,572436787,2,83,11145589716,3557,3245341691,58,90871914,minimal,2518,88991402,37,425905,272.62,244.51138973236084,"[180, 50, 100000, 4, 0.5]",1
225,876955323,13652,67789161,49195657,753467252,72681,288222122,0,15,12202325012,7471,802276459,45,31860645,full,1088,133292614,15,855149,267.12,244.65933537483215,"[180, 50, 100000, 4, 0.5]",1
501,706014038,36282,443188106,57977060,869275687,58815,345430067,0,67,14959389298,27486,312607517,91,79379838,full,1414,18183643,73,393578,262.84,250.11091685295105,"[180, 50, 100000, 4, 0.5]",1
391,25580983,1850,387740213,7629212,33428772,34427,981132315,0,5,15295905429,6413,1809484877,44,99979249,minimal,6499,72502088,4,189473,261.93,259.61670184135437,"[180, 50, 100000, 4, 0.5]",1
42,38329401,17354,676360832,20096344,1067185282,6328,175708866,2,6,13618926644,22704,925514618,65,121103773,minimal,8970,115053003,69,617376,260.04,246.0647804737091,"[180, 50, 100000, 4, 0.5]",1
859,240211511,22018,977528507,35969078,115019332,98887,687637399,0,95,14431868840,9701,2927810396,125,9726032,noblob,4090,99018361,56,744406,257.84,253.3827702999115,"[180, 50, 100000, 4, 0.5]",1
626,542797554,25278,225916349,119406419,299371642,127750,954012624,2,55,10320113709,13749,1497424519,105,110725482,minimal,6694,44660402,42,72376,256.9,249.98410320281982,"[180, 50, 100000, 4, 0.5]",1
