innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
812,399454014,12321,677091220,63224297,24630563,93886,582996644,1,58,12068423656,20599,2578622451,69,75395087,noblob,5903,56492044,35,194738,239.03,244.9073691368103,"[180, 50, 100000, 4, 0.5]",59.12960124015808,180.1201536655426,2.0040125846862793
621,56509284,11349,541670942,22362777,290506791,76151,232771025,1,22,11459325661,10776,4023310095,87,110192340,full,1360,131014060,88,466202,239.25,243.48260235786438,"[180, 50, 100000, 4, 0.5]",58.24964261054993,180.1766390800476,1.9773759841918945
358,291841325,23726,172970630,73482430,565165564,108059,900397362,0,43,10606568643,16902,3455646463,15,86338544,full,6557,51463234,12,638824,255.27,249.86864948272705,"[180, 50, 100000, 4, 0.5]",65.35479688644409,180.23091554641724,1.1877353191375732
190,894415851,7263,874594142,101311177,944433542,40924,149619370,2,79,11133727750,374,2076275414,45,106454386,full,2473,18900631,96,753743,276.93,241.52677655220032,"[180, 50, 100000, 4, 0.5]",56.90539026260376,180.22042560577393,1.3024392127990723
904,736587163,18357,346914920,47987541,1046184948,87069,1065544575,2,8,13304350984,6326,3076760613,53,35977299,minimal,3319,110347652,6,2398,255.29,247.07476496696472,"[180, 50, 100000, 4, 0.5]",62.420095682144165,180.1164619922638,1.4475791454315186
777,614347317,26854,304391111,7523506,346151128,64983,494281798,0,33,15346693893,14920,457289639,118,6263405,minimal,4882,92636963,57,877095,254.89,251.3743920326233,"[180, 50, 100000, 4, 0.5]",67.0319881439209,180.09814143180847,1.149402141571045
51,110899773,34452,56784292,117138015,798546006,2681,357980423,2,94,14325192733,3778,2422001018,94,16091688,minimal,9729,97841413,41,236533,248.64,259.18070912361145,"[180, 50, 100000, 4, 0.5]",74.49217367172241,180.0920226573944,1.4797680377960205
514,1005894816,3341,784912626,83368827,720076088,26930,801328648,0,66,14947858021,26105,1594557155,31,124135793,noblob,8354,3123253,74,347237,292.78,241.85961818695068,"[180, 50, 100000, 4, 0.5]",57.24562931060791,180.09976959228516,1.4112143516540527
493,843996104,28293,977832294,34945462,534455183,35252,34660436,1,85,12570576570,29842,307555943,9,64754915,noblob,474,80053307,66,956868,229.96,258.9796986579895,"[180, 50, 100000, 4, 0.5]",73.82403421401978,180.188462972641,1.8538296222686768
258,458226572,36868,521271301,129682113,166937400,123145,732207229,1,11,13885766635,21233,1081073586,107,53635155,minimal,8173,28480213,26,573321,206.47,252.1464729309082,"[180, 50, 100000, 4, 0.5]",67.37966585159302,180.07513117790222,1.6039299964904785
812,399454014,12321,677091220,63224297,24630563,93886,582996644,1,58,12068423656,20599,2578622451,69,75395087,noblob,5903,56492044,35,194738,291.29,63.68952465057373,"[40, 40, 40000, 4, 0.5]",19.52049422264099,40.108659982681274,0.9527087211608887
621,56509284,11349,541670942,22362777,290506791,76151,232771025,1,22,11459325661,10776,4023310095,87,110192340,full,1360,131014060,88,466202,294.47,63.103352546691895,"[40, 40, 40000, 4, 0.5]",18.95270848274231,40.07372236251831,0.978156566619873
358,291841325,23726,172970630,73482430,565165564,108059,900397362,0,43,10606568643,16902,3455646463,15,86338544,full,6557,51463234,12,638824,312.09,63.82183647155762,"[40, 40, 40000, 4, 0.5]",19.955769777297974,40.14717888832092,0.6336662769317627
190,894415851,7263,874594142,101311177,944433542,40924,149619370,2,79,11133727750,374,2076275414,45,106454386,full,2473,18900631,96,753743,306.1,65.39294457435608,"[40, 40, 40000, 4, 0.5]",21.342824935913086,40.17218041419983,0.7806406021118164
904,736587163,18357,346914920,47987541,1046184948,87069,1065544575,2,8,13304350984,6326,3076760613,53,35977299,minimal,3319,110347652,6,2398,311.54,65.45949959754944,"[40, 40, 40000, 4, 0.5]",21.56787109375,40.077186822891235,0.7215650081634521
777,614347317,26854,304391111,7523506,346151128,64983,494281798,0,33,15346693893,14920,457289639,118,6263405,minimal,4882,92636963,57,877095,308.97,68.11353468894958,"[40, 40, 40000, 4, 0.5]",24.046581268310547,40.08602833747864,0.8817825317382812
51,110899773,34452,56784292,117138015,798546006,2681,357980423,2,94,14325192733,3778,2422001018,94,16091688,minimal,9729,97841413,41,236533,293.92,66.21934652328491,"[40, 40, 40000, 4, 0.5]",22.369231462478638,40.11092948913574,0.6528434753417969
514,1005894816,3341,784912626,83368827,720076088,26930,801328648,0,66,14947858021,26105,1594557155,31,124135793,noblob,8354,3123253,74,347237,327.33,69.06274724006653,"[40, 40, 40000, 4, 0.5]",25.162766933441162,40.16855597496033,0.6321377754211426
493,843996104,28293,977832294,34945462,534455183,35252,34660436,1,85,12570576570,29842,307555943,9,64754915,noblob,474,80053307,66,956868,286.21,66.22952771186829,"[40, 40, 40000, 4, 0.5]",22.030908584594727,40.085078954696655,1.0223972797393799
258,458226572,36868,521271301,129682113,166937400,123145,732207229,1,11,13885766635,21233,1081073586,107,53635155,minimal,8173,28480213,26,573321,264.16,67.51580476760864,"[40, 40, 40000, 4, 0.5]",22.990906715393066,40.08447074890137,1.342782974243164
812,399454014,12321,677091220,63224297,24630563,93886,582996644,1,58,12068423656,20599,2578622451,69,75395087,noblob,5903,56492044,35,194738,244.13,88.14177870750427,"[55, 35, 40000, 8, 0.5]",27.370741367340088,55.29183745384216,2.378800868988037
621,56509284,11349,541670942,22362777,290506791,76151,232771025,1,22,11459325661,10776,4023310095,87,110192340,full,1360,131014060,88,466202,259.35,86.95173573493958,"[55, 35, 40000, 8, 0.5]",27.591765642166138,55.384207248687744,0.885622501373291
358,291841325,23726,172970630,73482430,565165564,108059,900397362,0,43,10606568643,16902,3455646463,15,86338544,full,6557,51463234,12,638824,269.69,89.32921886444092,"[55, 35, 40000, 8, 0.5]",30.137307167053223,55.38058519363403,0.7234964370727539
190,894415851,7263,874594142,101311177,944433542,40924,149619370,2,79,11133727750,374,2076275414,45,106454386,full,2473,18900631,96,753743,268.36,95.76063966751099,"[55, 35, 40000, 8, 0.5]",36.43140530586243,55.4355194568634,0.7796216011047363
904,736587163,18357,346914920,47987541,1046184948,87069,1065544575,2,8,13304350984,6326,3076760613,53,35977299,minimal,3319,110347652,6,2398,266.82,87.98589205741882,"[55, 35, 40000, 8, 0.5]",28.889421463012695,55.3427677154541,0.6656274795532227
777,614347317,26854,304391111,7523506,346151128,64983,494281798,0,33,15346693893,14920,457289639,118,6263405,minimal,4882,92636963,57,877095,268.79,89.862220287323,"[55, 35, 40000, 8, 0.5]",30.73404049873352,55.32805895805359,0.7064261436462402
51,110899773,34452,56784292,117138015,798546006,2681,357980423,2,94,14325192733,3778,2422001018,94,16091688,minimal,9729,97841413,41,236533,259.78,88.75737476348877,"[55, 35, 40000, 8, 0.5]",29.55531072616577,55.302841663360596,0.805450439453125
514,1005894816,3341,784912626,83368827,720076088,26930,801328648,0,66,14947858021,26105,1594557155,31,124135793,noblob,8354,3123253,74,347237,272.56,88.0016725063324,"[55, 35, 40000, 8, 0.5]",28.908794164657593,55.40270400047302,0.5913329124450684
493,843996104,28293,977832294,34945462,534455183,35252,34660436,1,85,12570576570,29842,307555943,9,64754915,noblob,474,80053307,66,956868,260.78,90.15378999710083,"[55, 35, 40000, 8, 0.5]",30.766361713409424,55.21327614784241,1.072105884552002
258,458226572,36868,521271301,129682113,166937400,123145,732207229,1,11,13885766635,21233,1081073586,107,53635155,minimal,8173,28480213,26,573321,250.15,91.05092597007751,"[55, 35, 40000, 8, 0.5]",31.891374588012695,55.281651735305786,0.7876665592193604
812,399454014,12321,677091220,63224297,24630563,93886,582996644,1,58,12068423656,20599,2578622451,69,75395087,noblob,5903,56492044,35,194738,301.8,42.19985032081604,"[30, 25, 15000, 8, 0.5]",8.257818937301636,30.23060369491577,0.6178116798400879
621,56509284,11349,541670942,22362777,290506791,76151,232771025,1,22,11459325661,10776,4023310095,87,110192340,full,1360,131014060,88,466202,289.29,42.15169405937195,"[30, 25, 15000, 8, 0.5]",8.295811414718628,30.27470636367798,0.48441219329833984
358,291841325,23726,172970630,73482430,565165564,108059,900397362,0,43,10606568643,16902,3455646463,15,86338544,full,6557,51463234,12,638824,308.39,43.048439502716064,"[30, 25, 15000, 8, 0.5]",9.090338230133057,30.30942416191101,0.5250451564788818
190,894415851,7263,874594142,101311177,944433542,40924,149619370,2,79,11133727750,374,2076275414,45,106454386,full,2473,18900631,96,753743,311.16,41.59535551071167,"[30, 25, 15000, 8, 0.5]",7.8289830684661865,30.288310050964355,0.37454962730407715
904,736587163,18357,346914920,47987541,1046184948,87069,1065544575,2,8,13304350984,6326,3076760613,53,35977299,minimal,3319,110347652,6,2398,316.03,42.540425062179565,"[30, 25, 15000, 8, 0.5]",8.755524396896362,30.23350715637207,0.4561314582824707
777,614347317,26854,304391111,7523506,346151128,64983,494281798,0,33,15346693893,14920,457289639,118,6263405,minimal,4882,92636963,57,877095,321.93,42.715161085128784,"[30, 25, 15000, 8, 0.5]",8.936311721801758,30.261462211608887,0.4199063777923584
51,110899773,34452,56784292,117138015,798546006,2681,357980423,2,94,14325192733,3778,2422001018,94,16091688,minimal,9729,97841413,41,236533,310.89,43.26382565498352,"[30, 25, 15000, 8, 0.5]",9.518413782119751,30.30005931854248,0.3439655303955078
