innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
906,67357894,289,1059945725,122973425,203833565,85664,969145095,0,47,14340570904,10539,449335887,114,111786825,noblob,5235,92674132,42,970790,354.92,40.31907939910889,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
14,543703553,289,289017921,39486315,1004144921,50637,772685496,0,78,11706532341,28283,3414658907,13,31702468,noblob,1256,25759605,67,10540,341.1,43.079668283462524,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
290,543703553,289,289017921,39486315,1004144921,87638,772685496,2,78,14280932358,28962,3414658907,37,31702468,minimal,4135,25759605,71,502688,341.0,42.39281868934631,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
792,649285822,289,1002118234,122973425,451924282,20313,866764325,0,21,14428674790,13759,449335887,64,49028999,minimal,5235,92674132,1,493456,337.59,40.9571750164032,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
792,154310158,24283,129873694,130892108,150665751,20313,866764325,2,21,11632541626,25376,22985347,64,30399054,noblob,8294,89771689,1,462362,326.79,43.128998041152954,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
792,154310158,24283,1002118234,5446699,150665751,20313,866764325,2,21,13783634090,25376,2397293973,64,49028999,minimal,8294,89771689,1,493456,324.46,40.01412391662598,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
906,649285822,35694,282677059,122973425,451924282,129017,1057040043,2,32,15162312741,13759,3765877227,9,77666124,full,5235,92674132,1,839355,324.17,43.438469648361206,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
30,399071801,19515,867586107,101062412,499734761,49976,695667170,2,36,14477261070,6610,726637953,11,100634846,full,9699,13028911,63,841195,323.67,40.44654440879822,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
290,441281444,12160,572853258,71028140,907506929,87638,994870163,2,11,14280932358,29272,2492573366,37,27147169,minimal,4135,84176682,71,502688,323.56,41.29729413986206,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
14,441281444,23923,572853258,71028140,907506929,50637,994870163,0,11,11706532341,28283,2492573366,13,27147169,noblob,1256,84176682,67,10540,323.16,43.567864179611206,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
431,180548596,25667,889131827,41021887,69722126,115542,25584568,0,72,11998801500,18726,230043627,49,83304238,minimal,9888,73503998,85,354647,322.56,40.25021195411682,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
792,154310158,24283,129873694,5446699,150665751,20313,556186330,2,21,13783634090,25376,22985347,64,30399054,noblob,8294,89771689,1,462362,322.53,43.488619327545166,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
906,75175754,35694,282677059,122973425,451924282,129017,1057040043,2,47,15162312741,13759,3765877227,9,77666124,minimal,5235,92674132,1,839355,321.76,43.8725061416626,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
658,706364821,26622,1046105616,57538589,706620383,90194,111596982,0,5,11235602239,21612,3448408806,35,81057496,minimal,8457,56511802,91,275978,321.35,40.597421646118164,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
906,649285822,35694,282677059,122973425,451924282,129017,1057040043,2,47,15162312741,13759,3765877227,9,77666124,minimal,5235,92674132,1,839355,321.02,40.730968713760376,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
906,649285822,289,694286826,122973425,451924282,129017,772685496,0,47,14428674790,13759,449335887,9,107125020,noblob,5235,92674132,1,839355,320.8,39.75731801986694,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
358,543703553,35694,727606909,39486315,85792169,50637,1057040043,2,78,11706532341,28283,3765877227,51,77666124,minimal,1256,25759605,27,757383,320.53,43.728764295578,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
318,436594619,19515,867586107,90632988,499734761,21495,918383283,2,36,14477261070,6610,726637953,106,77121137,full,1149,44829111,85,191302,320.17,41.71307587623596,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
23,714664660,9620,330835887,38244809,945148746,127006,214710074,1,27,12444641967,13951,282021372,40,45675383,noblob,875,73836368,29,941111,319.96,39.033371925354004,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
792,154310158,24283,129873694,130215966,150665751,20313,866764325,2,21,11632541626,25376,22985347,64,30399054,noblob,8294,89771689,1,462362,319.72,42.364766120910645,"[30, 25, 10000, 8, 0.5]",0.6848484848484848
