innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
119,264085292,36412,750351903,2017524,178547387,48624,494764763,0,31,13275270572,11633,1150289862,59,100989158,minimal,3115,124294983,98,503712,256.54,319.5549726486206,"[180, 50, 100000, 4, 0.5]",134.4375355243683,180.13180017471313,1.348794937133789
434,493455433,33143,413036894,116312474,235398333,19606,114328189,0,41,15262908884,21648,824528458,30,76670562,noblob,6785,23751718,37,55002,265.5,263.08936619758606,"[180, 50, 100000, 4, 0.5]",78.80752420425415,180.14334154129028,1.03611159324646
243,960385772,28351,1045650588,106939762,735714616,35301,1005516488,2,19,14923480624,20499,1674979154,49,35597220,minimal,9631,8155458,42,912526,265.25,294.6018159389496,"[180, 50, 100000, 4, 0.5]",110.18173241615295,180.0994143486023,1.2170865535736084
815,970846472,11270,812478271,61571013,34368053,106879,945829193,1,95,12734423640,15906,2299299055,66,124108880,full,5382,105672258,89,249937,112.35,273.1400496959686,"[180, 50, 100000, 4, 0.5]",85.34709358215332,180.11399698257446,4.586094856262207
772,655815875,14634,490037758,129457938,997578148,98615,297102021,1,69,13925849844,3527,318938485,101,109031809,minimal,4555,37643850,12,706494,130.98,280.25029492378235,"[180, 50, 100000, 4, 0.5]",83.16418313980103,180.76017141342163,13.232253551483154
304,333692505,19373,934301612,20168545,405961980,4746,671864982,2,81,10512562072,12545,3965514718,12,54461175,noblob,8440,89163511,75,303405,239.15,282.7166979312897,"[180, 50, 100000, 4, 0.5]",98.19145846366882,180.17506790161133,1.2503745555877686
692,595548208,23477,550662176,80465163,588930772,77724,584129758,0,24,10967571875,7801,3337645221,84,47962153,noblob,3497,115662846,57,886304,225.42,314.62954092025757,"[180, 50, 100000, 4, 0.5]",129.91811656951904,180.11870884895325,1.485347032546997
984,834736007,7860,68970145,53156796,469315908,60338,767023273,1,56,12378308076,2352,2582286367,19,4507505,full,912,77868564,5,419695,141.94,288.42072224617004,"[180, 50, 100000, 4, 0.5]",103.78069114685059,180.12282276153564,1.4195671081542969
16,19681070,26732,108268048,36590458,897750749,119911,364348982,0,9,14437146515,29488,2094490058,119,84386972,full,1815,63329247,61,188046,255.39,264.8446521759033,"[180, 50, 100000, 4, 0.5]",80.60096502304077,180.12650108337402,1.0312855243682861
591,151446214,2481,262142772,90675700,776641605,86123,44877218,2,73,11853541419,26842,3735853247,109,21520190,noblob,7945,48072218,24,608595,324.47,299.28700399398804,"[180, 50, 100000, 4, 0.5]",114.6972987651825,180.21335172653198,1.2829184532165527
