time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
30,20,20000,10,0.5,0.9361745372672995,45.13460531234741,0
30,45,10000,6,0.5,0.7598819296000807,43.035968613624576,0
35,35,20000,10,0.5,0.8997002046464956,57.479807591438295,1
40,25,40000,4,0.5,0.7173285415424762,56.8959977388382,1
40,25,10000,4,0.5,0.6990913752320743,47.900194954872134,1
35,20,40000,4,0.7,0.1945297739776207,49.56703944206238,2
50,30,40000,6,0.5,0.8875420937728943,74.64539449214935,2
40,25,40000,4,0.7,0.4255338805760452,57.10787274837494,2
40,35,20000,10,0.5,0.8753839828992931,62.82181885242462,2
50,30,10000,6,0.5,0.7294866524160775,59.92735381126404,2
