time,tables,table-size,threads,r_ratio,spearman_corr,evaluated_time,front_level
40,20,30000,10,0.5,0.9515151515151514,61.13456904888153,0
35,30,30000,4,0.5,0.9393939393939393,50.108348560333255,0
30,35,15000,4,0.5,0.9151515151515152,41.47268223762512,0
45,45,30000,6,0.8,0.9393939393939393,73.24691784381866,1
45,45,10000,6,0.5,0.9272727272727272,57.72717571258545,1
30,35,15000,8,0.5,0.8666666666666665,45.145223116874696,1
35,20,15000,4,0.5,0.8424242424242423,43.03258485794068,1
35,35,30000,8,0.5,0.9151515151515152,62.363989853858946,2
35,30,30000,4,0.6,0.8424242424242423,50.61570045948029,2
35,30,10000,4,0.5,0.7696969696969697,43.54030373096466,2
