innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
515,519031829,273,770951207,64038088,502128574,91345,145852677,0,63,11958490074,13445,2183348712,99,85185594,minimal,388,14325860,100,800183,406.86,244.92388224601746,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,134149651,502128574,38470,145852677,0,30,12868651016,13445,381839971,99,85185594,minimal,388,14325860,100,800183,406.63,257.78116941452026,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,134149651,184315114,38470,145852677,0,27,11329575180,21697,801340985,53,85185594,full,388,98988328,100,800183,406.19,264.0959703922272,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,968620619,134149651,502128574,38470,145852677,0,30,12868651016,13445,381839971,99,85185594,minimal,388,14325860,100,800183,405.83,252.81510281562805,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,402269669,64038088,118214832,17111,145852677,0,27,14246978259,13445,381839971,99,85185594,full,388,98988328,100,629093,403.81,249.73635482788086,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,770951207,64038088,502128574,91345,145852677,0,27,11958490074,13445,801340985,99,85185594,full,388,14325860,100,800183,403.37,259.4692122936249,"[180, 50, 100000, 4, 0.5]",1
948,918766107,273,723856191,64038088,502128574,16647,145852677,0,14,11958490074,13445,381839971,99,85185594,full,388,14325860,94,139571,403.3,250.658305644989,"[180, 50, 100000, 4, 0.5]",1
948,918766107,273,770951207,64038088,502128574,3450,145852677,0,24,11958490074,13445,801340985,99,85185594,minimal,388,14325860,100,800183,403.28,255.7932004928589,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,64038088,502128574,3450,145852677,0,27,11958490074,13445,2183348712,123,56726546,noblob,388,14325860,100,629093,403.26,245.22834944725037,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,64038088,502128574,3450,145852677,0,30,12868651016,13445,2183348712,123,56726546,minimal,388,14325860,100,629093,403.03,253.61977815628052,"[180, 50, 100000, 4, 0.5]",1
948,918766107,273,770951207,64038088,502128574,3450,145852677,0,24,11958490074,13445,801340985,99,85185594,minimal,388,14325860,100,139571,403.02,261.7199385166168,"[180, 50, 100000, 4, 0.5]",1
22,519031829,273,723856191,64038088,502128574,91345,145852677,0,17,14246978259,13445,2183348712,123,56726546,noblob,388,14325860,100,417237,402.01,252.0066442489624,"[180, 50, 100000, 4, 0.5]",1
515,904803024,273,1027736984,134149651,502128574,38470,539027956,0,24,11958490074,18537,381839971,34,56726546,full,3080,14325860,100,800183,401.81,248.7347207069397,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,64038088,502128574,3450,145852677,0,27,11958490074,13445,2183348712,99,85185594,noblob,388,14325860,100,800183,401.08,253.6201708316803,"[180, 50, 100000, 4, 0.5]",1
515,519031829,273,723856191,134149651,502128574,38470,145852677,0,27,11958490074,13445,381839971,99,85185594,noblob,388,14325860,100,800183,400.95,249.56465911865234,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,134149651,976461799,38470,727874373,0,30,11329575180,29800,3311258068,53,85185594,minimal,388,98988328,100,800183,400.89,246.75512862205505,"[180, 50, 100000, 4, 0.5]",1
374,918766107,273,770951207,64038088,442617637,3450,145852677,0,24,11958490074,13445,801340985,47,85185594,minimal,388,14325860,100,139571,400.77,249.64597082138062,"[180, 50, 100000, 4, 0.5]",1
764,519031829,273,723856191,85196844,502128574,38470,719837077,0,30,11958490074,29800,381839971,99,85185594,minimal,7333,98988328,100,629093,400.72,253.17531394958496,"[180, 50, 100000, 4, 0.5]",1
764,883872133,273,723856191,134149651,502128574,38470,145852677,0,30,12868651016,15437,381839971,99,85185594,minimal,388,14325860,100,800183,400.7,254.90013432502747,"[180, 50, 100000, 4, 0.5]",1
515,883872133,273,723856191,64038088,502128574,91345,145852677,0,17,14246978259,29800,381839971,94,85185594,full,388,98988328,100,629093,400.46,247.27124619483948,"[180, 50, 100000, 4, 0.5]",1
