innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,evaluated_time,fidelity_setting,corr
402,128256835,666,461199283,99533786,404177102,118451,998264112,0,98,14180616378,203,2655133304,40,35760291,full,8041,25335747,55,291038,334.94,249.41305088996887,"[180, 50, 100000, 4, 0.5]",1
932,128256835,666,797060032,99533786,404177102,116772,556186330,0,98,14180616378,4986,2787848156,104,35760291,noblob,8041,95654683,15,171451,334.32,245.15217900276184,"[180, 50, 100000, 4, 0.5]",1
319,128256835,666,461199283,126542767,491334856,94800,155286290,0,98,14180616378,28962,2655133304,100,37379968,minimal,859,77800219,72,779354,333.17,250.99231338500977,"[180, 50, 100000, 4, 0.5]",1
145,128256835,666,461199283,99533786,404177102,118451,998264112,0,98,14180616378,2286,2655133304,40,35760291,noblob,451,95654683,55,171451,331.67,247.35601258277893,"[180, 50, 100000, 4, 0.5]",1
223,128256835,666,797060032,99533786,404177102,116772,556186330,0,98,14180616378,4986,2787848156,104,108271111,noblob,8041,95654683,15,171451,329.98,248.84271717071533,"[180, 50, 100000, 4, 0.5]",1
319,128256835,666,461199283,126542767,491334856,94800,155286290,0,98,14180616378,28962,2655133304,100,37379968,minimal,859,77800219,72,779354,328.53,259.0879726409912,"[180, 50, 100000, 4, 0.5]",1
145,14274118,666,148968332,126542767,491334856,94800,155286290,0,98,14180616378,4986,2227295176,40,37379968,minimal,451,43188155,38,349079,326.39,249.53202605247498,"[180, 50, 100000, 4, 0.5]",1
223,128256835,666,461199283,126542767,404177102,35206,556186330,0,98,14180616378,4986,2655133304,40,108271111,noblob,451,43188155,38,171451,326.27,255.6377670764923,"[180, 50, 100000, 4, 0.5]",1
145,128256835,666,797060032,99533786,404177102,94800,719216158,0,98,14180616378,4986,2655133304,40,35760291,noblob,451,95654683,15,378693,326.17,247.345276594162,"[180, 50, 100000, 4, 0.5]",1
223,128256835,666,461199283,126542767,404177102,94800,554473514,0,98,14180616378,4986,2655133304,104,37379968,noblob,2948,95654683,38,378693,325.18,249.2665627002716,"[180, 50, 100000, 4, 0.5]",1
145,128256835,666,461199283,6457773,404177102,42323,998264112,0,55,12240435422,203,2655133304,40,35760291,minimal,10071,43188155,38,349079,324.96,248.6301076412201,"[180, 50, 100000, 4, 0.5]",1
223,128256835,666,461199283,126542767,404177102,35206,556186330,0,98,14180616378,4986,2655133304,40,108271111,noblob,451,43188155,38,171451,324.34,248.61561799049377,"[180, 50, 100000, 4, 0.5]",1
932,431276155,666,322984526,59513576,404177102,116772,556186330,0,66,14180616378,4986,2655133304,104,35760291,noblob,8041,95654683,15,171451,322.96,247.04075050354004,"[180, 50, 100000, 4, 0.5]",1
223,128256835,666,461199283,126542767,404177102,94800,155286290,0,98,14180616378,4986,2655133304,100,37379968,full,2948,77800219,72,378693,322.8,249.45740866661072,"[180, 50, 100000, 4, 0.5]",1
145,128256835,666,797060032,50242261,404177102,94800,155286290,0,98,14180616378,203,2787848156,40,37379968,minimal,2948,43188155,15,378693,322.17,251.0040192604065,"[180, 50, 100000, 4, 0.5]",1
223,128256835,666,797060032,99533786,404177102,116772,556186330,0,98,14180616378,4986,2787848156,104,108271111,noblob,8041,95654683,15,171451,322.09,259.89103960990906,"[180, 50, 100000, 4, 0.5]",1
932,431276155,666,322984526,59513576,404177102,116772,556186330,0,98,14180616378,4986,2655133304,104,35760291,full,451,95654683,38,171451,321.44,245.69200992584229,"[180, 50, 100000, 4, 0.5]",1
145,14597973,666,461199283,99533786,404177102,118451,556186330,0,98,14180616378,2286,2655133304,40,35760291,noblob,451,95654683,31,171451,320.63,250.58289742469788,"[180, 50, 100000, 4, 0.5]",1
223,128256835,666,797060032,99533786,404177102,94800,556186330,0,98,14180616378,9388,2787848156,104,37379968,noblob,2948,95654683,15,378693,320.0,245.54154515266418,"[180, 50, 100000, 4, 0.5]",1
932,128256835,666,461199283,126542767,404177102,116772,556186330,0,98,14180616378,4986,2787848156,40,35760291,noblob,451,95654683,15,171451,319.75,248.26522541046143,"[180, 50, 100000, 4, 0.5]",1
