innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
299,405564006,15867,135926108,66591106,687531193,105604,140831169,1,22,14776406899,18504,1955425234,95,52342926,full,2982,73110406,61,477011,239.03,246.14339327812195,"[180, 50, 100000, 4, 0.5]",60.47221827507019,180.1771523952484,1.7838239669799805
797,737136069,4826,610919607,92102912,1002147345,51417,576575699,2,57,15407209768,24239,2506091524,72,12498599,minimal,7924,123579189,94,165853,277.64,244.0749888420105,"[180, 50, 100000, 4, 0.5]",59.535619258880615,180.1697199344635,1.2644765377044678
977,976191133,32226,698220057,4949690,909601725,129678,966078433,0,85,12596886623,10128,825969820,19,105519330,minimal,915,112217558,8,843706,252.73,251.61361575126648,"[180, 50, 100000, 4, 0.5]",66.94603037834167,180.13064575195312,1.4227728843688965
658,605719209,14951,1012817038,75286884,505476938,16548,515968845,1,6,11675925202,29893,1315048241,119,86988340,noblob,9192,95262712,41,595125,233.6,248.64955067634583,"[180, 50, 100000, 4, 0.5]",63.58230471611023,180.08094453811646,1.8814301490783691
378,292403456,29934,496159276,43278910,106458767,84172,749691174,0,35,13756693320,269,223181639,102,47444653,noblob,6113,60174833,70,689972,252.46,253.57387351989746,"[180, 50, 100000, 4, 0.5]",68.91049695014954,180.160169839859,1.4012866020202637
113,233460182,20198,898269505,27120591,273815626,31719,97977372,2,88,13511102444,19147,3885698480,55,122514238,full,5136,46734633,32,310158,251.47,256.87889337539673,"[180, 50, 100000, 4, 0.5]",72.50610899925232,180.10682201385498,1.147193193435669
161,824092127,36397,340145430,107301181,172308850,47883,282075804,2,39,11209011721,5409,3752928166,38,76464390,noblob,6641,1252500,25,880940,263.05,253.40522837638855,"[180, 50, 100000, 4, 0.5]",68.98012781143188,180.17495775222778,1.1406676769256592
525,97901510,7825,12499580,131543281,642946184,81862,835152732,2,70,10434627388,11484,3045699563,2,29048626,noblob,2306,32202441,84,108709,276.34,245.00783371925354,"[180, 50, 100000, 4, 0.5]",60.64880442619324,180.13030219078064,1.1133813858032227
773,817907687,4944,591095637,103403671,1000553581,76189,716683589,0,55,15042030599,27931,2520165204,89,15425618,full,8836,120621669,86,271360,279.9,243.23023796081543,"[180, 50, 100000, 4, 0.5]",58.78220081329346,180.21379280090332,1.1276838779449463
678,675377163,7189,559318223,83878952,928983235,69076,744237383,2,51,15201499717,25640,2169374190,72,17986239,noblob,7158,113019005,88,212987,273.82,243.03106713294983,"[180, 50, 100000, 4, 0.5]",58.648016929626465,180.1415295600891,1.143007516860962
