innodb_thread_concurrency,max_allowed_packet,innodb_io_capacity_max,tmp_table_size,query_prealloc_size,max_heap_table_size,transaction_alloc_block_size,join_buffer_size,innodb_flush_log_at_trx_commit,innodb_max_dirty_pages_pct_lwm,innodb_buffer_pool_size,key_cache_age_threshold,binlog_cache_size,innodb_purge_rseg_truncate_frequency,query_cache_limit,binlog_row_image,innodb_lru_scan_depth,sort_buffer_size,innodb_stats_transient_sample_pages,innodb_adaptive_max_sleep_delay,throughput,cost,fidelity,prepare_time,run_time,clean_time
732,592123834,17447,627298324,89152037,373088966,125744,456652055,0,61,15300810898,12921,4057490846,108,83056145,minimal,7995,63254545,24,412325,221.48,78.94540905952454,"[10, 50, 100000, 4, 0.5]",64.04632139205933,10.092279195785522,1.0958874225616455
924,1065628711,19770,954722739,20937542,887519545,70606,168085428,0,14,11010620878,16104,3614707371,94,128425506,full,152,103451663,95,143754,231.52,79.28366756439209,"[10, 50, 100000, 4, 0.5]",64.69848537445068,10.190432071685791,1.2988624572753906
706,719399266,36894,19951384,113664078,798341013,112084,46196602,1,60,14199828988,1534,131267005,65,127612971,noblob,2378,55216165,38,622545,211.38,81.58648657798767,"[10, 50, 100000, 4, 0.5]",66.54632759094238,10.13436508178711,1.8028185367584229
302,721432390,32388,686138727,50598563,954579459,45045,861744606,2,20,13036436941,12321,476075426,22,24119946,minimal,6240,47735068,65,479226,210.21,85.42474722862244,"[10, 50, 100000, 4, 0.5]",70.7643985748291,10.169555902481079,1.4009666442871094
519,1120267,5744,65463839,101247297,905698742,113930,34338011,1,50,12783240236,4836,1712696532,103,47312405,noblob,7703,47106755,22,366348,245.13,75.72285223007202,"[10, 50, 100000, 4, 0.5]",60.82123565673828,10.098823070526123,1.6929633617401123
219,145764300,37027,339041105,44307617,98530048,89928,387040362,2,48,11902084307,19725,4190788632,64,35856555,minimal,5607,58931308,36,800220,216.68,86.75589275360107,"[10, 50, 100000, 4, 0.5]",71.87674808502197,10.217194318771362,1.5580968856811523
994,317107895,18991,341385452,54207098,109593692,38394,279530115,2,69,10540882228,15797,1624115856,78,24841620,full,8469,111051231,16,383802,219.51,81.64975142478943,"[10, 50, 100000, 4, 0.5]",67.19862246513367,10.17707633972168,1.1636886596679688
237,344216543,22232,347401941,23032088,283427339,59770,801312400,1,75,13844046719,25099,1516246499,26,62443195,minimal,6938,10997641,44,813208,220.9,81.21771430969238,"[10, 50, 100000, 4, 0.5]",66.29298424720764,10.142419338226318,1.684065818786621
712,1043375997,6539,348638488,125096961,1025004760,44361,883966154,1,62,14259879675,8111,244499741,15,120517263,minimal,6104,118266200,88,847704,239.07,73.88430094718933,"[10, 50, 100000, 4, 0.5]",58.52554631233215,10.140532970428467,2.092747211456299
557,901769027,34644,704642717,94642221,233581435,86820,586763337,2,54,10648467595,18101,2797365706,126,45590381,noblob,3317,120444993,58,574919,217.79,80.83539843559265,"[10, 50, 100000, 4, 0.5]",66.25355935096741,10.109370470046997,1.3725287914276123
542,959119671,9644,347731894,55073979,763471886,60134,65606375,2,99,13498801457,16496,1063044332,18,84310081,full,3170,132904024,6,895853,224.09,76.61764883995056,"[10, 50, 100000, 4, 0.5]",61.969576358795166,10.158314228057861,1.397278070449829
119,600869147,10231,1070630481,133856445,140386887,119703,191046755,0,81,14905847634,17899,1352308560,35,73607379,full,6250,15206435,44,363252,229.56,74.75274205207825,"[10, 50, 100000, 4, 0.5]",60.21587347984314,10.106550455093384,1.3119091987609863
890,460914329,925,34057695,2748657,631930305,39353,1024552182,0,73,12105311708,3802,2965068146,54,132107008,minimal,1816,33674778,57,332364,266.61,78.07196521759033,"[10, 50, 100000, 4, 0.5]",63.830538511276245,10.139833211898804,1.0018303394317627
120,953828823,15667,605517081,8588595,380466607,126670,661652182,1,23,15232182050,16677,2864109374,38,51022323,full,7220,97547943,7,744811,230.69,82.29088497161865,"[10, 50, 100000, 4, 0.5]",67.09349966049194,10.105691909790039,1.9957516193389893
750,527216678,9646,427172619,94743318,668853784,87414,298119262,0,35,12120611941,22208,264224353,103,64513855,full,1592,79876429,40,475242,233.3,74.51468133926392,"[10, 50, 100000, 4, 0.5]",59.817322731018066,10.321067094802856,1.2731719017028809
828,205252694,7157,24366466,72471888,1035978295,88100,543213559,0,17,15122027405,16041,3753172934,45,102195247,noblob,6945,37817767,92,297347,241.01,73.25348544120789,"[10, 50, 100000, 4, 0.5]",58.86530947685242,10.169278144836426,1.1255238056182861
890,460914329,925,34057695,2748657,631930305,39353,1024552182,0,73,12105311708,3802,2965068146,54,132107008,minimal,1816,33674778,57,332364,292.44,85.90021014213562,"[20, 50, 100000, 4, 0.5]",61.55869436264038,20.199634790420532,1.0250120162963867
519,1120267,5744,65463839,101247297,905698742,113930,34338011,1,50,12783240236,4836,1712696532,103,47312405,noblob,7703,47106755,22,366348,241.59,84.7015323638916,"[20, 50, 100000, 4, 0.5]",59.63568353652954,20.186179876327515,1.7843120098114014
828,205252694,7157,24366466,72471888,1035978295,88100,543213559,0,17,15122027405,16041,3753172934,45,102195247,noblob,6945,37817767,92,297347,242.01,83.8955717086792,"[20, 50, 100000, 4, 0.5]",59.40875554084778,20.10488748550415,1.3026230335235596
712,1043375997,6539,348638488,125096961,1025004760,44361,883966154,1,62,14259879675,8111,244499741,15,120517263,minimal,6104,118266200,88,847704,235.81,87.16585302352905,"[20, 50, 100000, 4, 0.5]",62.27597212791443,20.143747329711914,1.630506992340088
750,527216678,9646,427172619,94743318,668853784,87414,298119262,0,35,12120611941,22208,264224353,103,64513855,full,1592,79876429,40,475242,223.45,83.34716725349426,"[20, 50, 100000, 4, 0.5]",58.79565906524658,20.08412766456604,1.3866095542907715
924,1065628711,19770,954722739,20937542,887519545,70606,168085428,0,14,11010620878,16104,3614707371,94,128425506,full,152,103451663,95,143754,217.17,92.87700700759888,"[20, 50, 100000, 4, 0.5]",68.34405422210693,20.170965909957886,1.2777292728424072
120,953828823,15667,605517081,8588595,380466607,126670,661652182,1,23,15232182050,16677,2864109374,38,51022323,full,7220,97547943,7,744811,217.27,90.86365795135498,"[20, 50, 100000, 4, 0.5]",65.80708146095276,20.1279935836792,1.836329460144043
119,600869147,10231,1070630481,133856445,140386887,119703,191046755,0,81,14905847634,17899,1352308560,35,73607379,full,6250,15206435,44,363252,235.91,83.47375988960266,"[20, 50, 100000, 4, 0.5]",58.8674840927124,20.136687517166138,1.384394884109497
890,460914329,925,34057695,2748657,631930305,39353,1024552182,0,73,12105311708,3802,2965068146,54,132107008,minimal,1816,33674778,57,332364,283.48,103.92923092842102,"[40, 50, 100000, 4, 0.5]",59.472023010253906,40.182618379592896,1.1770474910736084
828,205252694,7157,24366466,72471888,1035978295,88100,543213559,0,17,15122027405,16041,3753172934,45,102195247,noblob,6945,37817767,92,297347,245.73,105.04048037528992,"[40, 50, 100000, 4, 0.5]",60.37363338470459,40.17083120346069,1.4059276580810547
519,1120267,5744,65463839,101247297,905698742,113930,34338011,1,50,12783240236,4836,1712696532,103,47312405,noblob,7703,47106755,22,366348,232.75,103.8265905380249,"[40, 50, 100000, 4, 0.5]",58.79667687416077,40.148433208465576,1.7601161003112793
119,600869147,10231,1070630481,133856445,140386887,119703,191046755,0,81,14905847634,17899,1352308560,35,73607379,full,6250,15206435,44,363252,244.09,119.16209268569946,"[40, 50, 100000, 4, 0.5]",74.50356674194336,40.18812918663025,1.3763704299926758
890,460914329,925,34057695,2748657,631930305,39353,1024552182,0,73,12105311708,3802,2965068146,54,132107008,minimal,1816,33674778,57,332364,299.23,153.6839075088501,"[90, 50, 100000, 4, 0.5]",59.269142627716064,90.12815022468567,1.1776587963104248
828,205252694,7157,24366466,72471888,1035978295,88100,543213559,0,17,15122027405,16041,3753172934,45,102195247,noblob,6945,37817767,92,297347,262.13,153.10610485076904,"[90, 50, 100000, 4, 0.5]",58.51179909706116,90.16476798057556,1.338287353515625
890,460914329,925,34057695,2748657,631930305,39353,1024552182,0,73,12105311708,3802,2965068146,54,132107008,minimal,1816,33674778,57,332364,328.75,247.27246809005737,"[180, 50, 100000, 4, 0.5]",63.07331395149231,180.121906042099,0.9753806591033936
877,1033354715,35082,868284945,29158704,846775926,102033,257145892,1,2,15361562168,23419,3176219916,51,40267486,noblob,9414,63604755,17,406653,204.6,96.8642692565918,"[20, 50, 100000, 4, 0.5]",72.12723064422607,20.08549737930298,1.5295612812042236
113,902164138,22965,926204375,69701838,324038547,10344,963243750,0,23,13887096369,9657,1995256330,10,9450581,minimal,9340,20120753,85,119654,232.36,94.14863562583923,"[20, 50, 100000, 4, 0.5]",69.28197646141052,20.107632160186768,1.6578145027160645
397,479641202,2605,1020262464,99924155,216095114,16784,489838077,2,8,15291066416,22813,310932940,86,124713073,noblob,544,56156139,75,111497,249.77,87.48502850532532,"[20, 50, 100000, 4, 0.5]",63.117340326309204,20.12264132499695,1.1395270824432373
809,714978319,11603,387433141,10494784,847919145,126487,22583434,0,9,15371504017,28885,2418757405,50,126631012,noblob,4161,45237378,34,295290,243.43,87.3894476890564,"[20, 50, 100000, 4, 0.5]",62.76754856109619,20.170795679092407,1.3424694538116455
757,141254323,2053,347265520,40049707,89692172,48282,751027868,0,60,11503197323,24466,2136360202,72,66482206,minimal,8724,117945018,16,803507,259.81,89.40145444869995,"[20, 50, 100000, 4, 0.5]",64.99809765815735,20.13488531112671,1.1770439147949219
74,997807629,15633,177854548,17002947,793683329,102676,179028241,2,89,11266614713,26392,3681092192,37,55538317,minimal,3395,74975556,25,525009,225.07,86.96607732772827,"[20, 50, 100000, 4, 0.5]",62.400275468826294,20.113418579101562,1.3472120761871338
339,114747849,4728,332530632,40231430,143109427,10056,943295966,0,23,11822669409,16518,1359626778,115,76177243,full,1867,52062220,32,741102,244.77,83.11649417877197,"[20, 50, 100000, 4, 0.5]",58.01156544685364,20.1384334564209,1.869751214981079
0,883706436,11865,741281522,70703468,351346950,88713,144257864,0,7,12182537730,11851,3729641061,100,133735867,full,5308,88458952,16,718823,230.08,87.42391872406006,"[20, 50, 100000, 4, 0.5]",62.63871741294861,20.236469507217407,1.4462635517120361
831,304513367,29987,86742359,131633415,724129558,83315,206495993,0,63,11556462106,6623,68811027,24,103141328,noblob,7997,40300977,25,790886,223.17,93.61504554748535,"[20, 50, 100000, 4, 0.5]",68.9226553440094,20.171196222305298,1.4111919403076172
17,59976406,11460,529916455,126962472,1062763489,127027,66178809,2,73,10860147197,13168,1771085640,99,4842314,minimal,7828,47166744,97,715340,229.33,88.67523384094238,"[20, 50, 100000, 4, 0.5]",63.97010064125061,20.175944566726685,1.400259017944336
757,141254323,2053,347265520,40049707,89692172,48282,751027868,0,60,11503197323,24466,2136360202,72,66482206,minimal,8724,117945018,16,803507,247.34,106.79251480102539,"[40, 50, 100000, 4, 0.5]",62.10567808151245,40.23895740509033,1.331756353378296
397,479641202,2605,1020262464,99924155,216095114,16784,489838077,2,8,15291066416,22813,310932940,86,124713073,noblob,544,56156139,75,111497,239.98,107.93293786048889,"[40, 50, 100000, 4, 0.5]",63.5186710357666,40.131550550460815,1.190073013305664
339,114747849,4728,332530632,40231430,143109427,10056,943295966,0,23,11822669409,16518,1359626778,115,76177243,full,1867,52062220,32,741102,249.1,104.98671054840088,"[40, 50, 100000, 4, 0.5]",60.36389350891113,40.190457344055176,1.3471384048461914
809,714978319,11603,387433141,10494784,847919145,126487,22583434,0,9,15371504017,28885,2418757405,50,126631012,noblob,4161,45237378,34,295290,240.51,112.41694784164429,"[40, 50, 100000, 4, 0.5]",67.88621854782104,40.085591316223145,1.3446309566497803
113,902164138,22965,926204375,69701838,324038547,10344,963243750,0,23,13887096369,9657,1995256330,10,9450581,minimal,9340,20120753,85,119654,220.64,116.18756341934204,"[40, 50, 100000, 4, 0.5]",72.09522867202759,40.11160707473755,0.8624064922332764
339,114747849,4728,332530632,40231430,143109427,10056,943295966,0,23,11822669409,16518,1359626778,115,76177243,full,1867,52062220,32,741102,249.54,155.50889921188354,"[90, 50, 100000, 4, 0.5]",60.816633224487305,90.14800000190735,1.4428386688232422
757,141254323,2053,347265520,40049707,89692172,48282,751027868,0,60,11503197323,24466,2136360202,72,66482206,minimal,8724,117945018,16,803507,259.12,157.32120037078857,"[90, 50, 100000, 4, 0.5]",62.81694579124451,90.18343043327332,1.2235686779022217
757,141254323,2053,347265520,40049707,89692172,48282,751027868,0,60,11503197323,24466,2136360202,72,66482206,minimal,8724,117945018,16,803507,291.92,247.6576704978943,"[180, 50, 100000, 4, 0.5]",63.38164782524109,180.0842888355255,1.1119358539581299
244,482690085,36206,545138442,66796561,712719671,44683,656001634,0,74,14491630265,12709,3131820042,26,21107492,minimal,7750,34784421,83,536724,218.32,119.29887557029724,"[40, 50, 100000, 4, 0.5]",75.11063742637634,40.07910943031311,1.010010004043579
862,116940407,17300,460077521,3499089,497805699,76228,140323337,0,6,12114647924,16196,3477789363,87,58040008,noblob,3493,116167066,83,933606,224.76,115.5821418762207,"[40, 50, 100000, 4, 0.5]",70.9466199874878,40.20691275596619,1.3372619152069092
432,116672600,10840,312071322,30855461,916875602,118571,1041947335,0,38,12581217395,3018,3687490263,36,38788844,full,9163,94777208,81,573676,229.94,109.6974229812622,"[40, 50, 100000, 4, 0.5]",65.18324637413025,40.138471364974976,1.2763104438781738
297,330719870,14705,390129817,45013901,238514021,68120,717480572,1,82,15134238002,1251,3220759165,91,133458290,noblob,9798,37853977,92,369194,176.0,107.36995649337769,"[40, 50, 100000, 4, 0.5]",62.34851622581482,40.186869859695435,1.726926565170288
401,37726078,8773,910912617,79922959,340995907,99363,687170831,2,9,14575209849,14922,2305908987,126,45217689,noblob,667,2144197,50,976365,237.76,102.92751932144165,"[40, 50, 100000, 4, 0.5]",58.275890827178955,40.151750802993774,1.3979465961456299
847,869372232,3215,662600769,37648953,333432026,8270,163798067,2,82,13512539380,3352,1231273846,127,43540411,noblob,5986,3945922,30,363958,248.55,104.2552478313446,"[40, 50, 100000, 4, 0.5]",59.85006308555603,40.14423608779907,1.1556992530822754
298,385034098,32415,808573084,102375930,217237810,100132,763557262,1,83,15039681725,3359,2186725725,53,38286884,noblob,8393,118253654,72,394560,178.53,110.46742963790894,"[40, 50, 100000, 4, 0.5]",65.28845810890198,40.08968997001648,1.9795010089874268
847,869372232,3215,662600769,37648953,333432026,8270,163798067,2,82,13512539380,3352,1231273846,127,43540411,noblob,5986,3945922,30,363958,271.73,152.50157046318054,"[90, 50, 100000, 4, 0.5]",58.02974247932434,90.14309811592102,1.2301321029663086
401,37726078,8773,910912617,79922959,340995907,99363,687170831,2,9,14575209849,14922,2305908987,126,45217689,noblob,667,2144197,50,976365,252.86,157.52737832069397,"[90, 50, 100000, 4, 0.5]",62.80431771278381,90.12630987167358,1.48823881149292
432,116672600,10840,312071322,30855461,916875602,118571,1041947335,0,38,12581217395,3018,3687490263,36,38788844,full,9163,94777208,81,573676,240.38,157.04592299461365,"[90, 50, 100000, 4, 0.5]",62.196017026901245,90.21494460105896,1.4966654777526855
847,869372232,3215,662600769,37648953,333432026,8270,163798067,2,82,13512539380,3352,1231273846,127,43540411,noblob,5986,3945922,30,363958,298.0,244.46670150756836,"[180, 50, 100000, 4, 0.5]",60.08936262130737,180.13788270950317,1.1362483501434326
457,567974866,31460,635801013,65724237,1055546105,125052,727874969,1,77,13904401765,16121,1202784299,7,126898730,minimal,8454,128212508,20,971612,211.47,170.69952416419983,"[90, 50, 100000, 4, 0.5]",75.89072585105896,90.11126232147217,1.5985307693481445
892,1009829624,9788,152074534,109278396,583599169,69545,649907954,2,16,12967100353,9064,1764755559,120,107729129,full,3867,21307459,66,427184,250.13,154.90433931350708,"[90, 50, 100000, 4, 0.5]",60.22506332397461,90.11871862411499,1.4710578918457031
987,255269221,5802,889399723,73651191,433823813,120705,642574468,1,17,12590842012,13323,4216578860,93,61393591,noblob,9555,78978179,47,175933,229.55,157.90287685394287,"[90, 50, 100000, 4, 0.5]",62.747453451156616,90.14619708061218,1.9010593891143799
539,98194573,27867,921447893,50030184,117446549,73799,485860249,1,25,15011449898,960,3528005822,84,9484692,full,5913,21880651,12,688233,207.27,167.56772232055664,"[90, 50, 100000, 4, 0.5]",72.41305160522461,90.09534931182861,1.9635276794433594
65,165535116,9019,992678698,86101768,475935480,61960,369729022,0,65,13696534637,11336,792373219,32,18826909,minimal,4581,62598810,30,973245,248.9,155.38660097122192,"[90, 50, 100000, 4, 0.5]",60.82769012451172,90.11731600761414,1.3246731758117676
892,1009829624,9788,152074534,109278396,583599169,69545,649907954,2,16,12967100353,9064,1764755559,120,107729129,full,3867,21307459,66,427184,273.07,247.48063898086548,"[180, 50, 100000, 4, 0.5]",62.79655480384827,180.16117143630981,1.4347712993621826
65,165535116,9019,992678698,86101768,475935480,61960,369729022,0,65,13696534637,11336,792373219,32,18826909,minimal,4581,62598810,30,973245,275.16,251.01954197883606,"[180, 50, 100000, 4, 0.5]",66.59834551811218,180.18955254554749,1.1212267875671387
989,607249104,8926,746818310,39970272,873565085,79647,448763436,0,35,15573016703,12807,658978537,107,323815,noblob,5169,31648108,9,867919,261.72,249.14948201179504,"[180, 50, 100000, 4, 0.5]",64.73479890823364,180.1497528553009,1.1639246940612793
